district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
South Andamans,2017,11.67,92.73,6,8,29,9,36,14,7,318
North And Middle Andaman,2017,12.56,92.83,3,0,8,0,8,3,5,86
Nicobars,2017,7.0,93.75,0,0,2,0,2,0,1,15
South Andamans,2018,11.67,92.73,7,2,37,16,23,17,20,368
North And Middle Andaman,2018,12.56,92.83,2,0,14,0,7,0,10,109
Nicobars,2018,7.0,93.75,2,0,2,0,1,0,0,17
South Andamans,2019,11.67,92.73,10,0,25,3,16,3,10,213
North And Middle Andaman,2019,12.56,92.83,2,0,3,0,6,2,2,48
Nicobars,2019,7.0,93.75,1,0,1,0,0,3,1,18
South Andamans,2020,11.67,92.73,4,0,20,1,9,14,1,123
North And Middle Andaman,2020,12.56,92.83,0,0,3,0,1,0,1,14
Nicobars,2020,7.0,93.75,1,0,1,0,1,1,0,12
South Andamans,2021,11.67,92.73,12,2,14,1,4,14,12,199
North And Middle Andaman,2021,12.56,92.83,4,0,4,0,3,3,3,58
Nicobars,2021,7.0,93.75,0,0,1,0,0,1,0,4
South Andamans,2022,11.67,92.73,4,4,12,3,16,26,10,219
North And Middle Andaman,2022,12.56,92.83,2,0,8,1,4,2,0,45
Nicobars,2022,7.0,93.75,1,0,0,0,0,1,2,17
