district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Ananthapuramu,2017,14.68,77.6,124,29,946,176,219,137,43,4302
Chittoor,2017,13.22,79.1,70,6,212,199,86,141,24,2055
Y.S.R.,2017,14.47,78.82,88,19,273,247,175,206,41,2945
East Godavari,2017,17.32,81.78,83,27,821,620,410,352,134,6629
Guntur,2017,16.3,80.44,132,33,834,619,313,764,128,7424
Krishna,2017,16.6,80.83,35,10,285,152,221,312,81,2933
Kurnool,2017,15.83,78.04,93,9,314,175,202,334,34,3098
Sri Potti Sriramulu Nellore,2017,14.44,79.99,67,34,529,304,291,169,58,3942
Prakasam,2017,15.34,79.57,91,23,329,189,218,149,91,3179
Srikakulam,2017,18.3,83.9,30,3,57,45,63,99,37,983
Tirupati,2017,13.63,79.42,38,9,342,245,184,246,17,2774
Ntr,2017,16.51,80.6,42,64,2128,726,243,367,79,8758
Visakhapatnam,2017,17.69,83.22,79,49,842,633,371,595,125,7102
Vizianagaram,2017,18.11,83.4,28,5,104,87,97,89,36,1278
West Godavari,2017,16.91,81.34,54,20,518,352,362,417,60,4662
Ananthapuramu,2018,14.68,77.6,117,12,868,150,142,89,49,3668
Chittoor,2018,13.22,79.1,60,3,233,135,85,144,31,1881
Y.S.R.,2018,14.47,78.82,65,9,254,173,106,229,31,2319
East Godavari,2018,17.32,81.78,85,26,662,509,270,368,121,5531
Guntur,2018,16.3,80.44,112,39,702,500,269,889,157,6990
Krishna,2018,16.6,80.83,41,8,240,150,128,278,82,2517
Kurnool,2018,15.83,78.04,88,20,225,161,146,323,7,2572
Sri Potti Sriramulu Nellore,2018,14.44,79.99,72,41,496,264,310,200,68,3978
Prakasam,2018,15.34,79.57,81,20,359,181,223,229,103,3388
Srikakulam,2018,18.3,83.9,16,0,70,46,44,68,41,831
Tirupati,2018,13.63,79.42,23,5,222,211,121,238,22,2161
Ntr,2018,16.51,80.6,20,27,1608,547,150,407,53,6594
Visakhapatnam,2018,17.69,83.22,74,26,655,503,281,628,119,5987
Vizianagaram,2018,18.11,83.4,29,1,102,73,81,101,34,1187
West Godavari,2018,16.91,81.34,52,15,460,307,301,493,53,4315
Ananthapuramu,2019,14.68,77.6,107,37,965,149,196,242,83,4547
Chittoor,2019,13.22,79.1,68,21,232,169,140,170,32,2315
Y.S.R.,2019,14.47,78.82,57,9,261,77,127,300,41,2260
East Godavari,2019,17.32,81.78,73,34,748,694,326,609,143,6990
