district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Anjaw,2017,28.05,97.07,1,0,5,0,0,1,0,17
Changlang,2017,27.12,95.96,8,2,21,5,15,2,3,169
Papum Pare,2017,27.28,93.74,17,16,96,170,29,16,15,1045
Dibang Valley,2017,28.62,95.7,1,0,1,0,2,0,1,18
East Kameng,2017,27.07,92.99,4,1,15,5,10,3,4,125
West Kameng,2017,27.25,92.35,5,3,5,11,21,1,2,155
Kurung Kumey,2017,27.86,93.25,7,0,7,0,1,0,0,52
Lohit,2017,27.96,96.2,1,1,19,10,15,2,2,136
Longding,2017,27.15,95.56,3,4,15,2,5,2,7,121
Lower Dibang Valley,2017,28.2,95.52,2,6,9,0,8,4,0,84
East Siang,2017,28.09,94.91,5,9,43,32,17,7,7,343
Upper Siang,2017,28.5,95.27,1,0,6,1,6,0,1,43
West Siang,2017,28.08,94.3,2,0,3,5,5,9,6,94
Lower Subansiri,2017,27.52,93.77,6,4,10,3,5,3,0,96
Upper Subansiri,2017,27.94,93.55,4,0,10,0,5,3,2,71
Tawang,2017,27.58,91.87,1,0,8,0,9,5,1,63
Tirap,2017,27.03,95.52,3,0,13,1,10,0,0,74
Namsai,2017,27.67,95.84,7,9,17,12,13,2,2,194
Siang,2017,28.62,94.99,0,1,8,3,5,0,3,59
Kamle,2017,27.5,93.52,0,0,1,2,1,0,1,16
Lower Siang,2017,27.65,94.79,1,2,6,1,3,4,2,55
Anjaw,2018,28.05,97.07,1,1,7,0,1,1,1,33
Changlang,2018,27.12,95.96,4,4,12,1,9,3,2,106
Papum Pare,2018,27.28,93.74,9,30,121,204,26,30,6,1187
Dibang Valley,2018,28.62,95.7,0,0,0,0,1,0,1,8
East Kameng,2018,27.07,92.99,7,1,21,4,7,7,5,153
West Kameng,2018,27.25,92.35,2,2,11,14,13,2,2,135
Kurung Kumey,2018,27.86,93.25,2,0,1,0,2,2,1,27
Lohit,2018,27.96,96.2,7,2,16,10,6,1,1,130
Longding,2018,27.15,95.56,4,1,6,0,9,1,4,85
Lower Dibang Valley,2018,28.2,95.52,2,4,7,0,12,2,3,95
East Siang,2018,28.09,94.91,3,2,56,28,16,9,10,335
Upper Siang,2018,28.5,95.27,1,0,6,2,9,0,5,75
West Siang,2018,28.08,94.3,2,2,8,3,0,1,10,95
Lower Subansiri,2018,27.52,93.77,2,0,21,0,1,5,0,65
Upper Subansiri,2018,27.94,93.55,3,1,9,7,4,1,2,82
Tawang,2018,27.58,91.87,0,0,9,0,16,2,0,70
Tirap,2018,27.03,95.52,1,3,4,1,7,0,3,64
Namsai,2018,27.67,95.84,9,8,16,3,16,6,6,208
Siang,2018,28.62,94.99,1,0,4,0,2,0,3,34
Kamle,2018,27.5,93.52,2,0,2,0,1,0,0,17
Lower Siang,2018,27.65,94.79,0,1,3,5,2,0,1,36
Leparada,2018,28.25,95.0,0,1,1,0,0,1,1,13
Anjaw,2019,28.05,97.07,0,1,4,0,0,0,0,12
Changlang,2019,27.12,95.96,2,5,14,4,16,5,5,153
Papum Pare,2019,27.28,93.74,10,29,114,159,51,51,18,1216
Dibang Valley,2019,28.62,95.7,0,0,0,0,0,0,0,0
East Kameng,2019,27.07,92.99,7,10,7,0,2,2,0,99
West Kameng,2019,27.25,92.35,3,2,12,11,6,4,2,116
Kurung Kumey,2019,27.86,93.25,2,0,1,1,0,1,3,32
Lohit,2019,27.96,96.2,3,2,9,2,9,2,3,93
Longding,2019,27.15,95.56,2,4,4,1,7,1,6,90
Lower Dibang Valley,2019,28.2,95.52,4,2,7,7,11,3,0,102
East Siang,2019,28.09,94.91,1,7,35,22,18,10,6,273
Upper Siang,2019,28.5,95.27,1,0,5,1,9,1,0,47
West Siang,2019,28.08,94.3,1,1,10,3,0,7,9,97
Lower Subansiri,2019,27.52,93.77,2,1,8,0,0,2,0,34
Upper Subansiri,2019,27.94,93.55,4,1,4,2,2,1,3,61
Tawang,2019,27.58,91.87,1,0,8,0,8,1,1,52
Tirap,2019,27.03,95.52,4,3,1,1,3,1,0,48
Namsai,2019,27.67,95.84,8,2,9,5,9,3,4,134
Siang,2019,28.62,94.99,0,3,5,0,0,0,0,22
Kamle,2019,27.5,93.52,1,0,1,1,0,1,0,12
Kra Daadi,2019,28.15,94.4,0,3,0,0,1,0,2,25
Lower Siang,2019,27.65,94.79,2,0,5,2,2,1,1,39
Leparada,2019,28.25,95.0,1,0,3,0,0,1,0,13
Shi Yomi,2019,28.39,94.23,1,0,0,0,2,1,0,13
Pakke Kessang,2019,27.2,92.62,0,0,0,1,0,0,0,3
Anjaw,2020,28.05,97.07,0,0,3,0,0,0,0,6
Changlang,2020,27.12,95.96,7,0,10,0,4,4,8,115
Papum Pare,2020,27.28,93.74,5,32,113,107,29,33,15,928
Dibang Valley,2020,28.62,95.7,1,1,1,0,3,0,0,20
East Kameng,2020,27.07,92.99,1,0,3,0,1,2,2,28
West Kameng,2020,27.25,92.35,4,1,19,9,8,7,5,152
Kurung Kumey,2020,27.86,93.25,2,0,2,0,5,0,2,39
Lohit,2020,27.96,96.2,5,2,6,5,11,3,3,114
Longding,2020,27.15,95.56,1,2,3,0,8,4,2,61
Lower Dibang Valley,2020,28.2,95.52,4,1,10,2,12,0,2,96
East Siang,2020,28.09,94.91,2,3,22,6,15,10,9,194
Upper Siang,2020,28.5,95.27,1,0,6,2,8,1,0,49
West Siang,2020,28.08,94.3,2,0,3,3,3,4,3,57
Lower Subansiri,2020,27.52,93.77,0,1,11,0,0,2,0,30
Upper Subansiri,2020,27.94,93.55,2,0,6,1,10,1,4,77
Tawang,2020,27.58,91.87,0,0,1,0,0,2,0,6
Tirap,2020,27.03,95.52,1,1,6,0,5,0,1,41
Namsai,2020,27.67,95.84,3,3,13,3,8,2,0,90
Siang,2020,28.62,94.99,0,1,7,0,0,1,0,20
Kamle,2020,27.5,93.52,1,0,1,0,0,0,1,12
Kra Daadi,2020,28.15,94.4,3,0,0,0,0,0,0,15
Lower Siang,2020,27.65,94.79,0,0,2,2,0,4,0,18
Leparada,2020,28.25,95.0,0,0,3,1,0,2,2,23
Shi Yomi,2020,28.39,94.23,0,0,1,0,0,1,0,4
Pakke Kessang,2020,27.2,92.62,0,0,2,0,2,1,1,17
Anjaw,2021,28.05,97.07,0,0,7,0,0,1,1,21
Changlang,2021,27.12,95.96,6,2,19,4,5,3,5,134
Papum Pare,2021,27.28,93.74,11,29,245,251,47,39,36,1813
Dibang Valley,2021,28.62,95.7,0,0,2,0,0,0,0,4
East Kameng,2021,27.07,92.99,0,3,5,5,2,7,4,77
West Kameng,2021,27.25,92.35,4,1,17,15,9,14,1,163
Kurung Kumey,2021,27.86,93.25,2,0,3,0,2,4,2,40
Lohit,2021,27.96,96.2,1,0,10,3,11,5,3,92
Longding,2021,27.15,95.56,3,3,5,2,8,0,3,82
Lower Dibang Valley,2021,28.2,95.52,2,3,12,3,7,1,6,108
East Siang,2021,28.09,94.91,1,4,25,7,5,12,7,166
Upper Siang,2021,28.5,95.27,2,0,7,1,8,1,1,58
West Siang,2021,28.08,94.3,2,0,7,0,1,4,3,50
Lower Subansiri,2021,27.52,93.77,0,0,4,2,5,0,1,34
Upper Subansiri,2021,27.94,93.55,1,0,15,0,5,4,2,68
Tawang,2021,27.58,91.87,2,0,1,0,2,2,1,27
Tirap,2021,27.03,95.52,1,1,5,6,6,2,0,59
