district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Kamrup Metro,2017,26.14,91.74,95,340,2790,1378,812,1278,134,17211
Barpeta,2017,26.32,91.0,50,22,456,183,208,0,176,3303
Baksa,2017,26.7,91.2,30,22,80,41,41,56,35,931
Bongaigaon,2017,26.48,90.56,16,31,139,247,42,164,45,1902
Cachar,2017,24.8,92.85,53,35,524,209,257,99,51,3304
Chirang,2017,26.5,90.47,13,5,73,71,47,35,30,805
Darrang,2017,26.43,92.05,34,15,230,89,122,239,80,2201
Dhemaji,2017,27.47,94.57,14,15,109,38,46,40,43,895
Dhubri,2017,26.02,89.97,46,41,592,97,178,71,81,2950
Dibrugarh,2017,27.47,94.91,54,53,388,89,111,107,31,2227
Goalpara,2017,26.17,90.62,22,7,125,140,118,80,48,1562
Golaghat,2017,26.52,93.96,45,32,290,104,72,84,55,1904
Hailakandi,2017,24.68,92.56,19,41,96,36,56,87,81,1306
West Karbi Anglong,2017,25.89,93.0,6,4,22,1,17,0,17,229
Jorhat,2017,26.75,94.21,43,33,441,225,67,175,34,2625
Kamrup,2017,26.11,91.27,44,46,364,164,52,1,90,2232
Karbi Anglong,2017,26.2,93.73,28,2,72,56,41,29,14,711
Karimganj,2017,24.87,92.35,32,9,185,74,172,89,66,1812
Kokrajhar,2017,26.4,90.27,32,13,147,163,66,82,35,1532
Lakhimpur,2017,27.23,94.11,41,24,225,40,201,2,69,1823
Marigaon,2017,26.24,92.33,42,21,179,78,124,156,84,1990
Dima Hasao,2017,25.36,93.1,11,3,0,0,11,0,1,105
Nagaon,2017,26.35,92.68,68,89,548,170,212,0,93,3403
Nalbari,2017,26.44,91.44,14,25,129,145,100,30,44,1443
Sivasagar,2017,26.98,94.64,37,27,270,61,109,134,11,1666
Sonitpur,2017,26.54,92.8,54,14,288,131,126,230,50,2383
Tinsukia,2017,27.49,95.35,61,72,602,161,196,68,75,3379
Udalguri,2017,26.75,92.1,23,16,155,42,48,14,35,962
Majuli,2017,26.95,94.15,0,2,16,0,9,11,6,119
Biswanath,2017,26.73,93.15,38,3,94,55,46,40,17,858
Hojai,2017,26.0,92.84,28,16,155,52,105,270,55,1800
South Salmara Mancachar,2017,25.7,89.95,19,1,82,12,41,24,74,840
Charaideo,2017,27.0,94.73,32,13,64,16,27,39,12,607
Kamrup Metro,2018,26.14,91.74,113,469,3219,1529,1016,1373,72,19620
Barpeta,2018,26.32,91.0,57,49,370,239,263,282,120,3891
Baksa,2018,26.7,91.2,27,23,88,65,52,46,30,996
Bongaigaon,2018,26.48,90.56,32,42,163,270,87,141,51,2262
Cachar,2018,24.8,92.85,57,34,784,239,253,40,62,3855
Chirang,2018,26.5,90.47,23,2,75,48,27,32,20,662
Darrang,2018,26.43,92.05,26,27,173,30,62,206,67,1607
Dhemaji,2018,27.47,94.57,21,27,113,53,65,77,27,1082
Dhubri,2018,26.02,89.97,23,24,594,52,232,69,95,2864
Dibrugarh,2018,27.47,94.91,74,36,471,85,163,192,32,2744
Goalpara,2018,26.17,90.62,40,29,309,70,67,154,52,1913
Golaghat,2018,26.52,93.96,57,45,439,160,69,126,41,2487
Hailakandi,2018,24.68,92.56,20,119,119,23,55,66,109,1725
West Karbi Anglong,2018,25.89,93.0,6,1,20,0,0,5,3,99
Jorhat,2018,26.75,94.21,40,33,370,207,108,443,39,3098
Kamrup,2018,26.11,91.27,65,49,604,207,60,121,80,3172
Karbi Anglong,2018,26.2,93.73,20,2,130,84,2,74,14,844
Karimganj,2018,24.87,92.35,45,20,225,49,170,127,77,2051
Kokrajhar,2018,26.4,90.27,31,10,20,243,46,79,43,1475
Lakhimpur,2018,27.23,94.11,28,23,134,49,123,184,63,1699
Marigaon,2018,26.24,92.33,35,21,305,84,117,214,58,2190
Dima Hasao,2018,25.36,93.1,10,6,41,5,8,8,1,216
Nagaon,2018,26.35,92.68,78,158,86,642,277,0,108,4491
Nalbari,2018,26.44,91.44,24,69,100,163,96,0,38,1563
Sivasagar,2018,26.98,94.64,37,25,304,62,64,25,27,1456
Sonitpur,2018,26.54,92.8,46,24,288,213,124,194,50,2551
Tinsukia,2018,27.49,95.35,67,92,569,138,176,128,47,3274
Udalguri,2018,26.75,92.1,33,16,86,71,22,38,13,821
Majuli,2018,26.95,94.15,4,1,14,0,8,11,3,113
Biswanath,2018,26.73,93.15,39,7,90,41,24,21,25,765
Hojai,2018,26.0,92.84,21,12,168,64,100,180,68,1681
South Salmara Mancachar,2018,25.7,89.95,15,0,71,22,47,26,97,961
Charaideo,2018,27.0,94.73,27,6,37,14,16,21,16,445
Kamrup Metro,2019,26.14,91.74,86,659,3045,1661,966,2302,74,22011
Barpeta,2019,26.32,91.0,47,87,557,185,218,341,137,4273
Baksa,2019,26.7,91.2,35,40,87,84,27,65,31,1127
Bongaigaon,2019,26.48,90.56,18,32,134,195,157,162,61,2171
Cachar,2019,24.8,92.85,67,58,851,245,212,154,58,4238
Chirang,2019,26.5,90.47,23,14,41,47,61,47,19,766
Darrang,2019,26.43,92.05,23,24,182,33,157,220,97,2070
Dhemaji,2019,27.47,94.57,26,13,109,68,56,99,27,1105
Dhubri,2019,26.02,89.97,43,89,839,68,243,77,111,3891
Dibrugarh,2019,27.47,94.91,67,69,585,125,179,218,41,3334
Goalpara,2019,26.17,90.62,34,21,263,85,25,142,40,1594
Golaghat,2019,26.52,93.96,49,40,279,109,79,197,34,2091
Hailakandi,2019,24.68,92.56,18,41,199,28,77,87,145,1866
West Karbi Anglong,2019,25.89,93.0,4,0,45,0,0,10,6,160
Jorhat,2019,26.75,94.21,56,90,295,292,235,93,30,3147
Kamrup,2019,26.11,91.27,40,78,549,273,133,118,130,3714
Karbi Anglong,2019,26.2,93.73,29,9,94,76,13,24,19,779
Karimganj,2019,24.87,92.35,38,38,248,130,174,110,53,2235
Kokrajhar,2019,26.4,90.27,27,12,109,164,41,66,36,1328
Lakhimpur,2019,27.23,94.11,47,37,229,111,171,42,52,2031
Marigaon,2019,26.24,92.33,37,61,273,80,200,241,69,2642
Dima Hasao,2019,25.36,93.1,8,1,31,15,8,19,3,228
Nagaon,2019,26.35,92.68,70,108,561,183,346,0,110,4041
Nalbari,2019,26.44,91.44,16,38,160,100,59,24,46,1307
Sivasagar,2019,26.98,94.64,38,30,379,84,80,179,20,2018
Sonitpur,2019,26.54,92.8,56,55,192,207,123,219,36,2492
Tinsukia,2019,27.49,95.35,66,137,618,146,174,310,79,4089
Udalguri,2019,26.75,92.1,35,14,173,52,5,32,30,962
Majuli,2019,26.95,94.15,7,0,13,2,13,12,3,145
Biswanath,2019,26.73,93.15,44,9,122,29,44,38,30,945
Hojai,2019,26.0,92.84,39,23,147,34,72,220,52,1599
South Salmara Mancachar,2019,25.7,89.95,12,3,53,17,54,19,67,764
Charaideo,2019,27.0,94.73,30,14,73,15,23,0,27,601
Kamrup Metro,2020,26.14,91.74,71,544,2600,1184,821,1608,41,17167
Barpeta,2020,26.32,91.0,67,67,453,166,253,347,129,4105
Baksa,2020,26.7,91.2,30,23,55,36,31,53,35,834
Bongaigaon,2020,26.48,90.56,13,31,182,152,124,110,46,1831
Cachar,2020,24.8,92.85,47,69,624,205,321,285,57,4192
Chirang,2020,26.5,90.47,15,6,73,56,53,40,20,752
Darrang,2020,26.43,92.05,33,12,124,33,83,205,89,1664
Dhemaji,2020,27.47,94.57,21,30,119,46,51,106,24,1086
Dhubri,2020,26.02,89.97,32,59,769,70,231,72,111,3536
Dibrugarh,2020,27.47,94.91,52,47,623,100,169,255,22,3121
Goalpara,2020,26.17,90.62,32,15,234,73,77,56,33,1415
Golaghat,2020,26.52,93.96,57,20,171,76,64,132,31,1546
Hailakandi,2020,24.68,92.56,22,18,164,24,121,127,92,1659
West Karbi Anglong,2020,25.89,93.0,5,1,27,0,5,13,1,129
Jorhat,2020,26.75,94.21,46,42,569,128,215,99,47,2998
Kamrup,2020,26.11,91.27,46,82,568,284,91,286,94,3861
Karbi Anglong,2020,26.2,93.73,18,5,86,89,34,30,16,791
Karimganj,2020,24.87,92.35,43,66,176,106,52,119,59,1838
