district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Araria,2017,26.15,87.47,47,27,160,182,59,64,37,1699
Arwal,2017,25.25,84.68,11,15,57,74,10,43,3,582
Aurangabad,2017,24.75,84.37,40,13,93,115,63,44,4,1080
Pashchim Champaran,2017,27.06,84.43,99,20,251,466,78,137,21,3088
Banka,2017,24.88,86.92,64,27,93,119,70,0,12,1241
Begusarai,2017,25.41,86.13,88,62,263,304,107,31,11,2564
Kaimur (Bhabua),2017,25.05,83.61,38,25,159,178,95,76,10,1629
Bhagalpur,2017,25.24,86.97,107,70,511,591,20,220,50,4360
Bhojpur,2017,25.56,84.4,87,32,272,375,138,370,10,3436
Buxar,2017,25.57,83.97,44,18,261,225,132,114,8,2153
Darbhanga,2017,26.15,85.89,36,34,298,255,143,253,17,2697
Gaya,2017,24.79,85.0,167,64,590,833,213,89,12,5647
Gopalganj,2017,26.47,84.44,69,38,132,222,66,44,2,1723
Munger,2017,25.37,86.47,60,31,401,71,79,112,6,1930
Jamui,2017,24.92,86.22,49,10,97,19,65,0,8,771
Jehanabad,2017,25.21,84.99,40,19,157,98,52,60,9,1205
Katihar,2017,25.54,87.58,90,55,518,219,110,4,28,2841
Khagaria,2017,25.5,86.47,56,19,106,125,24,182,4,1399
Kishanganj,2017,26.1,87.93,39,22,157,163,39,42,20,1387
Lakhisarai,2017,25.16,86.09,51,20,49,35,39,24,10,753
Madhepura,2017,25.93,86.79,64,37,148,167,55,61,12,1612
Madhubani,2017,26.35,86.07,60,34,218,248,135,127,40,2475
Purbi Champaran,2017,26.65,84.92,94,28,376,648,242,88,0,4180
Muzaffarpur,2017,26.12,85.39,151,105,968,1763,307,362,41,10250
Nalanda,2017,25.08,85.45,95,49,332,515,116,421,10,4120
Nawada,2017,24.88,85.54,56,19,194,180,22,139,18,1718
Patna,2017,25.59,85.13,268,224,2256,3189,799,108,54,19198
Rohtas,2017,24.96,83.88,100,59,491,617,255,28,20,4490
Saharsa,2017,25.88,86.6,44,61,187,176,104,178,19,2129
Samastipur,2017,25.86,85.78,65,29,238,289,47,0,0,1925
Saran,2017,25.92,84.75,119,102,395,819,197,349,20,5639
Sheikhpura,2017,25.14,85.84,16,6,56,49,36,75,1,626
Sheohar,2017,26.52,85.3,12,6,24,25,10,10,7,292
Sitamarhi,2017,26.59,85.48,68,49,253,322,166,34,16,2654
Siwan,2017,26.22,84.35,71,37,242,472,114,40,15,2900
Supaul,2017,26.12,86.6,47,49,187,126,13,100,25,1547
Vaishali,2017,25.69,85.21,100,40,367,876,136,0,9,4475
Purnia,2017,25.78,87.47,91,39,195,305,117,21,16,2389
Araria,2018,26.15,87.47,61,49,220,181,61,54,23,1890
Arwal,2018,25.25,84.68,9,9,69,94,24,20,2,623
Aurangabad,2018,24.75,84.37,49,6,70,214,53,80,2,1380
Pashchim Champaran,2018,27.06,84.43,70,14,258,610,75,183,21,3448
