district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Balod,2017,20.73,81.2,16,5,86,49,71,57,42,956
Balodabazar-Bhatapara,2017,21.66,82.15,32,13,120,73,165,47,90,1710
Balrampur Ramanujganj,2017,23.48,83.6,41,5,21,24,51,0,88,932
Bemetara,2017,21.71,81.53,13,8,65,37,88,33,41,873
Bilaspur,2017,22.08,82.14,58,69,582,444,436,99,119,5163
Bijapur,2017,18.85,80.8,24,0,3,2,11,0,10,215
Dakshin Bastar Dantewada,2017,18.9,81.35,31,3,16,7,17,7,19,380
Dhamtari,2017,20.71,81.55,25,3,34,48,40,32,53,798
Durg,2017,21.19,81.28,38,33,405,323,364,175,135,4218
Gariyaband,2017,20.63,82.06,13,5,54,12,36,10,27,492
Raipur,2017,21.25,81.63,69,67,1444,802,380,1,214,8119
Bastar,2017,19.3,81.96,36,0,8,48,56,23,60,854
Janjgir-Champa,2017,22.01,82.57,41,18,108,133,213,41,83,2028
Jashpur,2017,22.88,84.14,50,7,27,43,81,12,93,1193
Kabeerdham,2017,22.1,81.33,19,1,25,25,51,14,36,585
Uttar Bastar Kanker,2017,20.27,81.49,29,3,129,37,52,35,63,1067
Kondagaon,2017,19.59,81.67,23,1,12,18,25,22,33,481
Korba,2017,22.35,82.68,38,22,101,119,97,29,88,1626
Korea,2017,23.25,82.72,36,8,74,45,86,38,87,1264
Mahasamund,2017,21.11,82.1,23,7,106,59,80,20,70,1162
Mungeli,2017,22.06,81.69,21,4,67,31,81,25,55,916
Narayanpur,2017,19.69,81.24,18,0,1,8,4,0,12,188
Raigarh,2017,21.9,83.4,54,22,79,136,180,62,89,2033
Rajnandgaon,2017,21.1,81.03,41,29,159,124,251,102,63,2283
Surguja,2017,23.13,83.19,60,13,127,119,123,43,128,2058
Sukma,2017,18.39,81.66,34,1,2,4,8,0,8,254
Surajpur,2017,23.23,82.87,36,9,71,31,99,31,102,1320
Balod,2018,20.73,81.2,15,6,75,28,80,28,44,849
Balodabazar-Bhatapara,2018,21.66,82.15,20,13,204,83,176,68,101,1978
Balrampur Ramanujganj,2018,23.48,83.6,50,4,11,24,33,0,106,989
Bemetara,2018,21.71,81.53,14,4,43,38,76,17,31,703
Bilaspur,2018,22.08,82.14,57,40,517,302,334,176,104,4259
Bijapur,2018,18.85,80.8,32,1,2,8,11,0,10,275
Dakshin Bastar Dantewada,2018,18.9,81.35,33,0,9,10,29,7,16,394
Dhamtari,2018,20.71,81.55,13,8,37,22,49,37,72,818
Durg,2018,21.19,81.28,44,54,355,291,324,186,147,4098
Gariyaband,2018,20.63,82.06,26,6,37,17,29,14,49,639
Raipur,2018,21.25,81.63,62,76,1418,795,449,2,219,8281
Bastar,2018,19.3,81.96,26,6,12,41,43,21,49,717
Janjgir-Champa,2018,22.01,82.57,41,25,200,142,285,57,112,2660
Jashpur,2018,22.88,84.14,47,16,32,51,83,14,98,1283
Kabeerdham,2018,22.1,81.33,20,6,47,27,47,26,41,697
Uttar Bastar Kanker,2018,20.27,81.49,29,1,87,21,49,35,67,938
Kondagaon,2018,19.59,81.67,29,0,1,6,18,11,29,386
Korba,2018,22.35,82.68,41,36,158,139,134,96,95,2151
Korea,2018,23.25,82.72,30,5,50,24,63,25,102,1091
Mahasamund,2018,21.11,82.1,20,7,76,81,89,44,64,1198
Mungeli,2018,22.06,81.69,11,8,78,45,68,15,56,892
Narayanpur,2018,19.69,81.24,18,3,2,8,5,1,14,217
Raigarh,2018,21.9,83.4,68,39,163,235,211,121,153,3167
Rajnandgaon,2018,21.1,81.03,40,23,207,153,252,66,65,2378
Surguja,2018,23.13,83.19,46,26,57,114,79,37,112,1661
Sukma,2018,18.39,81.66,42,1,8,4,4,4,10,312
Surajpur,2018,23.23,82.87,43,6,47,37,63,12,125,1282
Balod,2019,20.73,81.2,20,9,96,54,103,28,33,1020
Balodabazar-Bhatapara,2019,21.66,82.15,30,18,233,124,206,63,41,2009
Balrampur Ramanujganj,2019,23.48,83.6,37,7,43,28,41,0,51,761
Bemetara,2019,21.71,81.53,17,6,56,46,80,23,11,700
Bilaspur,2019,22.08,82.14,48,52,389,404,439,155,110,4615
Bijapur,2019,18.85,80.8,33,1,2,5,0,0,9,233
Dakshin Bastar Dantewada,2019,18.9,81.35,24,4,15,17,39,21,2,386
Dhamtari,2019,20.71,81.55,22,6,51,45,95,31,20,818
Durg,2019,21.19,81.28,35,50,363,418,346,143,68,4019
Gariyaband,2019,20.63,82.06,9,4,28,21,34,16,14,384
Raipur,2019,21.25,81.63,77,89,1403,825,505,1,117,8124
Bastar,2019,19.3,81.96,33,11,24,93,60,41,38,988
Janjgir-Champa,2019,22.01,82.57,44,23,133,158,234,31,34,1986
Jashpur,2019,22.88,84.14,64,28,46,57,79,10,55,1227
Kabeerdham,2019,22.1,81.33,29,8,29,27,51,13,22,605
Uttar Bastar Kanker,2019,20.27,81.49,45,2,101,48,58,16,22,895
Kondagaon,2019,19.59,81.67,11,2,7,20,31,10,12,310
Korba,2019,22.35,82.68,46,19,168,100,180,55,34,1762
Korea,2019,23.25,82.72,34,2,44,44,72,31,30,826
Mahasamund,2019,21.11,82.1,12,7,79,53,106,36,24,915
Mungeli,2019,22.06,81.69,16,8,119,32,66,15,10,724
Narayanpur,2019,19.69,81.24,13,3,5,5,16,2,2,164
Raigarh,2019,21.9,83.4,67,44,153,217,187,76,124,2801
Rajnandgaon,2019,21.1,81.03,20,8,190,178,201,52,30,1903
Surguja,2019,23.13,83.19,44,22,67,154,92,77,72,1694
Sukma,2019,18.39,81.66,36,1,5,3,8,9,3,260
Surajpur,2019,23.23,82.87,47,5,44,41,49,20,48,893
Balod,2020,20.73,81.2,22,7,158,59,92,57,14,1091
Balodabazar-Bhatapara,2020,21.66,82.15,34,23,148,88,216,33,32,1696
Balrampur Ramanujganj,2020,23.48,83.6,38,14,50,27,87,0,96,1168
Bemetara,2020,21.71,81.53,17,6,78,49,90,29,17,825
Bilaspur,2020,22.08,82.14,52,60,251,402,413,129,88,4145
Bijapur,2020,18.85,80.8,43,0,1,18,7,0,5,317
Dakshin Bastar Dantewada,2020,18.9,81.35,18,6,11,20,20,17,5,315
Dhamtari,2020,20.71,81.55,18,22,79,69,104,34,28,1063
Durg,2020,21.19,81.28,33,59,285,350,305,153,63,3557
Gariyaband,2020,20.63,82.06,26,1,29,18,35,17,14,455
Raipur,2020,21.25,81.63,77,58,670,669,413,1,104,5725
Bastar,2020,19.3,81.96,29,14,39,80,90,24,35,1012
Janjgir-Champa,2020,22.01,82.57,53,29,109,178,260,42,35,2172
Jashpur,2020,22.88,84.14,69,12,70,88,95,32,54,1416
Kabeerdham,2020,22.1,81.33,18,6,55,35,92,32,25,794
Uttar Bastar Kanker,2020,20.27,81.49,31,5,55,39,29,22,42,743
Kondagaon,2020,19.59,81.67,21,3,2,26,30,20,10,379
Korba,2020,22.35,82.68,44,13,124,107,115,49,47,1519
Korea,2020,23.25,82.72,23,2,53,36,63,37,70,950
Mahasamund,2020,21.11,82.1,25,14,57,51,102,28,47,1045
Mungeli,2020,22.06,81.69,28,4,91,36,63,20,13,740
Narayanpur,2020,19.69,81.24,11,1,3,5,13,6,7,166
Raigarh,2020,21.9,83.4,58,35,112,172,139,63,161,2518
Rajnandgaon,2020,21.1,81.03,44,13,186,160,164,53,41,1927
Surguja,2020,23.13,83.19,48,42,179,197,121,121,96,2442
Sukma,2020,18.39,81.66,32,2,5,6,8,12,7,279
Surajpur,2020,23.23,82.87,43,3,54,35,56,12,50,882
Gaurela Pendra Marwahi,2020,22.73,81.95,17,4,33,33,49,9,4,451
Balod,2021,20.73,81.2,10,12,135,42,101,40,18,967
Balodabazar-Bhatapara,2021,21.66,82.15,27,29,127,129,221,19,33,1758
Balrampur Ramanujganj,2021,23.48,83.6,50,9,73,37,74,0,76,1145
Bemetara,2021,21.71,81.53,22,5,90,62,120,27,25,1035
Bilaspur,2021,22.08,82.14,56,79,648,244,608,233,89,5359
Bijapur,2021,18.85,80.8,36,0,8,18,13,0,9,334
Dakshin Bastar Dantewada,2021,18.9,81.35,27,5,10,43,18,19,9,441
Dhamtari,2021,20.71,81.55,16,10,92,82,126,23,23,1089
Durg,2021,21.19,81.28,42,93,378,467,354,112,59,4320
Gariyaband,2021,20.63,82.06,19,3,40,31,43,27,21,568
Raipur,2021,21.25,81.63,67,81,705,1052,519,1,96,7264
Bastar,2021,19.3,81.96,31,2,41,126,38,34,44,1025
Janjgir-Champa,2021,22.01,82.57,61,32,164,241,375,75,53,3024
Jashpur,2021,22.88,84.14,55,20,79,107,132,32,66,1624
Kabeerdham,2021,22.1,81.33,19,12,90,53,106,20,26,970
Uttar Bastar Kanker,2021,20.27,81.49,28,7,27,38,52,16,36,704
Kondagaon,2021,19.59,81.67,19,3,13,48,38,15,10,471
Korba,2021,22.35,82.68,41,22,126,126,163,53,52,1778
Korea,2021,23.25,82.72,40,5,79,40,82,36,42,1026
Mahasamund,2021,21.11,82.1,25,12,80,84,116,19,30,1121
Mungeli,2021,22.06,81.69,16,3,51,60,64,28,17,707
Narayanpur,2021,19.69,81.24,24,2,4,12,14,7,9,273
Raigarh,2021,21.9,83.4,71,32,159,267,177,78,49,2534
Rajnandgaon,2021,21.1,81.03,53,25,222,245,223,55,54,2593
Surguja,2021,23.13,83.19,69,33,405,345,183,105,67,3416
Sukma,2021,18.39,81.66,29,0,4,11,5,9,9,264
Surajpur,2021,23.23,82.87,41,7,73,44,87,17,63,1121
Gaurela Pendra Marwahi,2021,22.73,81.95,13,10,59,44,57,12,8,590
Balod,2022,20.73,81.2,16,2,53,58,88,28,22,798
Balodabazar-Bhatapara,2022,21.66,82.15,28,30,233,159,247,44,21,2137
Balrampur Ramanujganj,2022,23.48,83.6,56,12,82,32,72,0,61,1109
Bemetara,2022,21.71,81.53,31,2,40,60,48,25,10,667
Bilaspur,2022,22.08,82.14,54,37,793,345,448,198,218,5869
Bijapur,2022,18.85,80.8,36,2,8,16,10,0,10,332
Dakshin Bastar Dantewada,2022,18.9,81.35,43,3,18,45,21,36,9,578
Dhamtari,2022,20.71,81.55,27,10,116,102,103,26,17,1159
Durg,2022,21.19,81.28,39,61,365,559,346,89,76,4442
Gariyaband,2022,20.63,82.06,19,5,45,42,61,29,28,712
Raipur,2022,21.25,81.63,75,114,1023,1256,574,1,114,8939
Bastar,2022,19.3,81.96,27,14,46,87,68,27,47,1037
Janjgir-Champa,2022,22.01,82.57,27,15,127,237,192,41,36,1998
Jashpur,2022,22.88,84.14,64,14,91,109,112,30,65,1606
Kabeerdham,2022,22.1,81.33,22,14,83,59,95,28,23,965
Uttar Bastar Kanker,2022,20.27,81.49,27,6,38,26,41,29,38,684
Kondagaon,2022,19.59,81.67,18,1,20,34,41,45,4,469
Korba,2022,22.35,82.68,45,14,207,158,177,57,37,1999
Korea,2022,23.25,82.72,13,5,43,30,25,10,19,451
Mahasamund,2022,21.11,82.1,22,17,77,85,95,20,22,1022
Mungeli,2022,22.06,81.69,19,3,45,31,54,30,10,562
Narayanpur,2022,19.69,81.24,9,2,2,10,18,6,6,183
Raigarh,2022,21.9,83.4,68,33,262,266,190,97,75,2933
Rajnandgaon,2022,21.1,81.03,32,13,88,188,108,37,22,1460
Surguja,2022,23.13,83.19,48,25,115,298,150,102,78,2508
Sukma,2022,18.39,81.66,19,0,4,12,4,10,9,216
Surajpur,2022,23.23,82.87,48,9,100,58,66,28,52,1164
Gaurela Pendra Marwahi,2022,22.73,81.95,13,3,41,31,43,16,8,453
Manendragarh-Chirmiri-Bharatpur(M C B),2022,23.23,82.23,12,9,63,22,70,20,35,713
Khairagarh-Chhuikhadan-Gandai,2022,21.43,80.98,4,8,35,41,44,0,9,422
Mohla-Manpur-Ambagarh Chouki,2022,20.93,80.85,12,2,11,18,32,4,9,293
Sakti,2022,22.03,82.97,21,3,63,115,127,25,30,1169
Sarangarh-Bilaigarh,2022,21.56,83.1,19,7,72,40,73,12,26,760
