district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
New Delhi,2020,28.6139,77.209,10,53,257,415,269,66,7,2995
New Delhi,2021,28.6139,77.209,19,56,940,305,166,111,11,3889
New Delhi,2022,28.6139,77.209,19,91,487,180,197,36,17,2721
Central Delhi,2020,28.6448,77.2167,42,62,268,275,275,48,13,2805
Central Delhi,2021,28.6448,77.2167,11,173,809,437,197,77,12,4481
Central Delhi,2022,28.6448,77.2167,26,92,462,400,236,116,33,3727
South Delhi,2020,28.4817,77.1895,16,170,723,116,97,27,20,2999
South Delhi,2021,28.4817,77.1895,50,193,417,407,271,118,34,4296
South Delhi,2022,28.4817,77.1895,47,174,915,173,82,55,11,3691
North Delhi,2020,28.7845,77.05,26,174,634,483,54,115,20,4035
North Delhi,2021,28.7845,77.05,25,177,663,422,281,40,25,4473
North Delhi,2022,28.7845,77.05,35,127,998,198,276,66,26,4363
East Delhi,2020,28.6293,77.3005,40,62,528,357,143,52,31,3263
East Delhi,2021,28.6293,77.3005,36,157,575,209,72,78,27,3092
East Delhi,2022,28.6293,77.3005,29,193,256,104,217,50,34,2662
