district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
North Goa,2017,15.59,73.97,12,18,168,135,90,53,39,1444
South Goa,2017,15.17,74.04,19,9,69,96,59,33,37,985
North Goa,2018,15.59,73.97,13,9,178,144,76,73,32,1423
South Goa,2018,15.17,74.04,16,9,93,87,47,31,29,911
North Goa,2019,15.59,73.97,14,7,203,101,52,58,41,1284
South Goa,2019,15.17,74.04,19,4,104,107,41,31,31,980
North Goa,2020,15.59,73.97,21,5,161,79,46,70,37,1147
South Goa,2020,15.17,74.04,13,8,89,69,36,28,23,761
North Goa,2021,15.59,73.97,10,17,287,101,63,53,42,1500
South Goa,2021,15.17,74.04,16,10,111,66,41,19,30,851
North Goa,2022,15.59,73.97,19,14,253,104,45,124,39,1547
South Goa,2022,15.17,74.04,25,0,131,60,33,35,34,906
