district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Ahmadabad,2017,23.03,72.58,112,278,1740,2122,630,445,81,14703
Amreli,2017,21.6,71.22,18,27,45,89,85,0,5,835
Anand,2017,22.56,72.95,19,19,106,183,147,47,14,1537
Arvalli,2017,23.58,73.0,9,23,33,60,59,14,7,623
Banas Kantha,2017,24.17,72.43,26,58,119,260,121,56,43,2070
Bharuch,2017,21.7,72.99,42,7,88,284,130,8,11,1727
Bhavnagar,2017,21.76,72.15,31,18,88,173,134,31,10,1436
Botad,2017,22.18,71.67,14,1,23,37,22,0,7,332
Chhotaudepur,2017,22.3,74.01,25,8,21,84,30,9,8,599
Gandhinagar,2017,23.22,72.65,15,43,107,224,116,88,8,1697
Dohad,2017,22.84,74.26,43,42,48,158,68,20,16,1277
Dang,2017,20.76,73.7,6,1,4,4,1,3,1,68
Devbhumi Dwarka,2017,22.24,68.97,10,11,42,28,40,10,4,422
Gir Somnath,2017,20.9,70.37,8,13,43,43,76,19,9,618
Jamnagar,2017,22.47,70.06,16,22,73,142,105,11,11,1132
Junagadh,2017,21.52,70.46,18,15,55,84,59,15,13,784
Kachchh,2017,23.73,70.2,42,33,168,250,149,59,27,2128
Kheda,2017,22.98,72.68,28,5,54,90,59,26,7,802
Mahisagar,2017,23.11,73.47,12,5,12,32,29,5,5,322
Mahesana,2017,23.59,72.37,31,68,184,282,141,44,15,2227
Morbi,2017,22.81,70.84,26,12,46,74,41,1,5,642
Narmada,2017,21.87,73.75,6,3,10,28,8,0,5,195
Navsari,2017,20.95,72.93,20,8,79,118,73,15,8,933
Panch Mahals,2017,22.76,73.6,32,12,110,125,78,22,7,1116
Patan,2017,23.85,72.13,21,26,61,152,101,7,10,1154
Porbandar,2017,21.64,69.61,9,6,18,26,32,14,4,327
Rajkot,2017,22.3,70.78,70,92,252,715,206,34,33,4218
Sabar Kantha,2017,23.59,73.0,23,57,84,250,114,69,13,1806
Surat,2017,21.17,72.83,129,177,729,1450,400,687,40,9935
Surendranagar,2017,22.73,71.65,31,28,75,69,86,5,8,932
