district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Ambala,2017,30.38,76.78,62,22,1007,504,240,94,43,5047
Bhiwani,2017,28.79,76.13,31,31,193,256,273,0,53,2517
Faridabad,2017,28.41,77.31,80,48,1271,1916,436,250,95,11165
Fatehabad,2017,29.52,75.46,23,12,128,216,168,42,23,1770
Gurugram,2017,28.46,77.03,107,99,2219,4242,448,452,136,21023
Jhajjar,2017,28.61,76.65,66,0,237,374,253,113,30,3061
Jind,2017,29.32,76.32,40,36,272,586,391,169,27,4292
Kaithal,2017,29.8,76.4,30,22,247,402,257,44,31,2952
Karnal,2017,29.69,76.99,65,59,525,834,472,166,71,6216
Kurukshetra,2017,29.97,76.85,26,7,261,481,232,0,34,2989
Nuh,2017,28.1,77.0,33,18,159,324,57,41,54,2050
Palwal,2017,28.14,77.33,41,0,309,766,127,0,26,3632
Panchkula,2017,30.69,76.85,19,8,157,179,112,0,19,1409
Panipat,2017,29.39,76.97,60,6,478,1025,518,196,72,6661
Rewari,2017,28.2,76.62,34,3,266,518,154,76,36,3062
Rohtak,2017,28.89,76.61,62,86,602,866,382,216,90,6484
Sirsa,2017,29.53,75.03,25,31,212,402,365,108,19,3285
Sonipat,2017,28.99,77.02,98,19,434,685,417,210,70,5510
Yamunanagar,2017,30.13,77.27,35,9,279,574,349,96,50,3980
Charki Dadri,2017,28.59,76.27,23,13,107,107,77,22,19,1072
Hisar,2017,29.15,75.72,44,36,473,705,431,231,77,5565
Mahendragarh,2017,28.28,76.15,42,7,190,276,185,27,24,2175
Ambala,2018,30.38,76.78,64,10,1063,586,270,77,56,5488
Bhiwani,2018,28.79,76.13,35,43,223,350,269,0,56,2930
Faridabad,2018,28.41,77.31,80,51,1265,2365,421,276,125,12669
Fatehabad,2018,29.52,75.46,31,21,148,305,245,17,42,2429
Gurugram,2018,28.46,77.03,79,42,2065,4407,438,379,146,20716
Hisar,2018,29.15,75.72,60,28,465,840,373,112,72,5565
Jhajjar,2018,28.61,76.65,63,0,368,461,276,55,37,3557
Jind,2018,29.32,76.32,61,47,271,571,383,54,37,4190
Kaithal,2018,29.8,76.4,36,41,279,663,349,49,44,4256
Karnal,2018,29.69,76.99,72,24,616,938,503,253,79,6912
Kurukshetra,2018,29.97,76.85,28,9,352,493,236,0,32,3227
Mahendragarh,2018,28.28,76.15,41,5,220,333,131,16,39,2284
Nuh,2018,28.1,77.0,23,33,147,308,64,15,66,2017
Palwal,2018,28.14,77.33,63,0,261,645,167,0,40,3473
Panchkula,2018,30.69,76.85,12,15,185,287,137,0,26,1892
Panipat,2018,29.39,76.97,61,3,581,1066,501,104,99,6883
Rewari,2018,28.2,76.62,53,4,394,593,197,40,41,3724
Rohtak,2018,28.89,76.61,69,44,584,934,388,133,71,6276
Sirsa,2018,29.53,75.03,34,27,298,606,350,72,56,4166
Sonipat,2018,28.99,77.02,82,17,505,819,406,175,75,5888
Yamunanagar,2018,30.13,77.27,30,11,344,511,352,126,37,3908
Charki Dadri,2018,28.59,76.27,27,27,141,113,112,9,20,1318
Ambala,2019,30.38,76.78,55,15,1064,649,343,40,46,5749
Bhiwani,2019,28.79,76.13,37,60,187,311,218,0,73,2751
Faridabad,2019,28.41,77.31,83,30,797,2310,473,255,159,11783
Fatehabad,2019,29.52,75.46,26,24,108,314,219,92,36,2405
Gurugram,2019,28.46,77.03,104,40,1804,4191,393,353,166,19576
Hisar,2019,29.15,75.72,63,60,312,794,483,105,73,5585
Jhajjar,2019,28.61,76.65,81,6,312,437,251,81,43,3494
Jind,2019,29.32,76.32,64,48,180,544,403,34,48,4021
Kaithal,2019,29.8,76.4,38,32,240,532,347,101,35,3812
Karnal,2019,29.69,76.99,62,24,384,863,449,209,69,5873
Kurukshetra,2019,29.97,76.85,30,12,299,547,290,0,50,3557
Mahendragarh,2019,28.28,76.15,40,11,170,369,114,57,43,2362
Nuh,2019,28.1,77.0,40,7,110,443,63,35,89,2481
Palwal,2019,28.14,77.33,44,14,140,630,145,0,56,3161
Panchkula,2019,30.69,76.85,21,13,128,264,150,128,43,2126
Panipat,2019,29.39,76.97,60,3,259,959,370,242,103,5816
Rewari,2019,28.2,76.62,44,4,324,647,264,57,52,3991
Rohtak,2019,28.89,76.61,70,43,552,909,430,155,65,6278
Sirsa,2019,29.53,75.03,20,35,193,469,346,120,85,3736
Sonipat,2019,28.99,77.02,97,114,219,698,338,79,76,5025
Yamunanagar,2019,30.13,77.27,42,10,328,650,335,103,54,4337
Charki Dadri,2019,28.59,76.27,16,15,64,88,54,4,16,782
Ambala,2020,30.38,76.78,46,25,421,426,296,82,49,3747
Bhiwani,2020,28.79,76.13,37,49,190,370,246,0,43,2824
Faridabad,2020,28.41,77.31,62,24,495,1931,421,195,131,9497
Fatehabad,2020,29.52,75.46,32,17,72,274,217,22,29,2034
Gurugram,2020,28.46,77.03,85,56,1059,2778,243,760,173,14215
Hisar,2020,29.15,75.72,85,68,300,811,464,90,85,5727
Jhajjar,2020,28.61,76.65,51,71,159,386,259,50,31,3047
Jind,2020,29.32,76.32,59,43,138,528,369,77,43,3803
Kaithal,2020,29.8,76.4,44,23,132,497,261,78,21,3111
Karnal,2020,29.69,76.99,70,19,431,743,395,407,97,6001
Kurukshetra,2020,29.97,76.85,33,4,329,536,266,0,51,3500
Mahendragarh,2020,28.28,76.15,40,6,132,192,105,74,32,1687
Nuh,2020,28.1,77.0,34,9,103,510,101,40,63,2640
Palwal,2020,28.14,77.33,57,3,113,700,159,0,32,3260
Panchkula,2020,30.69,76.85,11,5,113,192,105,132,36,1636
Panipat,2020,29.39,76.97,77,1,198,799,338,273,67,5077
Rewari,2020,28.2,76.62,41,7,289,422,199,92,54,3128
Rohtak,2020,28.89,76.61,76,67,470,779,408,131,70,5761
Sirsa,2020,29.53,75.03,37,41,126,379,342,134,66,3362
Sonipat,2020,28.99,77.02,111,106,238,761,278,93,80,5158
Yamunanagar,2020,30.13,77.27,36,4,464,557,503,112,102,5038
Charki Dadri,2020,28.59,76.27,19,9,49,65,91,10,18,807
Ambala,2021,30.38,76.78,43,17,719,676,350,93,59,5280
Bhiwani,2021,28.79,76.13,36,19,222,360,211,32,55,2752
Faridabad,2021,28.41,77.31,71,18,587,2082,341,174,144,9938
Fatehabad,2021,29.52,75.46,22,16,139,365,255,58,36,2608
Gurugram,2021,28.46,77.03,77,64,1208,3634,282,279,222,16473
Hisar,2021,29.15,75.72,73,54,616,922,673,112,121,7427
Jhajjar,2021,28.61,76.65,83,106,253,557,292,60,45,4237
Jind,2021,29.32,76.32,61,54,293,535,354,66,45,4131
Kaithal,2021,29.8,76.4,48,27,269,609,325,54,46,4026
Karnal,2021,29.69,76.99,69,15,698,869,521,296,130,7213
Kurukshetra,2021,29.97,76.85,15,5,504,741,383,0,76,4855
Mahendragarh,2021,28.28,76.15,25,10,246,276,212,66,36,2433
Nuh,2021,28.1,77.0,30,7,112,592,117,49,68,2967
Palwal,2021,28.14,77.33,62,4,215,770,208,0,56,3970
Panchkula,2021,30.69,76.85,16,15,165,313,120,152,40,2273
Panipat,2021,29.39,76.97,65,2,469,1166,488,91,126,7045
Rewari,2021,28.2,76.62,46,18,300,627,237,15,64,3844
Rohtak,2021,28.89,76.61,70,106,566,959,393,118,66,6528
Sirsa,2021,29.53,75.03,31,27,208,595,471,74,50,4275
Sonipat,2021,28.99,77.02,114,104,300,711,266,59,96,5115
Yamunanagar,2021,30.13,77.27,35,1,552,879,541,215,121,6578
Charki Dadri,2021,28.59,76.27,20,3,48,84,64,4,14,730
Ambala,2022,30.38,76.78,50,16,1093,761,360,75,83,6428
Bhiwani,2022,28.79,76.13,51,20,328,454,293,25,57,3567
Faridabad,2022,28.41,77.31,76,17,465,1836,319,231,159,9100
Fatehabad,2022,29.52,75.46,14,8,164,441,265,65,43,2893
Gurugram,2022,28.46,77.03,90,66,1407,3562,257,410,191,16760
Hisar,2022,29.15,75.72,50,35,880,1173,807,222,128,9174
Jhajjar,2022,28.61,76.65,61,72,294,596,258,139,50,4271
Jind,2022,29.32,76.32,39,31,413,547,508,66,47,4677
Kaithal,2022,29.8,76.4,35,27,271,565,321,98,44,3899
Karnal,2022,29.69,76.99,66,11,859,1047,487,545,128,8424
Kurukshetra,2022,29.97,76.85,27,34,423,752,336,74,93,4994
Mahendragarh,2022,28.28,76.15,33,3,167,215,185,39,39,1984
Nuh,2022,28.1,77.0,22,15,184,486,129,59,71,2856
Palwal,2022,28.14,77.33,58,2,295,657,208,73,64,3949
Panchkula,2022,30.69,76.85,13,12,355,421,200,213,40,3312
Panipat,2022,29.39,76.97,72,12,621,1230,703,121,108,8231
Rewari,2022,28.2,76.62,41,12,249,494,189,31,49,3107
Rohtak,2022,28.89,76.61,62,68,578,1074,405,165,78,6895
Sirsa,2022,29.53,75.03,37,24,354,654,494,53,64,4859
Sonipat,2022,28.99,77.02,76,118,368,884,357,132,130,6225
Yamunanagar,2022,30.13,77.27,30,10,610,797,498,171,105,6162
Charki Dadri,2022,28.59,76.27,17,4,48,69,72,9,16,718
