district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Solan,2017,30.91,77.09,12,2,55,80,58,31,29,799
Bilaspur,2017,31.34,76.76,4,1,30,12,25,7,25,334
Chamba,2017,32.55,76.12,4,0,9,5,14,17,10,179
Shimla,2017,31.1,77.17,16,2,47,37,36,49,29,644
Hamirpur,2017,31.69,76.52,0,0,14,10,33,0,18,247
Kangra,2017,32.1,76.27,19,0,42,33,74,58,37,801
Kinnaur,2017,31.59,78.44,4,0,3,2,15,5,3,102
Kullu,2017,31.96,77.1,9,0,13,22,29,7,19,333
Mandi,2017,31.71,76.93,11,2,28,28,47,0,38,534
Sirmaur,2017,30.62,77.39,7,1,23,33,31,30,26,467
Una,2017,31.46,76.26,13,0,38,30,78,63,14,661
Lahul And Spiti,2017,32.61,77.68,0,0,0,0,0,0,1,5
Solan,2018,30.91,77.09,12,5,59,115,81,25,36,1016
Bilaspur,2018,31.34,76.76,2,0,27,25,15,20,20,324
Chamba,2018,32.55,76.12,3,0,3,5,14,11,17,185
Shimla,2018,31.1,77.17,16,1,90,55,85,58,40,1000
Hamirpur,2018,31.69,76.52,3,0,11,21,16,0,14,218
Kangra,2018,32.1,76.27,23,0,45,31,69,48,52,861
Kinnaur,2018,31.59,78.44,2,0,0,0,7,2,6,65
Kullu,2018,31.96,77.1,8,1,15,19,19,9,31,361
Mandi,2018,31.71,76.93,13,0,21,36,38,0,48,569
Sirmaur,2018,30.62,77.39,4,2,54,33,46,30,55,708
Una,2018,31.46,76.26,13,0,25,25,64,101,25,709
Lahul And Spiti,2018,32.61,77.68,0,0,0,0,2,1,0,8
Solan,2019,30.91,77.09,10,6,53,72,44,58,51,899
Bilaspur,2019,31.34,76.76,3,0,15,10,13,23,19,255
Chamba,2019,32.55,76.12,10,2,9,11,9,16,18,258
Shimla,2019,31.1,77.17,10,0,48,26,76,84,62,930
Hamirpur,2019,31.69,76.52,2,0,8,8,11,0,18,173
Kangra,2019,32.1,76.27,15,1,38,21,53,65,39,702
Kinnaur,2019,31.59,78.44,3,0,5,0,2,3,12,97
Kullu,2019,31.96,77.1,5,1,13,20,21,13,30,354
Mandi,2019,31.71,76.93,5,0,16,26,42,0,52,521
Sirmaur,2019,30.62,77.39,3,1,26,24,33,28,40,498
Una,2019,31.46,76.26,4,1,16,10,36,33,18,350
Lahul And Spiti,2019,32.61,77.68,0,0,0,2,1,1,0,11
Solan,2020,30.91,77.09,15,0,32,52,32,21,34,603
Bilaspur,2020,31.34,76.76,4,0,8,9,12,13,23,240
Chamba,2020,32.55,76.12,8,1,4,3,14,29,22,271
Shimla,2020,31.1,77.17,10,2,49,18,46,94,54,806
Hamirpur,2020,31.69,76.52,4,0,8,3,9,0,6,102
Kangra,2020,32.1,76.27,14,4,29,14,32,56,47,629
Kinnaur,2020,31.59,78.44,6,0,5,1,4,3,5,86
Kullu,2020,31.96,77.1,6,0,11,11,9,28,31,323
Mandi,2020,31.71,76.93,11,1,20,10,21,0,41,397
Sirmaur,2020,30.62,77.39,6,0,16,13,18,18,44,411
Una,2020,31.46,76.26,7,0,19,10,13,23,22,298
Lahul And Spiti,2020,32.61,77.68,0,0,2,0,0,0,2,14
Solan,2021,30.91,77.09,19,2,51,60,32,49,47,814
Bilaspur,2021,31.34,76.76,3,0,22,9,12,25,17,257
Chamba,2021,32.55,76.12,5,0,7,2,12,19,24,239
Shimla,2021,31.1,77.17,10,0,47,30,28,46,57,695
Hamirpur,2021,31.69,76.52,0,0,11,8,14,4,8,136
Kangra,2021,32.1,76.27,14,5,27,40,50,35,58,774
Kinnaur,2021,31.59,78.44,2,0,7,0,5,3,6,75
Kullu,2021,31.96,77.1,6,0,11,13,14,13,18,249
Mandi,2021,31.71,76.93,13,0,15,21,13,0,57,482
Sirmaur,2021,30.62,77.39,3,0,38,27,37,29,50,591
Una,2021,31.46,76.26,11,1,13,15,11,28,15,294
Lahul And Spiti,2021,32.61,77.68,0,0,1,0,0,0,1,7
Solan,2022,30.91,77.09,12,1,93,63,51,47,53,951
Bilaspur,2022,31.34,76.76,4,0,39,8,26,12,13,289
Chamba,2022,32.55,76.12,3,0,16,6,11,15,25,253
Shimla,2022,31.1,77.17,15,2,54,29,26,58,38,662
Hamirpur,2022,31.69,76.52,1,0,11,12,15,4,6,146
Kangra,2022,32.1,76.27,15,2,63,68,97,58,53,1085
Kinnaur,2022,31.59,78.44,2,0,5,0,9,6,11,114
Kullu,2022,31.96,77.1,10,1,26,8,16,26,30,380
Mandi,2022,31.71,76.93,8,1,29,16,19,0,57,492
Sirmaur,2022,30.62,77.39,7,0,46,30,42,44,48,671
Una,2022,31.46,76.26,6,1,29,14,38,22,24,412
Lahul And Spiti,2022,32.61,77.68,2,0,4,0,2,1,1,31
