district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Anantnag,2017,33.73,75.15,7,2,56,42,107,21,11,699
Pulwama,2017,33.87,74.9,16,9,41,25,58,16,4,499
Bandipora,2017,34.42,74.65,7,0,14,9,16,12,4,182
Baramulla,2017,34.21,74.36,9,7,121,26,108,43,6,833
Budgam,2017,33.93,74.75,0,4,73,37,77,18,10,590
Jammu,2017,32.73,74.87,14,0,139,321,137,31,49,2029
Srinagar,2017,34.08,74.8,15,23,97,265,212,60,11,1967
Doda,2017,33.15,75.55,2,0,29,2,26,7,15,241
Ganderbal,2017,34.23,74.79,1,0,25,11,25,3,4,189
Kupwara,2017,34.53,74.26,14,1,62,7,54,21,20,523
Kathua,2017,32.38,75.52,4,0,21,43,38,0,16,385
Kishtwar,2017,33.31,75.77,2,0,10,1,9,7,4,94
Kulgam,2017,33.64,75.02,11,5,23,19,51,14,22,469
Poonch,2017,33.77,74.09,9,0,17,6,19,7,15,243
Reasi,2017,33.08,74.83,5,0,37,10,40,15,24,399
Rajouri,2017,33.38,74.31,6,0,43,24,37,12,29,468
Ramban,2017,33.24,75.24,4,0,15,10,24,7,16,246
Samba,2017,32.56,75.12,2,0,23,29,19,0,8,240
Shopian,2017,33.72,74.83,14,5,45,18,21,13,1,328
Udhampur,2017,32.92,75.14,10,0,28,17,47,14,25,451
Anantnag,2018,33.73,75.15,1,6,35,22,71,21,18,510
Pulwama,2018,33.87,74.9,24,9,35,18,59,20,4,517
Bandipora,2018,34.42,74.65,9,1,25,3,18,9,7,215
Baramulla,2018,34.21,74.36,17,8,133,33,93,48,15,932
Budgam,2018,33.93,74.75,1,9,76,37,55,10,21,594
Jammu,2018,32.73,74.87,25,2,107,345,157,30,55,2188
Srinagar,2018,34.08,74.8,16,22,91,238,193,64,13,1836
Doda,2018,33.15,75.55,4,0,10,1,18,7,12,171
Ganderbal,2018,34.23,74.79,4,0,23,11,29,8,7,237
Kupwara,2018,34.53,74.26,4,0,57,3,39,11,18,372
Kathua,2018,32.38,75.52,9,1,32,46,54,6,12,485
Kishtwar,2018,33.31,75.77,4,1,14,6,9,6,8,149
Kulgam,2018,33.64,75.02,4,11,19,19,32,14,15,358
Poonch,2018,33.77,74.09,2,0,24,13,12,8,20,249
Reasi,2018,33.08,74.83,5,0,39,19,28,11,22,376
Rajouri,2018,33.38,74.31,11,0,30,32,36,22,28,503
Ramban,2018,33.24,75.24,3,1,26,15,15,6,14,243
Samba,2018,32.56,75.12,12,0,27,24,32,0,7,317
Shopian,2018,33.72,74.83,14,7,60,13,24,22,3,388
Udhampur,2018,32.92,75.14,9,0,33,58,38,15,17,514
Anantnag,2019,33.73,75.15,2,3,16,26,56,19,13,403
Pulwama,2019,33.87,74.9,12,7,36,38,39,8,5,432
Bandipora,2019,34.42,74.65,1,1,17,8,23,9,5,179
Baramulla,2019,34.21,74.36,12,16,120,40,94,33,12,892
Budgam,2019,33.93,74.75,1,5,83,40,36,20,8,499
Jammu,2019,32.73,74.87,25,3,160,431,182,48,22,2502
Srinagar,2019,34.08,74.8,6,21,91,190,197,29,14,1585
Doda,2019,33.15,75.55,3,0,7,1,35,8,11,208
Ganderbal,2019,34.23,74.79,0,0,27,12,27,6,2,193
