district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Bokaro,2017,23.78,85.98,48,29,6,247,116,145,67,2082
West Singhbhum,2017,22.63,85.49,101,27,83,71,30,11,54,1374
Chatra,2017,24.2,84.87,64,25,102,78,44,52,29,1239
Deoghar,2017,24.48,86.69,70,19,268,237,116,45,29,2256
Dhanbad,2017,23.8,86.45,62,37,666,149,80,82,39,2836
Dumka,2017,24.27,87.25,63,12,88,106,42,18,25,1144
Garhwa,2017,24.16,83.81,62,23,109,26,0,101,28,1040
Giridih,2017,24.19,86.31,51,21,194,165,83,89,70,1999
Godda,2017,24.83,87.21,52,0,89,70,0,0,49,893
Gumla,2017,23.04,84.54,136,25,71,76,24,6,54,1504
Hazaribagh,2017,23.99,85.36,77,15,254,171,119,214,72,2611
East Singhbum,2017,22.8,86.2,102,12,651,562,164,389,85,5241
Jamtara,2017,23.96,86.8,19,11,70,52,23,77,26,788
Khunti,2017,23.07,85.28,56,15,22,21,11,14,11,563
Koderma,2017,24.46,85.6,28,6,80,63,37,43,18,800
Latehar,2017,23.74,84.5,33,11,84,24,15,17,29,673
Lohardaga,2017,23.43,84.69,22,11,76,25,23,0,37,635
Pakur,2017,24.63,87.84,23,8,40,49,16,35,43,707
Palamu,2017,24.03,84.07,89,22,150,122,68,15,35,1608
Ramgarh,2017,23.63,85.51,19,17,171,162,54,53,15,1334
Ranchi,2017,23.34,85.31,152,142,1158,1386,276,323,14,9346
Sahebganj,2017,25.24,87.64,62,8,165,39,55,91,48,1376
Saraikela Kharsawan,2017,22.71,85.94,43,24,160,142,35,73,13,1373
Simdega,2017,22.62,84.51,53,6,35,6,16,27,24,599
Bokaro,2018,23.78,85.98,73,0,240,339,168,211,51,3043
West Singhbhum,2018,22.63,85.49,101,11,90,85,26,39,59,1435
Chatra,2018,24.2,84.87,74,22,119,104,34,20,22,1260
Deoghar,2018,24.48,86.69,71,33,288,207,80,67,21,2163
Dhanbad,2018,23.8,86.45,46,32,514,269,57,38,36,2620
Dumka,2018,24.27,87.25,58,22,140,172,73,31,22,1565
Garhwa,2018,24.16,83.81,75,24,86,41,0,142,31,1205
Giridih,2018,24.19,86.31,129,26,241,163,48,114,45,2317
Godda,2018,24.83,87.21,53,22,118,98,31,104,60,1484
Gumla,2018,23.04,84.54,135,24,78,95,21,31,48,1577
Hazaribagh,2018,23.99,85.36,91,22,187,249,101,289,53,2810
East Singhbum,2018,22.8,86.2,85,16,729,571,147,504,86,5539
Jamtara,2018,23.96,86.8,31,7,78,74,20,45,17,796
Khunti,2018,23.07,85.28,75,16,31,42,4,16,25,796
Koderma,2018,24.46,85.6,17,3,61,89,20,30,15,681
Latehar,2018,23.74,84.5,45,8,45,36,14,32,37,746
Lohardaga,2018,23.43,84.69,25,10,82,23,38,30,46,802
Pakur,2018,24.63,87.84,44,12,98,82,20,19,38,998
Palamu,2018,24.03,84.07,106,33,79,247,73,118,56,2296
Ramgarh,2018,23.63,85.51,27,22,102,310,79,106,21,1911
Ranchi,2018,23.34,85.31,165,147,101,1481,363,866,177,9764
Sahebganj,2018,25.24,87.64,76,17,99,103,32,138,74,1697
Saraikela Kharsawan,2018,22.71,85.94,64,21,112,123,90,0,20,1367
Simdega,2018,22.62,84.51,46,7,23,18,10,13,30,564
