district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Bengaluru Urban,2017,12.58,77.38,315,1119,6428,6735,1613,2882,150,50465
Belagavi,2017,15.52,74.34,96,91,193,365,348,246,40,4061
Mysuru,2017,12.18,76.39,75,82,289,488,272,322,22,4315
Bagalkote,2017,16.12,75.45,37,11,59,63,61,62,2,853
Ballari,2017,15.09,76.55,37,51,106,143,136,153,13,1809
Bidar,2017,17.55,77.32,33,23,81,88,82,24,10,1027
Vijayapura,2017,16.5,75.42,82,56,97,130,109,90,24,1845
Chikkaballapura,2017,13.27,77.44,26,15,94,73,81,81,5,1027
Chamarajanagara,2017,11.55,76.56,16,13,38,50,46,19,7,569
Chikkamagaluru,2017,13.19,75.46,15,22,113,60,71,70,11,977
Chitradurga,2017,14.13,76.24,16,23,109,73,110,67,17,1158
Dakshina Kannada,2017,12.52,75.05,33,74,178,167,172,131,28,2236
Davangere,2017,14.28,75.59,33,41,121,196,138,107,13,1852
Dharwad,2017,15.27,75.01,50,102,197,288,154,182,13,2807
Gadag,2017,15.24,75.38,20,10,336,40,66,55,8,1280
Kalaburagi,2017,17.2,76.5,70,39,119,147,125,98,16,1836
Hassan,2017,13.0,76.06,50,51,126,152,204,119,18,2102
Haveri,2017,14.48,75.24,25,6,251,60,82,51,17,1264
Kodagu,2017,12.25,75.44,27,5,179,37,80,52,7,1003
Kolar,2017,13.08,78.08,38,31,40,104,62,78,9,1093
Koppal,2017,15.21,76.09,15,14,165,71,61,73,15,1078
Mandya,2017,12.31,76.53,44,54,239,283,208,102,13,2656
Raichur,2017,16.12,77.2,42,7,47,84,66,110,12,1062
Ramanagara,2017,12.43,77.17,42,47,291,240,131,131,12,2415
Shivamogga,2017,13.55,75.34,44,70,189,202,216,176,19,2579
Tumakuru,2017,13.2,77.06,44,48,157,211,119,164,17,2129
Udupi,2017,13.2,74.45,12,27,66,37,69,98,14,884
Uttara Kannada,2017,14.38,74.49,20,16,103,50,105,70,11,1030
Yadgir,2017,16.45,77.08,27,4,128,35,31,27,3,674
Bengaluru Urban,2018,12.58,77.38,306,1079,5308,5989,1346,2803,123,44688
Belagavi,2018,15.52,74.34,85,66,220,384,300,233,32,3807
Mysuru,2018,12.18,76.39,75,116,316,451,229,254,26,4149
Bagalkote,2018,16.12,75.45,35,12,43,60,51,93,6,858
Ballari,2018,15.09,76.55,30,27,102,146,108,156,15,1611
Bidar,2018,17.55,77.32,43,30,81,125,92,30,9,1253
Vijayapura,2018,16.5,75.42,66,24,115,126,102,50,6,1470
Chikkaballapura,2018,13.27,77.44,33,10,78,72,60,85,7,962
Chamarajanagara,2018,11.55,76.56,17,14,57,72,56,27,12,753
Chikkamagaluru,2018,13.19,75.46,32,12,162,42,57,62,16,1033
Chitradurga,2018,14.13,76.24,20,14,244,81,84,73,6,1315
Dakshina Kannada,2018,12.52,75.05,31,88,176,165,153,179,25,2296
Davangere,2018,14.28,75.59,31,30,209,207,103,126,20,1975
Dharwad,2018,15.27,75.01,38,45,133,199,91,127,6,1790
Gadag,2018,15.24,75.38,14,11,271,40,42,44,4,1010
Kalaburagi,2018,17.2,76.5,64,45,112,196,132,59,14,1896
Hassan,2018,13.0,76.06,48,43,129,187,163,127,20,2074
Haveri,2018,14.48,75.24,17,12,138,81,80,65,9,1067
Kodagu,2018,12.25,75.44,24,9,103,31,73,74,10,872
Kolar,2018,13.08,78.08,24,14,62,80,54,62,6,856
Koppal,2018,15.21,76.09,13,5,407,56,58,56,11,1408
Mandya,2018,12.31,76.53,46,57,162,332,189,47,11,2494
Raichur,2018,16.12,77.2,29,8,186,67,94,91,23,1329
