district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Alappuzha,2017,9.49,76.34,19,29,88,69,83,190,95,1698
Ernakulam,2017,10.02,76.31,28,70,356,209,193,701,200,4740
Idukki,2017,9.85,76.97,20,12,149,11,66,224,92,1585
Kannur,2017,11.87,75.37,20,48,49,42,74,154,74,1416
Kasaragod,2017,12.5,74.99,11,37,399,32,91,83,85,1961
Kollam,2017,8.88,76.61,32,48,165,92,180,288,215,3149
Kottayam,2017,9.59,76.52,10,41,100,47,132,245,104,1961
Kozhikode,2017,11.24,75.78,12,77,210,174,219,255,146,3207
Malappuram,2017,11.04,76.08,18,82,90,101,187,310,165,2907
Palakkad,2017,10.78,76.65,27,93,116,83,119,169,209,2728
Pathanamthitta,2017,9.26,76.78,30,24,73,39,59,144,83,1389
Thiruvananthapuram,2017,8.52,76.94,40,160,524,201,277,485,288,5732
Thrissur,2017,10.52,76.21,34,79,239,121,158,597,179,3890
Wayanad,2017,11.61,76.08,4,7,37,28,46,85,68,854
Alappuzha,2018,9.49,76.34,12,26,146,61,91,259,113,1995
Ernakulam,2018,10.02,76.31,28,120,410,170,199,722,213,5056
Idukki,2018,9.85,76.97,18,17,146,20,69,294,63,1620
Kannur,2018,11.87,75.37,18,59,80,59,105,247,104,1992
Kasaragod,2018,12.5,74.99,11,29,115,49,62,128,71,1345
Kollam,2018,8.88,76.61,42,73,163,62,190,287,174,3028
Kottayam,2018,9.59,76.52,15,18,130,50,92,326,137,2170
Kozhikode,2018,11.24,75.78,19,91,188,138,195,255,131,2999
Malappuram,2018,11.04,76.08,18,78,137,95,190,228,189,2932
Palakkad,2018,10.78,76.65,19,97,150,82,180,120,146,2539
Pathanamthitta,2018,9.26,76.78,16,28,72,19,80,168,92,1429
Thiruvananthapuram,2018,8.52,76.94,38,147,508,201,272,586,245,5610
Thrissur,2018,10.52,76.21,26,71,218,119,131,926,181,4357
Wayanad,2018,11.61,76.08,12,13,45,18,59,97,86,1057
Alappuzha,2019,9.49,76.34,22,56,101,45,66,288,111,2000
Ernakulam,2019,10.02,76.31,52,83,315,184,206,790,203,4987
Idukki,2019,9.85,76.97,17,20,113,14,52,294,82,1587
Kannur,2019,11.87,75.37,7,33,93,46,119,251,98,1840
Kasaragod,2019,12.5,74.99,9,29,93,57,64,106,87,1357
Kollam,2019,8.88,76.61,38,102,141,89,179,314,177,3197
Kottayam,2019,9.59,76.52,21,27,90,67,61,302,104,1901
Kozhikode,2019,11.24,75.78,21,66,168,183,173,256,156,3065
Malappuram,2019,11.04,76.08,12,28,95,103,172,290,206,2797
Palakkad,2019,10.78,76.65,19,63,139,92,173,245,145,2635
Pathanamthitta,2019,9.26,76.78,14,17,76,25,72,190,91,1416
Thiruvananthapuram,2019,8.52,76.94,54,161,478,166,260,745,286,6068
Thrissur,2019,10.52,76.21,28,47,212,158,156,1584,190,5812
