district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Kargil,2017,34.56,76.13,0,0,2,1,5,1,0,24
Leh Ladakh,2017,34.16,77.58,0,1,0,1,8,2,2,45
Kargil,2018,34.56,76.13,0,0,3,0,4,2,0,22
Leh Ladakh,2018,34.16,77.58,3,5,1,1,12,1,4,98
Kargil,2019,34.56,76.13,0,0,3,0,3,1,0,17
Leh Ladakh,2019,34.16,77.58,2,0,5,0,5,6,2,57
Kargil,2020,34.56,76.13,0,0,0,0,3,3,0,15
Leh Ladakh,2020,34.16,77.58,0,0,2,0,3,2,2,27
Kargil,2021,34.56,76.13,4,0,3,1,3,3,1,49
Leh Ladakh,2021,34.16,77.58,1,0,5,1,7,13,1,70
Kargil,2022,34.56,76.13,2,1,12,1,9,7,2,92
Leh Ladakh,2022,34.16,77.58,3,3,6,1,3,5,3,76
