district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Agar-Malwa,2017,23.71,76.01,9,9,40,83,38,18,35,735
Alirajpur,2017,22.31,74.36,47,18,42,128,62,20,72,1361
Anuppur,2017,23.16,81.69,23,8,67,60,105,8,65,1117
Ashoknagar,2017,24.57,77.72,19,12,115,124,135,34,76,1598
Balaghat,2017,21.81,80.19,43,12,133,102,187,26,121,2053
Barwani,2017,22.05,74.9,27,4,142,146,92,2,108,1693
Betul,2017,21.9,77.9,57,8,69,94,69,34,81,1417
Bhind,2017,26.56,78.79,42,33,171,192,200,37,65,2259
Bhopal,2017,23.26,77.41,66,162,3560,2419,906,160,322,20003
Burhanpur,2017,21.3,76.23,11,2,31,58,30,6,37,586
Chhatarpur,2017,24.92,79.59,47,30,82,122,163,26,76,1806
Chhindwara,2017,22.06,78.94,56,28,248,194,289,67,234,3641
Damoh,2017,23.84,79.44,36,15,91,97,142,8,48,1395
Datia,2017,25.66,78.46,30,13,40,61,50,9,24,753
Dewas,2017,22.96,76.05,28,25,216,363,124,71,151,3030
Dhar,2017,22.6,75.3,78,42,258,586,185,5,227,4532
Dindori,2017,22.94,81.08,22,3,47,7,52,0,68,733
Guna,2017,24.65,77.32,39,44,176,455,219,41,169,3672
Gwalior,2017,26.22,78.18,66,180,885,1464,757,0,225,10608
Harda,2017,22.34,77.1,20,7,63,125,79,13,82,1302
Narmadapuram,2017,22.74,77.73,38,23,137,175,146,31,109,2126
Indore,2017,22.72,75.86,96,109,1452,3347,821,204,272,18092
Jabalpur,2017,23.17,79.95,93,185,2113,584,542,27,180,9763
Jhabua,2017,22.77,74.6,21,25,79,172,88,6,113,1720
Katni,2017,23.83,80.4,37,15,155,136,244,46,103,2302
Khandwa (East Nimar),2017,21.82,76.35,24,12,166,129,95,0,113,1737
Khargone (West Nimar),2017,21.82,75.62,48,25,214,241,191,4,203,3087
Mandla,2017,22.6,80.38,25,1,38,44,51,21,65,857
Mandsaur,2017,24.07,75.07,34,10,151,206,100,25,78,1870
Morena,2017,26.5,77.99,41,66,221,449,283,123,85,3778
Narsimhapur,2017,22.95,79.2,30,4,71,126,142,23,119,1753
Neemuch,2017,24.47,74.87,10,11,92,129,58,20,45,1104
Panna,2017,24.72,80.18,18,3,45,30,88,0,22,656
Raisen,2017,23.33,77.79,38,15,127,167,112,30,60,1701
Rajgarh,2017,23.85,76.73,22,24,108,251,152,0,81,2036
Ratlam,2017,23.33,75.04,31,30,162,195,114,41,137,2293
Rewa,2017,24.53,81.3,58,78,335,475,380,15,110,4417
Sagar,2017,23.84,78.74,65,34,257,289,269,75,213,3864
Satna,2017,24.6,80.83,63,28,193,304,295,0,153,3375
Seoni,2017,22.09,79.54,29,3,96,84,106,29,53,1242
Shahdol,2017,23.29,81.35,35,27,153,90,181,37,107,2011
Shajapur,2017,23.43,76.28,23,7,116,143,73,10,52,1303
Sheopur,2017,25.67,76.7,13,4,25,42,49,6,29,561
Shivpuri,2017,25.43,77.66,34,21,146,149,171,46,86,2028
Sidhi,2017,24.41,81.88,26,10,254,49,171,16,37,1555
Sehore,2017,23.2,77.08,21,20,207,379,214,42,132,3122
Singrauli,2017,24.2,82.66,44,13,119,65,105,6,94,1502
Tikamgarh,2017,24.74,78.83,18,26,153,93,95,23,131,1765
Ujjain,2017,23.18,75.77,52,66,434,717,261,94,187,5449
Umaria,2017,23.52,80.84,16,7,53,26,65,6,47,734
Vidisha,2017,23.52,77.82,39,24,239,290,297,43,60,2916
Agar-Malwa,2018,23.71,76.01,7,1,37,56,48,5,43,650
Alirajpur,2018,22.31,74.36,42,11,28,121,47,15,58,1134
Anuppur,2018,23.16,81.69,29,5,61,33,89,13,74,1049
Ashoknagar,2018,24.57,77.72,21,15,91,92,121,22,87,1465
Balaghat,2018,21.81,80.19,37,10,108,70,158,16,114,1727
Barwani,2018,22.05,74.9,41,5,70,164,88,0,78,1511
Betul,2018,21.9,77.9,45,8,70,123,135,21,70,1563
Bhind,2018,26.56,78.79,28,35,230,221,213,40,58,2412
Bhopal,2018,23.26,77.41,71,168,4372,2496,898,126,365,22030
Burhanpur,2018,21.3,76.23,18,2,32,43,36,8,45,640
Chhatarpur,2018,24.92,79.59,39,27,108,180,170,33,64,1955
Chhindwara,2018,22.06,78.94,70,35,184,186,232,58,199,3223
Damoh,2018,23.84,79.44,39,6,55,72,74,0,34,937
Datia,2018,25.66,78.46,27,14,37,43,57,9,31,738
Dewas,2018,22.96,76.05,34,36,214,323,129,0,171,2953
Dhar,2018,22.6,75.3,60,44,237,572,171,0,272,4539
Dindori,2018,22.94,81.08,17,1,29,15,55,18,43,608
Guna,2018,24.65,77.32,32,41,128,391,173,4,107,2815
Gwalior,2018,26.22,78.18,77,140,769,1312,685,0,211,9529
Harda,2018,22.34,77.1,14,7,49,84,62,20,92,1134
Narmadapuram,2018,22.74,77.73,46,13,159,166,125,33,125,2164
Indore,2018,22.72,75.86,80,91,1338,3476,553,142,161,16616
Jabalpur,2018,23.17,79.95,73,149,2100,672,566,67,224,10129
Jhabua,2018,22.77,74.6,30,36,54,180,59,1,84,1541
