district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Ahmednagar,2017,19.08,74.73,86,312,1072,719,482,173,85,8196
Akola,2017,20.7,77.0,38,62,452,152,112,64,27,2397
Amravati,2017,20.93,77.75,61,78,1319,431,246,133,72,5912
Chhatrapati Sambhajinagar,2017,19.88,75.32,75,186,1722,980,275,194,68,9056
Beed,2017,18.98,75.75,56,68,411,352,146,56,30,3130
Bhandara,2017,21.17,79.65,14,15,284,91,134,16,12,1465
Buldhana,2017,20.53,76.18,44,42,483,218,147,108,25,2790
Chandrapur,2017,19.95,79.3,32,48,325,262,198,81,32,2704
Dhule,2017,20.9,74.77,41,59,267,259,141,86,19,2442
Gadchiroli,2017,20.18,80.0,37,4,59,45,69,19,10,749
Gondia,2017,21.45,80.2,28,27,246,126,154,38,27,1791
Hingoli,2017,19.72,77.15,30,34,130,82,77,7,19,1132
Jalgaon,2017,21.0,75.57,53,107,577,407,253,148,39,4318
Jalna,2017,19.83,75.88,44,73,430,240,167,85,30,2913
Kolhapur,2017,16.7,74.23,43,141,452,506,292,168,25,4538
Latur,2017,18.4,76.57,44,58,284,282,157,120,15,2652
Mumbai,2017,19.08,72.88,131,1483,31198,3013,2037,2937,289,91452
Nagpur,2017,21.15,79.08,130,481,8205,1930,1058,453,131,29509
Nanded,2017,19.15,77.3,59,47,463,333,268,79,32,3530
Nandurbar,2017,21.87,74.23,35,30,127,162,71,39,13,1391
Nashik,2017,20.0,73.78,119,301,917,1138,579,257,38,9488
Mumbai Suburban,2017,19.05,72.83,43,195,560,586,334,346,61,5872
Dharashiv,2017,18.18,76.03,48,23,277,172,123,41,16,1933
Palghar,2017,19.68,72.77,74,198,497,527,386,224,71,5698
Parbhani,2017,19.27,76.77,34,23,308,167,135,12,24,1928
Pune,2017,18.52,73.86,232,764,6155,5148,1394,826,266,39134
Raigad,2017,18.65,72.88,16,38,308,154,183,119,25,2222
Ratnagiri,2017,16.98,73.3,12,25,300,102,123,45,19,1620
Sangli,2017,16.85,74.6,43,136,513,470,265,82,22,4264
Satara,2017,17.68,74.0,47,146,657,444,334,145,49,5002
Sindhudurg,2017,16.0,73.47,8,3,170,20,60,5,4,662
Solapur,2017,17.68,75.92,78,148,1183,837,426,241,50,7869
