district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Bishnupur,2017,24.62,93.77,8,1,21,41,10,9,5,282
Chandel,2017,24.32,94.02,7,0,9,0,3,2,0,66
Churachandpur,2017,24.33,93.68,7,1,9,4,16,9,0,135
Imphal West,2017,24.82,93.74,12,1,57,280,24,67,17,1309
Imphal East,2017,24.8,93.95,8,2,63,161,3,28,10,772
Senapati,2017,25.26,94.01,6,2,7,2,0,1,0,60
Tamenglong,2017,24.98,93.5,3,1,5,0,0,2,0,33
Thoubal,2017,24.64,93.99,3,0,27,91,34,15,8,514
Ukhrul,2017,25.12,94.36,9,0,7,1,0,3,0,68
Bishnupur,2018,24.62,93.77,3,0,6,23,6,9,4,152
Chandel,2018,24.32,94.02,4,1,3,2,3,1,1,52
Churachandpur,2018,24.33,93.68,5,0,8,4,7,2,1,83
Imphal West,2018,24.82,93.74,13,2,46,349,11,44,17,1418
Imphal East,2018,24.8,93.95,4,0,44,247,3,14,12,946
Senapati,2018,25.26,94.01,3,1,4,1,1,4,1,46
Tamenglong,2018,24.98,93.5,7,2,2,0,0,2,0,51
Thoubal,2018,24.64,93.99,9,0,33,123,39,12,16,701
Ukhrul,2018,25.12,94.36,4,0,4,0,0,0,0,28
Bishnupur,2019,24.62,93.77,3,0,6,16,1,7,6,122
Chandel,2019,24.32,94.02,1,1,2,0,1,0,0,16
Churachandpur,2019,24.33,93.68,4,0,20,8,11,4,0,125
Imphal West,2019,24.82,93.74,14,0,48,383,9,43,10,1478
Imphal East,2019,24.8,93.95,7,0,47,224,0,25,8,891
Senapati,2019,25.26,94.01,2,0,1,1,0,4,1,28
Tamenglong,2019,24.98,93.5,2,0,2,0,0,0,0,14
Thoubal,2019,24.64,93.99,5,0,22,58,7,13,2,300
Ukhrul,2019,25.12,94.36,3,0,6,1,0,1,2,42
Kakching,2019,24.5,93.98,1,0,7,8,6,1,4,83
Kamjong,2019,25.12,94.58,0,0,0,0,0,0,0,0
Kangpokpi,2019,25.1,93.96,3,0,5,3,0,0,0,34
Jiribam,2019,24.67,93.11,2,0,4,2,0,1,2,36
Noney,2019,24.75,93.57,5,0,1,0,0,0,0,27
Pherzawl,2019,24.11,93.45,1,0,0,0,0,0,0,5
Tengnoupal,2019,24.23,94.12,3,1,0,2,0,2,1,34
Bishnupur,2020,24.62,93.77,9,0,10,16,3,0,6,152
Chandel,2020,24.32,94.02,2,0,5,2,3,0,0,35
Churachandpur,2020,24.33,93.68,3,0,15,3,3,4,0,71
Imphal West,2020,24.82,93.74,14,2,41,226,19,63,10,1071
Imphal East,2020,24.8,93.95,5,0,33,152,9,26,3,641
Senapati,2020,25.26,94.01,1,0,2,0,0,0,1,14
Tamenglong,2020,24.98,93.5,0,1,1,0,0,2,0,10
Thoubal,2020,24.64,93.99,6,0,18,93,9,6,5,409
Ukhrul,2020,25.12,94.36,0,0,2,0,0,0,0,4
Kakching,2020,24.5,93.98,1,0,6,17,7,2,6,123
Kamjong,2020,25.12,94.58,0,0,1,0,0,0,0,2
Kangpokpi,2020,25.1,93.96,1,0,5,3,0,0,0,24
Jiribam,2020,24.67,93.11,0,0,1,0,1,0,0,5
Noney,2020,24.75,93.57,3,0,0,0,0,0,0,15
Pherzawl,2020,24.11,93.45,0,0,0,0,0,0,0,0
Tengnoupal,2020,24.23,94.12,1,0,4,3,1,1,1,32
Bishnupur,2021,24.62,93.77,5,0,18,14,1,3,5,137
Chandel,2021,24.32,94.02,0,0,2,10,0,1,0,36
Churachandpur,2021,24.33,93.68,2,0,14,3,4,1,0,61
Imphal West,2021,24.82,93.74,5,4,42,367,8,26,9,1347
Imphal East,2021,24.8,93.95,8,0,53,249,2,16,4,951
Senapati,2021,25.26,94.01,1,0,2,0,0,1,1,16
Tamenglong,2021,24.98,93.5,2,0,0,0,0,1,0,12
Thoubal,2021,24.64,93.99,6,1,18,62,29,10,2,373
Ukhrul,2021,25.12,94.36,1,0,18,0,0,2,0,45
Kakching,2021,24.5,93.98,2,1,4,19,5,4,4,122
Kamjong,2021,25.12,94.58,0,0,0,0,1,0,0,3
Kangpokpi,2021,25.1,93.96,6,1,2,2,0,2,0,48
Jiribam,2021,24.67,93.11,3,0,6,2,0,2,0,37
Noney,2021,24.75,93.57,3,1,1,0,0,0,0,21
Pherzawl,2021,24.11,93.45,1,0,2,0,0,0,0,9
Tengnoupal,2021,24.23,94.12,1,0,0,8,0,0,1,34
Bishnupur,2022,24.62,93.77,3,0,10,39,1,5,5,190
Chandel,2022,24.32,94.02,2,0,9,4,0,0,0,40
Churachandpur,2022,24.33,93.68,9,2,11,51,0,3,0,234
Imphal West,2022,24.82,93.74,5,0,48,601,4,35,18,2096
Imphal East,2022,24.8,93.95,8,2,35,274,0,18,9,1021
Senapati,2022,25.26,94.01,1,0,2,0,0,0,0,9
Tamenglong,2022,24.98,93.5,0,0,2,0,0,1,0,6
Thoubal,2022,24.64,93.99,8,0,22,83,15,4,4,406
Ukhrul,2022,25.12,94.36,2,0,4,0,0,0,1,23
Kakching,2022,24.5,93.98,3,1,11,38,15,3,4,226
Kamjong,2022,25.12,94.58,0,0,0,1,0,0,0,3
Kangpokpi,2022,25.1,93.96,3,1,5,5,0,1,0,46
Jiribam,2022,24.67,93.11,1,1,6,0,0,0,1,26
Noney,2022,24.75,93.57,1,0,1,0,0,0,0,7
Pherzawl,2022,24.11,93.45,0,0,0,0,0,0,0,0
Tengnoupal,2022,24.23,94.12,1,0,3,3,0,0,0,20
