district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
North Garo Hills,2017,25.63,90.48,3,0,4,0,0,2,3,42
Ri Bhoi,2017,25.72,91.93,9,9,60,16,16,17,45,556
East Garo Hills,2017,25.37,90.67,6,3,17,17,0,8,12,203
South Garo Hills,2017,25.08,90.39,2,1,2,3,6,0,0,45
South West Garo Hills,2017,25.25,89.93,5,1,55,0,1,3,5,173
West Jaintia Hills,2017,25.52,92.1,15,11,55,4,5,12,6,310
East Jaintia Hills,2017,25.36,92.5,9,6,41,6,4,14,13,274
East Khasi Hills,2017,25.57,91.88,18,22,383,41,111,130,18,1750
South West Khasi Hills,2017,25.13,91.23,1,1,9,0,1,0,3,45
West Khasi Hills,2017,25.38,91.15,10,2,24,1,21,9,5,215
West Garo Hills,2017,25.51,90.22,9,8,42,96,40,8,9,630
North Garo Hills,2018,25.63,90.48,2,0,25,1,2,0,0,69
Ri Bhoi,2018,25.72,91.93,9,11,45,32,16,20,40,563
East Garo Hills,2018,25.37,90.67,7,1,17,10,0,8,0,119
South Garo Hills,2018,25.08,90.39,3,0,9,0,1,8,3,67
South West Garo Hills,2018,25.25,89.93,7,1,26,0,2,0,3,112
West Jaintia Hills,2018,25.52,92.1,15,7,39,7,12,2,13,307
East Jaintia Hills,2018,25.36,92.5,10,6,26,1,27,11,5,257
East Khasi Hills,2018,25.57,91.88,20,26,265,62,81,121,7,1440
South West Khasi Hills,2018,25.13,91.23,5,0,7,3,3,0,1,62
West Khasi Hills,2018,25.38,91.15,7,2,26,2,16,11,8,211
West Garo Hills,2018,25.51,90.22,10,2,24,44,12,14,7,337
North Garo Hills,2019,25.63,90.48,6,3,11,14,8,1,3,147
Ri Bhoi,2019,25.72,91.93,9,8,89,15,5,17,45,574
East Garo Hills,2019,25.37,90.67,2,9,12,12,8,4,1,143
South Garo Hills,2019,25.08,90.39,1,6,7,4,6,0,3,88
South West Garo Hills,2019,25.25,89.93,1,2,15,10,0,0,8,113
West Jaintia Hills,2019,25.52,92.1,10,6,65,5,0,3,8,265
East Jaintia Hills,2019,25.36,92.5,14,6,27,7,10,5,8,249
East Khasi Hills,2019,25.57,91.88,14,35,295,60,73,153,14,1575
South West Khasi Hills,2019,25.13,91.23,2,0,9,1,5,0,1,51
West Khasi Hills,2019,25.38,91.15,1,1,22,6,9,5,6,138
West Garo Hills,2019,25.51,90.22,8,7,23,43,25,4,5,351
North Garo Hills,2020,25.63,90.48,3,2,4,9,1,2,3,80
Ri Bhoi,2020,25.72,91.93,10,8,52,12,23,36,13,428
East Garo Hills,2020,25.37,90.67,0,2,11,10,5,1,2,87
South Garo Hills,2020,25.08,90.39,3,0,7,6,5,5,1,77
South West Garo Hills,2020,25.25,89.93,1,0,9,12,0,1,3,76
West Jaintia Hills,2020,25.52,92.1,10,5,45,3,0,4,5,202
East Jaintia Hills,2020,25.36,92.5,15,3,59,2,6,19,7,302
East Khasi Hills,2020,25.57,91.88,14,25,327,55,97,161,12,1662
South West Khasi Hills,2020,25.13,91.23,1,0,4,0,4,1,2,37
West Khasi Hills,2020,25.38,91.15,11,0,12,5,6,1,12,174
West Garo Hills,2020,25.51,90.22,11,9,30,37,18,6,7,363
North Garo Hills,2021,25.63,90.48,4,1,6,6,1,3,1,68
Ri Bhoi,2021,25.72,91.93,9,7,47,23,3,18,5,306
East Garo Hills,2021,25.37,90.67,3,3,5,5,5,4,3,90
South Garo Hills,2021,25.08,90.39,2,0,6,9,1,4,2,70
South West Garo Hills,2021,25.25,89.93,2,0,17,10,0,2,0,78
West Jaintia Hills,2021,25.52,92.1,13,2,42,0,0,8,6,203
East Jaintia Hills,2021,25.36,92.5,9,2,32,6,0,16,12,227
East Khasi Hills,2021,25.57,91.88,15,38,324,67,22,190,23,1637
South West Khasi Hills,2021,25.13,91.23,3,4,14,1,5,0,1,82
West Khasi Hills,2021,25.38,91.15,5,3,16,6,1,5,10,150
West Garo Hills,2021,25.51,90.22,15,9,48,37,11,18,12,447
North Garo Hills,2022,25.63,90.48,0,1,16,10,0,0,3,81
Ri Bhoi,2022,25.72,91.93,10,5,92,45,14,20,8,511
East Garo Hills,2022,25.37,90.67,0,2,21,8,6,12,4,136
South Garo Hills,2022,25.08,90.39,7,1,5,2,1,2,2,72
South West Garo Hills,2022,25.25,89.93,3,1,28,10,0,10,0,125
West Jaintia Hills,2022,25.52,92.1,13,3,44,7,5,8,8,257
East Jaintia Hills,2022,25.36,92.5,9,7,45,0,0,10,2,193
East Khasi Hills,2022,25.57,91.88,14,19,283,127,70,177,21,1762
South West Khasi Hills,2022,25.13,91.23,2,0,12,1,10,1,2,79
West Khasi Hills,2022,25.38,91.15,5,4,21,3,2,2,10,152
West Garo Hills,2022,25.51,90.22,7,6,71,61,25,21,12,561
Eastern West Khasi Hills,2022,25.2,91.1,2,1,13,0,0,7,3,69
