district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Aizawl,2017,23.73,92.72,8,3,388,110,185,32,6,1807
Champhai,2017,23.47,93.33,2,0,43,2,16,1,5,177
Kolasib,2017,24.22,92.68,1,0,151,8,32,4,3,450
Lawngtlai,2017,22.53,92.9,0,1,17,0,10,1,3,85
Lunglei,2017,22.89,92.74,3,1,84,6,24,9,3,310
Mamit,2017,23.93,92.47,4,0,49,3,25,0,3,217
Siaha,2017,22.48,92.97,1,0,53,1,17,4,1,178
Serchhip,2017,23.3,92.83,2,0,15,1,18,4,1,110
Aizawl,2018,23.73,92.72,7,3,260,74,123,25,21,1313
Champhai,2018,23.47,93.33,5,0,36,2,8,1,9,174
Kolasib,2018,24.22,92.68,2,2,139,35,29,0,9,533
Lawngtlai,2018,22.53,92.9,4,0,0,0,5,0,0,35
Lunglei,2018,22.89,92.74,1,0,76,1,32,4,0,264
Mamit,2018,23.93,92.47,5,0,40,4,18,1,3,188
Siaha,2018,22.48,92.97,2,0,32,0,10,0,1,109
Serchhip,2018,23.3,92.83,1,0,19,3,17,1,7,140
Aizawl,2019,23.73,92.72,8,5,530,200,181,60,15,2458
Champhai,2019,23.47,93.33,2,0,12,0,16,2,3,101
Kolasib,2019,24.22,92.68,4,0,125,18,48,0,4,488
Lawngtlai,2019,22.53,92.9,2,0,14,2,10,0,4,94
Lunglei,2019,22.89,92.74,0,1,73,4,29,0,5,274
Mamit,2019,23.93,92.47,4,1,34,2,25,0,4,193
Siaha,2019,22.48,92.97,2,0,21,2,9,2,2,99
Serchhip,2019,23.3,92.83,0,0,19,1,19,1,5,125
Aizawl,2020,23.73,92.72,8,8,374,104,168,72,19,1875
Champhai,2020,23.47,93.33,1,0,8,1,10,3,3,75
Kolasib,2020,24.22,92.68,7,0,53,6,18,0,3,228
Lawngtlai,2020,22.53,92.9,5,0,13,2,4,0,0,69
Lunglei,2020,22.89,92.74,2,0,40,1,16,5,0,151
Mamit,2020,23.93,92.47,3,0,23,2,15,0,6,142
Siaha,2020,22.48,92.97,1,0,16,1,10,0,0,70
Serchhip,2020,23.3,92.83,0,0,23,1,10,0,0,79
Saitual,2020,23.61,93.1,0,0,0,0,0,0,0,0
Khawzawl,2020,23.56,93.01,0,0,4,0,1,1,2,23
Hnahthial,2020,23.0,92.9,1,0,3,1,1,0,0,17
Aizawl,2021,23.73,92.72,10,16,704,159,214,147,11,2990
Champhai,2021,23.47,93.33,5,0,8,0,11,4,2,92
Kolasib,2021,24.22,92.68,1,2,46,2,10,0,4,161
Lawngtlai,2021,22.53,92.9,0,0,13,2,4,0,2,54
Lunglei,2021,22.89,92.74,5,0,34,4,25,5,3,205
Mamit,2021,23.93,92.47,2,2,35,5,23,4,2,190
Siaha,2021,22.48,92.97,1,0,20,2,10,2,0,85
Serchhip,2021,23.3,92.83,0,0,34,1,5,1,0,88
Saitual,2021,23.61,93.1,0,0,0,0,0,0,0,0
Khawzawl,2021,23.56,93.01,0,1,5,0,3,0,2,33
Hnahthial,2021,23.0,92.9,0,0,7,0,3,1,0,25
Aizawl,2022,23.73,92.72,14,17,761,267,393,135,10,3960
Champhai,2022,23.47,93.33,2,0,20,3,26,6,0,149
Kolasib,2022,24.22,92.68,5,1,112,16,19,4,1,371
Lawngtlai,2022,22.53,92.9,3,0,28,2,11,1,0,112
Lunglei,2022,22.89,92.74,2,0,61,9,35,3,0,270
Mamit,2022,23.93,92.47,1,0,54,5,19,2,0,189
Siaha,2022,22.48,92.97,0,0,32,2,20,0,0,130
Serchhip,2022,23.3,92.83,1,0,54,2,23,1,0,190
Saitual,2022,23.61,93.1,1,0,2,0,3,0,0,18
Khawzawl,2022,23.56,93.01,2,1,17,0,11,0,1,86
Hnahthial,2022,23.0,92.9,0,0,9,0,7,1,2,51
