district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Dimapur,2017,25.91,93.72,17,24,46,196,40,10,2,1011
Kiphire,2017,25.78,94.76,1,0,5,3,0,0,1,29
Kohima,2017,25.67,94.11,8,2,17,32,3,6,1,204
Longleng,2017,26.55,94.7,0,0,0,0,6,0,0,18
Mokokchung,2017,26.32,94.52,3,0,5,4,4,2,0,53
Mon,2017,26.73,95.03,3,4,26,3,3,4,1,114
Peren,2017,25.57,93.72,1,0,8,1,0,1,0,26
Phek,2017,25.65,94.47,0,0,5,0,0,0,4,30
Tuensang,2017,26.27,94.83,0,0,5,2,4,0,0,28
Wokha,2017,26.1,94.27,2,0,12,6,0,1,0,54
Zunheboto,2017,25.93,94.51,1,0,8,2,12,3,1,74
Dimapur,2018,25.91,93.72,17,13,55,214,44,21,2,1073
Kiphire,2018,25.78,94.76,0,0,5,3,1,0,1,27
Kohima,2018,25.67,94.11,3,1,18,28,7,10,5,205
Longleng,2018,26.55,94.7,0,0,4,0,0,1,0,10
Mokokchung,2018,26.32,94.52,3,0,6,2,4,3,0,51
Mon,2018,26.73,95.03,1,3,16,5,4,3,1,87
Peren,2018,25.57,93.72,3,0,8,4,0,1,0,45
Phek,2018,25.65,94.47,0,0,0,0,0,0,0,0
Tuensang,2018,26.27,94.83,1,0,7,7,5,1,0,57
Wokha,2018,26.1,94.27,0,0,25,2,0,0,1,61
Zunheboto,2018,25.93,94.51,3,0,7,3,11,1,0,73
Dimapur,2019,25.91,93.72,8,23,71,183,53,16,2,1024
Kiphire,2019,25.78,94.76,0,0,2,0,0,0,0,4
Kohima,2019,25.67,94.11,4,1,16,10,6,9,2,132
Longleng,2019,26.55,94.7,0,0,11,0,1,2,0,29
Mokokchung,2019,26.32,94.52,6,0,10,5,2,3,1,82
Mon,2019,26.73,95.03,3,3,27,7,9,0,1,134
Peren,2019,25.57,93.72,2,0,7,1,0,0,0,27
Phek,2019,25.65,94.47,0,0,4,0,0,6,0,20
Tuensang,2019,26.27,94.83,0,0,6,2,11,0,2,61
Wokha,2019,26.1,94.27,1,0,10,1,0,2,0,32
Zunheboto,2019,25.93,94.51,1,1,4,1,7,1,0,43
Dimapur,2020,25.91,93.72,11,14,60,253,42,29,2,1184
Kiphire,2020,25.78,94.76,1,0,3,0,0,1,1,18
Kohima,2020,25.67,94.11,0,4,6,11,7,7,0,96
Longleng,2020,26.55,94.7,0,0,7,0,0,1,0,16
Mokokchung,2020,26.32,94.52,2,0,11,2,1,2,0,45
Mon,2020,26.73,95.03,2,3,10,2,7,2,0,73
Peren,2020,25.57,93.72,3,1,2,1,0,0,0,26
Phek,2020,25.65,94.47,0,0,1,0,0,1,1,9
Tuensang,2020,26.27,94.83,2,1,0,1,3,0,0,26
Wokha,2020,26.1,94.27,2,0,13,0,0,2,0,40
Zunheboto,2020,25.93,94.51,2,0,1,2,4,1,0,32
Dimapur,2021,25.91,93.72,11,9,58,229,19,16,1,988
Kiphire,2021,25.78,94.76,0,0,6,0,0,0,0,12
Kohima,2021,25.67,94.11,1,2,11,23,9,6,1,148
Longleng,2021,26.55,94.7,0,0,14,1,0,0,0,31
Mokokchung,2021,26.32,94.52,2,0,2,14,0,2,0,60
Mon,2021,26.73,95.03,6,1,31,5,12,3,2,163
Peren,2021,25.57,93.72,1,0,3,0,0,0,0,11
Phek,2021,25.65,94.47,2,0,6,0,0,1,0,24
Tuensang,2021,26.27,94.83,0,0,2,5,4,0,0,31
Wokha,2021,26.1,94.27,3,0,10,1,0,1,0,40
Zunheboto,2021,25.93,94.51,1,4,6,1,7,0,0,57
Dimapur,2022,25.91,93.72,12,12,66,251,10,9,1,1046
Kiphire,2022,25.78,94.76,0,0,6,0,0,0,1,17
Kohima,2022,25.67,94.11,3,2,15,23,18,11,2,208
Longleng,2022,26.55,94.7,1,0,15,1,0,0,1,43
Mokokchung,2022,26.32,94.52,2,1,5,2,1,1,1,40
Mon,2022,26.73,95.03,0,0,20,14,19,5,0,149
Peren,2022,25.57,93.72,2,0,5,2,0,0,1,31
Phek,2022,25.65,94.47,1,0,9,0,0,3,0,29
Tuensang,2022,26.27,94.83,0,0,7,0,8,1,0,40
Wokha,2022,26.1,94.27,0,2,8,4,0,0,0,36
Zunheboto,2022,25.93,94.51,0,1,10,2,4,0,0,42
