district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Anugul,2017,20.84,85.1,43,115,305,91,133,67,59,2386
Baleshwar,2017,21.49,86.93,60,138,285,260,367,247,152,4557
Bargarh,2017,21.34,83.62,29,45,148,90,139,53,38,1604
Bhadrak,2017,21.06,86.51,33,38,164,24,130,84,101,1780
Balangir,2017,20.71,83.49,34,60,96,49,107,58,64,1506
Boudh,2017,20.84,84.32,13,13,28,20,25,27,34,532
Cuttack,2017,20.46,85.88,55,147,949,347,227,260,100,5503
Deogarh,2017,21.54,84.74,13,18,43,13,20,24,24,490
Dhenkanal,2017,20.65,85.6,31,63,139,30,70,41,34,1237
Gajapati,2017,19.11,84.21,19,3,17,6,25,20,25,399
Ganjam,2017,19.39,84.78,72,52,98,87,123,72,98,2028
Jagatsinghapur,2017,20.25,86.17,25,63,85,27,96,76,48,1308
Jajapur,2017,20.85,86.34,71,114,208,157,278,115,93,3227
Jharsuguda,2017,21.85,84.0,24,50,196,99,146,50,34,1717
Kalahandi,2017,19.91,83.17,47,26,69,28,62,99,74,1315
Kandhamal,2017,20.1,84.2,43,18,50,40,76,39,90,1263
Kendrapara,2017,20.5,86.42,39,61,77,24,124,45,59,1422
Kendujhar,2017,21.63,85.58,56,59,170,95,113,66,87,2047
Khordha,2017,20.18,85.63,71,270,1023,699,300,668,152,8574
Koraput,2017,18.81,82.71,55,69,139,64,145,80,116,2196
Malkangiri,2017,18.35,81.89,29,4,34,16,36,27,23,554
Mayurbhanj,2017,21.94,86.47,77,53,109,53,151,73,149,2318
Nayagarh,2017,20.13,85.1,30,55,62,49,53,44,32,1048
Nabarangpur,2017,19.23,82.55,29,21,40,20,42,38,72,931
Nuapada,2017,20.41,82.54,14,21,50,23,40,54,13,616
Puri,2017,19.81,85.83,61,142,264,159,162,90,56,2824
Rayagada,2017,19.17,83.42,39,11,62,40,69,31,61,1057
Sundargarh,2017,22.11,84.03,101,175,724,366,289,138,105,5419
Sambalpur,2017,21.47,83.97,38,123,290,120,224,134,73,2927
Sonepur,2017,20.83,83.91,16,21,40,23,21,14,4,424
Anugul,2018,20.84,85.1,52,148,309,116,116,79,56,2604
Baleshwar,2018,21.49,86.93,96,130,282,202,324,218,56,3858
Bargarh,2018,21.34,83.62,51,43,149,80,122,57,22,1555
Bhadrak,2018,21.06,86.51,48,34,237,45,148,99,49,1872
Balangir,2018,20.71,83.49,50,93,126,87,122,59,23,1734
Boudh,2018,20.84,84.32,18,13,24,8,21,22,27,456
Cuttack,2018,20.46,85.88,78,195,939,341,295,323,53,5867
Deogarh,2018,21.54,84.74,13,15,49,11,26,6,13,411
Dhenkanal,2018,20.65,85.6,45,51,108,47,84,49,10,1186
Gajapati,2018,19.11,84.21,9,4,23,15,23,20,11,316
Ganjam,2018,19.39,84.78,74,48,118,52,134,70,38,1686
Jagatsinghapur,2018,20.25,86.17,35,61,77,19,94,77,23,1181
Jajapur,2018,20.85,86.34,66,106,186,116,194,102,50,2510
Jharsuguda,2018,21.85,84.0,31,45,173,65,113,47,13,1374
Kalahandi,2018,19.91,83.17,41,33,71,54,57,110,32,1192
Kandhamal,2018,20.1,84.2,24,18,62,32,46,40,37,815
Kendrapara,2018,20.5,86.42,46,51,75,28,114,62,23,1249
Kendujhar,2018,21.63,85.58,75,36,158,115,106,66,27,1765
Khordha,2018,20.18,85.63,75,266,926,790,298,635,81,8230
Koraput,2018,18.81,82.71,34,65,96,58,87,54,27,1300
Malkangiri,2018,18.35,81.89,25,3,24,10,38,30,18,479
Mayurbhanj,2018,21.94,86.47,77,48,131,46,146,82,55,1854
Nayagarh,2018,20.13,85.1,36,54,67,35,64,48,20,1023
Nabarangpur,2018,19.23,82.55,33,27,21,21,31,12,20,595
Nuapada,2018,20.41,82.54,10,16,50,42,44,47,3,581
Puri,2018,19.81,85.83,59,158,296,145,225,62,37,2938
Rayagada,2018,19.17,83.42,26,19,45,48,49,34,15,730
Sundargarh,2018,22.11,84.03,105,199,718,336,301,126,56,5200
Sambalpur,2018,21.47,83.97,37,111,319,164,178,127,19,2642
Sonepur,2018,20.83,83.91,9,35,59,23,25,15,4,497
Anugul,2019,20.84,85.1,31,121,300,113,162,160,71,2739
Baleshwar,2019,21.49,86.93,86,204,331,237,321,311,162,5014
Bargarh,2019,21.34,83.62,41,64,167,88,133,56,39,1765
Bhadrak,2019,21.06,86.51,43,32,249,71,162,157,61,2159
Balangir,2019,20.71,83.49,36,119,229,175,149,103,42,2502
Boudh,2019,20.84,84.32,13,11,36,33,16,11,8,390
Cuttack,2019,20.46,85.88,83,251,1221,366,260,460,57,6944
Deogarh,2019,21.54,84.74,13,10,26,11,17,7,23,370
Dhenkanal,2019,20.65,85.6,30,78,154,61,83,52,36,1486
Gajapati,2019,19.11,84.21,12,6,26,12,27,49,12,411
Ganjam,2019,19.39,84.78,80,72,125,72,148,114,54,2096
Jagatsinghapur,2019,20.25,86.17,44,48,107,29,90,105,24,1313
Jajapur,2019,20.85,86.34,71,103,263,115,190,170,53,2813
Jharsuguda,2019,21.85,84.0,24,45,142,48,99,99,18,1313
Kalahandi,2019,19.91,83.17,47,28,91,68,76,82,109,1670
Kandhamal,2019,20.1,84.2,25,18,49,51,44,26,29,777
Kendrapara,2019,20.5,86.42,57,49,100,47,128,83,31,1527
Kendujhar,2019,21.63,85.58,74,58,179,111,152,93,51,2190
Khordha,2019,20.18,85.63,74,323,1285,805,425,719,84,9780
Koraput,2019,18.81,82.71,40,59,94,96,107,78,55,1664
Malkangiri,2019,18.35,81.89,35,4,53,26,51,56,23,755
Mayurbhanj,2019,21.94,86.47,86,56,202,72,205,122,72,2493
Nayagarh,2019,20.13,85.1,48,55,92,44,52,61,27,1189
Nabarangpur,2019,19.23,82.55,29,27,29,26,30,53,71,940
Nuapada,2019,20.41,82.54,13,18,74,38,52,47,9,694
Puri,2019,19.81,85.83,47,199,277,182,252,151,43,3404
Rayagada,2019,19.17,83.42,29,48,79,66,88,53,33,1228
Sundargarh,2019,22.11,84.03,86,251,831,257,313,112,58,5320
Sambalpur,2019,21.47,83.97,41,109,320,174,208,128,23,2798
Sonepur,2019,20.83,83.91,18,26,94,47,51,38,4,772
Anugul,2020,20.84,85.1,40,80,261,98,140,164,46,2314
Baleshwar,2020,21.49,86.93,123,126,338,347,381,217,97,4898
Bargarh,2020,21.34,83.62,48,53,142,66,144,65,34,1666
Bhadrak,2020,21.06,86.51,50,32,217,83,153,132,34,1954
Balangir,2020,20.71,83.49,44,120,246,146,153,88,25,2390
Boudh,2020,20.84,84.32,23,10,47,14,17,19,11,435
Cuttack,2020,20.46,85.88,78,199,867,301,326,505,59,6106
Deogarh,2020,21.54,84.74,21,6,30,10,13,16,33,455
Dhenkanal,2020,20.65,85.6,47,74,155,60,90,44,44,1599
Gajapati,2020,19.11,84.21,14,8,37,16,32,42,9,449
Ganjam,2020,19.39,84.78,61,40,151,70,152,139,56,1991
Jagatsinghapur,2020,20.25,86.17,49,46,112,39,122,124,40,1584
Jajapur,2020,20.85,86.34,79,83,343,101,225,153,57,2982
Jharsuguda,2020,21.85,84.0,16,38,153,51,103,86,27,1307
Kalahandi,2020,19.91,83.17,25,39,65,53,81,61,38,1125
Kandhamal,2020,20.1,84.2,23,22,39,34,52,19,47,812
Kendrapara,2020,20.5,86.42,46,51,111,50,168,90,37,1675
Kendujhar,2020,21.63,85.58,81,57,205,89,170,82,33,2149
Khordha,2020,20.18,85.63,86,430,1298,808,424,558,66,9888
Koraput,2020,18.81,82.71,42,39,80,93,105,64,33,1413
Malkangiri,2020,18.35,81.89,42,2,26,25,46,64,15,686
Mayurbhanj,2020,21.94,86.47,104,46,373,122,224,158,138,3494
Nayagarh,2020,20.13,85.1,39,34,96,55,72,37,18,1068
Nabarangpur,2020,19.23,82.55,23,10,65,29,31,65,26,725
Nuapada,2020,20.41,82.54,18,10,70,30,60,34,3,623
Puri,2020,19.81,85.83,55,196,385,129,275,101,53,3508
Rayagada,2020,19.17,83.42,30,32,86,44,69,44,22,987
Sundargarh,2020,22.11,84.03,95,164,570,275,314,118,67,4609
Sambalpur,2020,21.47,83.97,42,87,301,167,235,121,31,2763
Sonepur,2020,20.83,83.91,26,28,104,34,58,41,12,868
Anugul,2021,20.84,85.1,49,111,361,128,155,216,45,2917
Baleshwar,2021,21.49,86.93,108,164,586,518,297,244,96,5781
Bargarh,2021,21.34,83.62,38,97,125,141,153,65,30,1990
Bhadrak,2021,21.06,86.51,40,72,328,81,156,146,45,2372
Balangir,2021,20.71,83.49,51,123,331,174,177,397,22,3366
Boudh,2021,20.84,84.32,23,10,40,13,20,12,8,398
Cuttack,2021,20.46,85.88,71,225,958,351,350,590,119,7049
Deogarh,2021,21.54,84.74,15,20,54,9,18,39,22,532
Dhenkanal,2021,20.65,85.6,36,52,179,61,114,108,40,1687
Gajapati,2021,19.11,84.21,11,4,25,23,35,42,37,564
Ganjam,2021,19.39,84.78,79,53,367,75,137,187,96,2831
Jagatsinghapur,2021,20.25,86.17,40,54,182,53,153,157,45,1937
Jajapur,2021,20.85,86.34,81,63,432,116,220,171,82,3281
Jharsuguda,2021,21.85,84.0,19,42,157,71,96,96,24,1390
Kalahandi,2021,19.91,83.17,40,44,96,104,113,216,97,2136
Kandhamal,2021,20.1,84.2,17,34,61,71,83,58,38,1111
Kendrapara,2021,20.5,86.42,42,58,141,47,255,135,47,2135
Kendujhar,2021,21.63,85.58,75,69,233,137,151,94,33,2334
Khordha,2021,20.18,85.63,82,648,1414,1008,475,933,65,12470
Koraput,2021,18.81,82.71,44,51,105,100,161,93,40,1803
Malkangiri,2021,18.35,81.89,30,10,34,38,51,118,27,896
Mayurbhanj,2021,21.94,86.47,96,85,498,178,301,221,140,4395
Nayagarh,2021,20.13,85.1,46,53,107,64,98,63,11,1323
Nabarangpur,2021,19.23,82.55,29,17,78,56,51,77,38,1034
Nuapada,2021,20.41,82.54,10,19,61,51,82,46,11,794
Puri,2021,19.81,85.83,57,171,479,130,265,171,45,3679
Rayagada,2021,19.17,83.42,32,11,54,64,64,15,28,866
Sundargarh,2021,22.11,84.03,75,241,685,273,345,150,88,5303
Sambalpur,2021,21.47,83.97,37,166,338,228,247,243,27,3571
Sonepur,2021,20.83,83.91,21,47,95,57,68,35,10,978
Anugul,2022,20.84,85.1,38,127,513,157,127,210,26,3126
Baleshwar,2022,21.49,86.93,85,199,403,520,363,292,102,5770
Bargarh,2022,21.34,83.62,43,108,184,154,158,172,33,2460
Bhadrak,2022,21.06,86.51,56,61,374,142,196,165,37,2801
Balangir,2022,20.71,83.49,38,143,305,206,170,229,20,3058
Boudh,2022,20.84,84.32,13,28,56,25,32,25,9,555
Cuttack,2022,20.46,85.88,102,214,1407,380,366,557,63,7847
Deogarh,2022,21.54,84.74,18,24,90,13,23,86,21,751
Dhenkanal,2022,20.65,85.6,44,84,196,90,115,120,37,1988
Gajapati,2022,19.11,84.21,13,12,53,25,45,48,27,660
Ganjam,2022,19.39,84.78,57,47,320,79,154,176,96,2644
Jagatsinghapur,2022,20.25,86.17,31,94,248,69,218,183,30,2404
Jajapur,2022,20.85,86.34,61,74,379,144,214,191,64,3135
Jharsuguda,2022,21.85,84.0,19,52,198,87,126,55,26,1578
Kalahandi,2022,19.91,83.17,36,58,142,136,124,141,101,2263
Kandhamal,2022,20.1,84.2,26,21,46,84,87,45,40,1109
Kendrapara,2022,20.5,86.42,55,54,180,81,224,167,44,2320
Kendujhar,2022,21.63,85.58,80,75,265,163,171,120,59,2767
Khordha,2022,20.18,85.63,74,671,1444,921,429,969,65,12255
Koraput,2022,18.81,82.71,46,74,136,115,160,107,121,2442
Malkangiri,2022,18.35,81.89,36,9,61,91,58,141,42,1277
Mayurbhanj,2022,21.94,86.47,99,84,569,152,316,191,120,4355
Nayagarh,2022,20.13,85.1,43,35,116,56,111,50,42,1398
Nabarangpur,2022,19.23,82.55,23,16,80,78,67,39,14,922
Nuapada,2022,20.41,82.54,11,10,57,88,64,47,3,774
Puri,2022,19.81,85.83,53,160,516,195,245,194,41,3850
Rayagada,2022,19.17,83.42,27,14,90,84,90,79,28,1191
Sundargarh,2022,22.11,84.03,89,219,944,296,352,219,118,6181
Sambalpur,2022,21.47,83.97,48,195,453,285,325,218,24,4312
Sonepur,2022,20.83,83.91,15,34,86,66,55,31,11,863
