district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Karaikal,2017,10.92,79.84,3,5,30,29,17,14,2,271
Pondicherry,2017,11.93,79.83,22,13,219,374,52,38,5,1979
Karaikal,2018,10.92,79.84,0,0,0,0,0,0,0,0
Pondicherry,2018,11.93,79.83,29,58,302,320,63,43,0,2216
Karaikal,2019,10.92,79.84,0,0,0,0,0,0,0,0
Pondicherry,2019,11.93,79.83,29,20,250,234,40,51,10,1699
Pondicherry,2020,11.93,79.83,39,16,171,152,39,33,8,1280
Karaikal,2020,10.92,79.84,0,0,0,0,0,0,0,0
Karaikal,2021,10.92,79.84,0,0,0,0,0,0,0,0
Pondicherry,2021,11.93,79.83,19,12,185,223,59,62,2,1493
Karaikal,2022,10.92,79.84,0,0,0,0,0,0,0,0
Pondicherry,2022,11.93,79.83,30,18,179,326,46,42,9,1825
