district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Amritsar,2017,31.63,74.87,63,16,700,370,245,216,31,4211
Barnala,2017,30.38,75.55,18,1,75,48,67,59,6,737
Gurdaspur,2017,32.04,75.41,31,3,135,62,127,152,32,1468
Bathinda,2017,30.21,74.95,41,2,127,159,165,146,30,1881
Jalandhar,2017,31.33,75.58,33,17,465,198,231,247,52,3204
Ludhiana,2017,30.91,75.85,103,20,886,561,386,345,96,6378
Faridkot,2017,30.67,74.76,12,1,47,34,46,57,11,567
Fatehgarh Sahib,2017,30.65,76.39,15,0,35,50,54,93,4,663
Fazilka,2017,30.4,74.02,21,1,34,34,55,99,28,782
Patiala,2017,30.34,76.4,62,8,598,218,192,161,31,3245
Hoshiarpur,2017,31.53,75.91,27,6,171,60,84,0,25,1058
Kapurthala,2017,31.38,75.38,18,5,142,12,80,96,12,922
Mansa,2017,29.99,75.4,24,2,54,28,51,60,9,638
Moga,2017,30.81,75.17,20,2,117,55,70,15,18,837
Sri Muktsar Sahib,2017,30.47,74.52,23,2,106,53,55,0,15,734
Pathankot,2017,32.27,75.65,10,1,70,26,26,0,4,370
Rupnagar,2017,30.97,76.53,12,6,44,46,69,0,10,567
Sangrur,2017,30.25,75.84,32,9,88,132,104,140,21,1465
Shahid Bhagat Singh Nagar,2017,31.26,76.06,8,5,65,54,54,0,6,544
Tarn Taran,2017,31.45,74.93,36,9,133,16,108,86,15,1101
S.A.S Nagar,2017,30.74,76.73,23,6,167,271,95,395,28,2501
Ferozepur,2017,30.93,74.62,27,0,125,58,87,116,46,1282
Amritsar,2018,31.63,74.87,67,13,547,311,223,228,60,3839
Barnala,2018,30.38,75.55,15,2,89,51,53,127,28,967
Gurdaspur,2018,32.04,75.41,35,5,147,49,128,193,47,1641
Bathinda,2018,30.21,74.95,39,6,160,157,142,168,34,1942
Jalandhar,2018,31.33,75.58,45,27,503,305,216,276,81,3859
Ludhiana,2018,30.91,75.85,83,19,787,774,369,548,118,7180
Faridkot,2018,30.67,74.76,15,1,55,26,42,89,15,646
Fatehgarh Sahib,2018,30.65,76.39,11,0,31,42,55,158,7,759
Fazilka,2018,30.4,74.02,32,1,61,22,54,112,38,928
Patiala,2018,30.34,76.4,68,7,503,293,195,431,63,4015
Hoshiarpur,2018,31.53,75.91,29,5,157,51,121,175,23,1460
Kapurthala,2018,31.38,75.38,17,3,151,38,87,71,20,1016
Mansa,2018,29.99,75.4,21,3,58,44,45,71,31,797
Moga,2018,30.81,75.17,24,2,92,58,92,97,20,1056
Sri Muktsar Sahib,2018,30.47,74.52,35,2,87,64,71,0,15,837
Pathankot,2018,32.27,75.65,6,1,43,18,21,0,5,262
Rupnagar,2018,30.97,76.53,10,4,75,42,46,131,31,897
Sangrur,2018,30.25,75.84,32,7,117,131,101,169,62,1766
Shahid Bhagat Singh Nagar,2018,31.26,76.06,10,6,60,40,66,0,27,647
Tarn Taran,2018,31.45,74.93,25,6,96,25,80,154,27,1099
S.A.S Nagar,2018,30.74,76.73,31,9,186,298,139,228,44,2550
Ferozepur,2018,30.93,74.62,34,2,172,49,99,210,35,1561
Amritsar,2019,31.63,74.87,59,9,616,536,292,215,99,4972
Barnala,2019,30.38,75.55,10,1,77,45,60,96,34,885
Gurdaspur,2019,32.04,75.41,41,8,117,48,125,166,47,1557
Bathinda,2019,30.21,74.95,39,8,161,144,163,194,92,2318
Jalandhar,2019,31.33,75.58,31,9,303,167,193,289,81,2860
Ludhiana,2019,30.91,75.85,91,14,779,931,381,411,105,7352
Faridkot,2019,30.67,74.76,21,1,81,41,53,72,17,782
Fatehgarh Sahib,2019,30.65,76.39,5,2,52,42,47,110,16,704
Fazilka,2019,30.4,74.02,26,4,56,49,67,90,48,1026
Patiala,2019,30.34,76.4,57,4,617,273,191,281,49,3734
Hoshiarpur,2019,31.53,75.91,29,4,188,53,114,159,21,1461
Kapurthala,2019,31.38,75.38,24,6,191,105,134,74,37,1576
Mansa,2019,29.99,75.4,25,2,45,35,58,68,56,918
Moga,2019,30.81,75.17,23,2,119,69,87,64,17,1042
Sri Muktsar Sahib,2019,30.47,74.52,20,0,132,52,63,0,26,839
Pathankot,2019,32.27,75.65,8,0,42,21,31,0,18,370
Rupnagar,2019,30.97,76.53,15,3,33,47,42,124,19,763
Sangrur,2019,30.25,75.84,44,4,161,185,169,200,77,2405
Shahid Bhagat Singh Nagar,2019,31.26,76.06,13,4,77,28,62,0,29,650
Tarn Taran,2019,31.45,74.93,36,2,100,51,113,125,34,1300
S.A.S Nagar,2019,30.74,76.73,33,4,188,301,127,452,47,2980
Ferozepur,2019,30.93,74.62,29,0,145,59,97,83,33,1234
Amritsar,2020,31.63,74.87,75,11,563,697,294,187,34,5062
Barnala,2020,30.38,75.55,15,5,61,34,53,43,8,604
Gurdaspur,2020,32.04,75.41,39,4,113,42,107,186,17,1341
Bathinda,2020,30.21,74.95,52,0,108,129,119,184,33,1753
Jalandhar,2020,31.33,75.58,54,6,221,152,208,204,25,2349
Ludhiana,2020,30.91,75.85,78,17,594,777,233,269,53,5479
Faridkot,2020,30.67,74.76,17,0,80,71,59,59,10,803
Fatehgarh Sahib,2020,30.65,76.39,12,2,30,49,38,85,9,604
Fazilka,2020,30.4,74.02,31,3,69,21,83,149,38,1105
Patiala,2020,30.34,76.4,59,11,299,215,218,296,19,2923
Hoshiarpur,2020,31.53,75.91,27,7,205,30,94,163,21,1376
Kapurthala,2020,31.38,75.38,28,5,154,58,85,38,13,1038
Mansa,2020,29.99,75.4,24,1,55,41,71,51,17,757
Moga,2020,30.81,75.17,24,2,60,46,62,30,9,677
Sri Muktsar Sahib,2020,30.47,74.52,29,0,103,56,73,0,21,843
Pathankot,2020,32.27,75.65,8,0,41,20,33,0,15,356
Rupnagar,2020,30.97,76.53,20,4,40,55,33,83,34,796
Sangrur,2020,30.25,75.84,39,2,140,143,180,176,62,2114
Shahid Bhagat Singh Nagar,2020,31.26,76.06,14,4,40,28,65,0,8,485
Tarn Taran,2020,31.45,74.93,49,3,86,59,104,45,14,1078
S.A.S Nagar,2020,30.74,76.73,37,9,177,315,120,90,26,2190
Ferozepur,2020,30.93,74.62,26,6,72,52,90,83,16,970
Amritsar,2021,31.63,74.87,87,9,627,917,304,261,48,6150
Barnala,2021,30.38,75.55,16,3,110,152,65,34,16,1111
Gurdaspur,2021,32.04,75.41,40,7,119,78,119,204,21,1570
Bathinda,2021,30.21,74.95,42,6,163,133,142,86,33,1722
Jalandhar,2021,31.33,75.58,53,12,401,289,265,303,15,3458
Ludhiana,2021,30.91,75.85,84,5,651,1123,388,386,51,7302
Faridkot,2021,30.67,74.76,15,4,94,46,59,56,7,741
Fatehgarh Sahib,2021,30.65,76.39,16,2,73,80,60,0,6,684
Fazilka,2021,30.4,74.02,27,3,81,38,87,76,61,1141
Patiala,2021,30.34,76.4,55,7,397,359,235,311,24,3621
Hoshiarpur,2021,31.53,75.91,24,3,162,55,76,100,15,1124
Kapurthala,2021,31.38,75.38,28,3,158,88,83,34,12,1109
Mansa,2021,29.99,75.4,16,1,85,84,59,81,14,915
Moga,2021,30.81,75.17,25,1,42,29,50,24,6,528
Sri Muktsar Sahib,2021,30.47,74.52,16,0,90,56,75,0,18,743
Pathankot,2021,32.27,75.65,7,0,45,26,26,0,10,331
Rupnagar,2021,30.97,76.53,10,2,51,56,42,79,11,667
Sangrur,2021,30.25,75.84,20,4,129,121,83,120,18,1316
Shahid Bhagat Singh Nagar,2021,31.26,76.06,17,6,61,29,50,0,8,508
Tarn Taran,2021,31.45,74.93,49,7,68,42,105,69,10,1038
S.A.S Nagar,2021,30.74,76.73,32,11,305,458,146,106,34,3008
Malerkotla,2021,30.53,75.87,9,0,56,31,22,23,4,382
Ferozepur,2021,30.93,74.62,35,11,112,48,66,76,22,1047
Amritsar,2022,31.63,74.87,84,13,651,675,315,170,38,5274
Barnala,2022,30.38,75.55,11,5,103,81,69,55,7,876
Gurdaspur,2022,32.04,75.41,34,3,196,136,227,205,24,2193
Bathinda,2022,30.21,74.95,36,3,247,183,203,140,33,2289
Jalandhar,2022,31.33,75.58,45,11,486,406,303,292,41,4157
Ludhiana,2022,30.91,75.85,98,14,761,773,391,431,72,6782
Faridkot,2022,30.67,74.76,16,3,97,64,85,44,8,861
Fatehgarh Sahib,2022,30.65,76.39,15,5,75,50,57,40,13,711
Fazilka,2022,30.4,74.02,21,6,104,35,76,95,39,1055
Patiala,2022,30.34,76.4,50,8,484,311,207,250,32,3464
Hoshiarpur,2022,31.53,75.91,29,3,255,77,197,175,14,1909
Kapurthala,2022,31.38,75.38,16,4,67,44,97,42,17,822
Mansa,2022,29.99,75.4,28,4,96,57,106,39,16,995
Moga,2022,30.81,75.17,28,3,95,53,81,121,17,1071
Sri Muktsar Sahib,2022,30.47,74.52,32,4,101,46,84,0,19,863
Pathankot,2022,32.27,75.65,7,0,47,34,34,0,8,373
Rupnagar,2022,30.97,76.53,10,3,64,43,74,55,15,726
Sangrur,2022,30.25,75.84,19,3,150,143,143,102,18,1559
Shahid Bhagat Singh Nagar,2022,31.26,76.06,9,3,63,32,44,0,4,431
Tarn Taran,2022,31.45,74.93,32,5,159,45,121,80,8,1196
