district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Ajmer,2017,26.45,74.64,50,46,1390,548,211,1048,112,8147
Alwar,2017,27.56,76.61,121,72,764,1869,143,1067,285,12016
Banswara,2017,23.55,74.44,40,30,66,92,60,126,71,1515
Baran,2017,25.1,76.52,38,19,156,241,96,0,102,2099
Barmer,2017,25.75,71.39,35,15,104,260,122,167,84,2343
Bharatpur,2017,27.22,77.49,88,31,425,942,58,695,191,6759
Bhilwara,2017,25.35,74.64,40,40,296,574,167,723,103,5136
Bikaner,2017,28.02,73.31,43,13,135,194,76,331,109,2554
Bundi,2017,25.44,75.63,19,13,115,172,93,0,75,1547
Chittorgarh,2017,24.89,74.63,27,44,231,535,74,328,84,3676
Churu,2017,28.3,74.97,39,6,125,135,102,0,98,1670
Dausa,2017,26.89,76.33,31,14,217,443,80,495,49,3449
Dholpur,2017,26.7,77.89,50,9,169,284,59,223,64,2419
Dungarpur,2017,23.84,73.72,32,28,33,69,64,89,88,1355
Jodhpur,2017,26.29,73.02,71,81,579,943,297,283,141,6828
Ganganagar,2017,29.92,73.88,64,29,156,177,129,654,130,3624
Hanumangarh,2017,29.58,74.33,56,6,133,128,95,0,93,1704
Jaipur,2017,26.91,75.79,119,109,2181,5283,710,2433,274,29608
Jaisalmer,2017,26.92,70.91,12,14,83,109,62,128,10,1101
Jalore,2017,25.35,72.62,29,20,95,164,107,0,31,1383
Jhalawar,2017,24.6,76.17,23,26,171,347,90,147,97,2651
Jhunjhunu,2017,28.13,75.4,32,11,214,240,80,579,81,3155
Karauli,2017,26.5,77.02,38,7,148,393,31,335,68,2796
Kota,2017,25.18,75.84,40,34,425,887,109,573,128,5960
Nagaur,2017,27.2,73.73,52,23,243,334,157,404,98,3609
Pali,2017,25.77,73.33,47,47,187,267,231,496,115,3858
Pratapgarh,2017,24.03,74.78,29,10,45,52,45,114,97,1279
Rajsamand,2017,25.07,73.88,22,25,79,84,75,233,33,1476
Sawai Madhopur,2017,26.0,76.35,21,17,173,461,51,162,57,2664
Sikar,2017,27.61,75.14,49,15,345,511,146,0,95,3441
Sirohi,2017,24.88,72.86,24,19,61,158,90,181,62,1734
Tonk,2017,26.17,75.79,18,15,118,179,50,7,26,1217
Udaipur,2017,24.57,73.69,74,84,238,598,192,624,154,5570
Ajmer,2018,26.45,74.64,65,42,1322,523,207,1012,159,8146
Alwar,2018,27.56,76.61,109,82,768,1852,136,1057,351,12242
Banswara,2018,23.55,74.44,42,38,56,128,68,84,76,1610
Baran,2018,25.1,76.52,30,10,144,251,105,0,106,2076
Barmer,2018,25.75,71.39,28,14,104,265,116,162,106,2401
Bharatpur,2018,27.22,77.49,85,40,415,1041,100,668,203,7189
Bhilwara,2018,25.35,74.64,39,60,271,599,181,697,159,5506
Bikaner,2018,28.02,73.31,41,9,104,183,70,253,136,2394
Bundi,2018,25.44,75.63,20,7,97,149,68,0,75,1348
Chittorgarh,2018,24.89,74.63,32,44,203,556,93,283,98,3745
Churu,2018,28.3,74.97,37,14,110,99,114,0,141,1805
Dausa,2018,26.89,76.33,35,11,212,426,51,384,91,3297
Dholpur,2018,26.7,77.89,50,13,151,272,56,149,76,2266
Dungarpur,2018,23.84,73.72,39,23,38,95,44,103,80,1386
Jodhpur,2018,26.29,73.02,75,75,598,1079,304,357,158,7524
Ganganagar,2018,29.92,73.88,56,26,162,204,131,597,188,3847
Hanumangarh,2018,29.58,74.33,51,15,125,135,83,0,154,1989
Jaipur,2018,26.91,75.79,141,104,2291,6527,671,2972,399,35236
Jaisalmer,2018,26.92,70.91,13,17,78,55,45,142,19,968
Jalore,2018,25.35,72.62,35,24,97,145,130,0,55,1565
Jhalawar,2018,24.6,76.17,35,30,185,284,90,246,122,2889
