district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Gangtok,2017,27.33,88.62,6,3,56,12,24,17,9,341
Mangan,2017,27.52,88.53,1,0,2,0,0,0,1,14
Namchi,2017,27.17,88.37,3,0,6,3,16,1,5,111
Gyalshing,2017,27.28,88.27,3,0,0,0,5,0,2,40
Gangtok,2018,27.33,88.62,5,5,14,7,11,19,9,210
Mangan,2018,27.52,88.53,0,0,0,0,0,0,1,5
Namchi,2018,27.17,88.37,4,3,10,0,11,0,3,100
Gyalshing,2018,27.28,88.27,3,0,2,0,3,0,3,43
Gangtok,2019,27.33,88.62,10,1,17,6,30,20,5,261
Mangan,2019,27.52,88.53,1,1,1,1,1,1,1,24
Namchi,2019,27.17,88.37,4,0,6,1,6,2,2,67
Gyalshing,2019,27.28,88.27,2,1,0,0,0,2,3,33
Gangtok,2020,27.33,88.62,2,4,13,5,11,15,7,165
Mangan,2020,27.52,88.53,1,0,1,0,0,0,2,17
Namchi,2020,27.17,88.37,4,0,8,1,4,1,3,68
Gyalshing,2020,27.28,88.27,4,0,1,0,3,1,0,33
Gangtok,2021,27.33,88.62,8,6,23,1,17,30,4,244
Mangan,2021,27.52,88.53,1,0,0,0,0,0,0,5
Namchi,2021,27.17,88.37,2,0,7,0,2,3,2,46
Gyalshing,2021,27.28,88.27,3,0,1,0,2,6,2,45
Gangtok,2022,27.33,88.62,2,4,13,3,17,18,4,168
Mangan,2022,27.52,88.53,1,0,0,0,0,1,1,12
Namchi,2022,27.17,88.37,1,0,5,2,3,1,5,57
Soreng,2022,27.17,88.2,1,1,1,0,2,1,0,19
Pakyong,2022,27.24,88.62,1,0,2,1,1,2,2,29
Gyalshing,2022,27.28,88.27,3,0,1,0,0,1,1,24
