district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Ariyalur,2017,11.14,79.08,20,13,15,7,18,22,4,321
Chennai,2017,13.08,80.27,155,291,3738,1815,493,470,31,17434
Coimbatore,2017,11.01,76.97,68,166,358,298,171,209,4,3565
Cuddalore,2017,11.75,79.77,48,14,157,78,81,63,21,1318
Dharmapuri,2017,12.12,78.16,36,9,74,144,50,24,2,1004
Dindigul,2017,10.36,77.98,36,30,247,109,95,11,6,1458
Erode,2017,11.34,77.73,35,27,156,108,80,51,1,1266
Kanchipuram,2017,12.83,79.7,67,39,314,123,140,74,11,2111
Kanniyakumari,2017,8.09,77.55,26,11,208,88,143,65,2,1423
Karur,2017,10.96,78.08,15,25,78,58,29,6,3,619
Krishnagiri,2017,12.52,78.21,47,26,122,112,57,46,2,1192
Madurai,2017,9.92,78.12,92,202,649,245,272,425,23,5082
Nagapattinam,2017,10.77,79.84,32,38,111,94,64,7,14,1092
Namakkal,2017,11.22,78.17,40,26,77,61,41,56,3,891
The Nilgiris,2017,11.41,76.7,7,6,44,14,45,15,3,369
Perambalur,2017,11.23,78.88,6,25,24,44,20,3,4,396
Pudukkottai,2017,10.38,78.82,27,18,45,46,37,19,3,599
Ramanathapuram,2017,9.37,78.84,33,13,122,39,87,21,6,911
Tiruchirappalli,2017,10.79,78.7,47,136,694,205,155,146,11,3594
Salem,2017,11.65,78.16,65,90,166,122,100,61,8,1845
Sivaganga,2017,9.84,78.48,33,60,117,64,107,79,9,1355
Thanjavur,2017,10.79,79.14,65,91,114,176,115,28,10,1896
Theni,2017,10.01,77.48,29,11,137,76,86,71,4,1111
Tirunelveli,2017,8.73,77.69,88,65,543,298,257,182,21,3920
Thiruvallur,2017,13.13,79.91,41,29,135,127,101,68,7,1446
Tiruvannamalai,2017,12.23,79.07,54,16,122,191,65,63,16,1552
Thiruvarur,2017,10.77,79.64,25,35,54,55,77,15,3,814
Tuticorin,2017,8.79,78.13,69,116,238,227,190,123,14,2852
Tiruppur,2017,11.11,77.34,49,98,149,189,107,66,1,1960
Vellore,2017,12.92,79.13,74,32,185,355,103,81,8,2444
Villupuram,2017,11.94,79.49,82,38,230,240,134,123,25,2515
Virudhunagar,2017,9.58,77.96,49,45,119,72,97,59,3,1303
Ariyalur,2018,11.14,79.08,17,24,27,27,18,27,4,444
Chennai,2018,13.08,80.27,175,702,6057,1777,505,729,37,24286
Coimbatore,2018,11.01,76.97,67,139,392,428,175,156,3,3811
Cuddalore,2018,11.75,79.77,53,16,138,117,71,47,19,1358
Dharmapuri,2018,12.12,78.16,35,17,75,105,48,29,1,915
Dindigul,2018,10.36,77.98,39,35,189,92,74,105,8,1461
Erode,2018,11.34,77.73,22,51,143,126,70,61,2,1320
Kanchipuram,2018,12.83,79.7,53,79,279,52,121,87,13,1897
Kanniyakumari,2018,8.09,77.55,38,10,199,133,194,106,9,1866
Karur,2018,10.96,78.08,20,37,74,57,24,10,4,679
Krishnagiri,2018,12.52,78.21,52,24,112,70,42,46,3,1023
Madurai,2018,9.92,78.12,101,200,487,414,264,334,13,5046
Nagapattinam,2018,10.77,79.84,27,43,136,106,65,13,19,1213
Namakkal,2018,11.22,78.17,40,30,57,40,46,68,4,848
The Nilgiris,2018,11.41,76.7,6,3,42,6,40,13,3,305
Perambalur,2018,11.23,78.88,13,14,35,22,18,4,6,349
Pudukkottai,2018,10.38,78.82,29,12,48,63,48,6,6,664
Ramanathapuram,2018,9.37,78.84,37,33,92,51,82,24,7,983
Tiruchirappalli,2018,10.79,78.7,61,191,951,358,145,174,15,4903
Salem,2018,11.65,78.16,62,88,168,183,87,79,6,1996
Sivaganga,2018,9.84,78.48,33,62,95,41,77,92,6,1171
Thanjavur,2018,10.79,79.14,63,58,133,100,88,31,9,1484
Theni,2018,10.01,77.48,36,15,131,48,90,114,3,1159
Tirunelveli,2018,8.73,77.69,74,54,514,207,302,209,31,3714
Thiruvallur,2018,13.13,79.91,33,24,173,172,89,51,11,1547
Tiruvannamalai,2018,12.23,79.07,39,20,80,179,54,38,16,1290
Thiruvarur,2018,10.77,79.64,25,39,62,80,59,0,4,842
Tuticorin,2018,8.79,78.13,60,83,194,123,167,102,14,2164
Tiruppur,2018,11.11,77.34,64,91,169,143,97,29,2,1810
Vellore,2018,12.92,79.13,75,22,176,235,95,76,7,1992
Villupuram,2018,11.94,79.49,59,33,193,228,98,112,29,2160
Virudhunagar,2018,9.58,77.96,61,46,116,50,73,94,17,1363
Ariyalur,2019,11.14,79.08,22,13,31,33,28,23,14,523
Chennai,2019,13.08,80.27,181,840,5690,1812,564,566,43,24120
Coimbatore,2019,11.01,76.97,88,143,365,454,206,162,7,4081
Cuddalore,2019,11.75,79.77,48,27,105,79,63,34,15,1127
Dharmapuri,2019,12.12,78.16,19,8,49,31,47,18,5,520
Dindigul,2019,10.36,77.98,71,30,162,56,80,24,12,1315
Erode,2019,11.34,77.73,35,37,179,84,75,92,5,1367
Kanchipuram,2019,12.83,79.7,62,91,158,73,107,69,11,1723
Kanniyakumari,2019,8.09,77.55,31,34,314,188,232,105,8,2429
Karur,2019,10.96,78.08,15,27,50,59,31,29,2,621
Krishnagiri,2019,12.52,78.21,44,23,110,102,46,43,5,1087
Madurai,2019,9.92,78.12,111,246,314,331,208,384,20,4652
Nagapattinam,2019,10.77,79.84,39,21,153,45,71,16,12,1025
Namakkal,2019,11.22,78.17,40,29,68,30,55,94,3,910
The Nilgiris,2019,11.41,76.7,13,3,32,16,18,9,1,266
Perambalur,2019,11.23,78.88,12,19,28,34,37,5,3,430
Pudukkottai,2019,10.38,78.82,41,39,77,59,64,55,7,1029
Ramanathapuram,2019,9.37,78.84,49,32,90,60,89,65,13,1195
Tiruchirappalli,2019,10.79,78.7,74,135,721,284,120,137,16,3918
Salem,2019,11.65,78.16,68,96,218,138,112,80,10,2120
Sivaganga,2019,9.84,78.48,46,61,101,46,82,90,8,1280
Thanjavur,2019,10.79,79.14,64,52,111,67,69,35,11,1283
Theni,2019,10.01,77.48,37,6,123,31,69,71,10,947
Tirunelveli,2019,8.73,77.69,74,60,436,156,245,153,24,3111
Thiruvallur,2019,13.13,79.91,40,51,111,79,79,55,9,1255
Tiruvannamalai,2019,12.23,79.07,41,16,83,100,40,44,16,1023
Thiruvarur,2019,10.77,79.64,21,26,65,64,67,20,9,817
Tuticorin,2019,8.79,78.13,72,52,136,71,88,70,6,1487
Tiruppur,2019,11.11,77.34,60,76,168,142,93,20,1,1690
Vellore,2019,12.92,79.13,89,63,100,177,99,44,17,1898
Villupuram,2019,11.94,79.49,79,32,113,172,102,91,33,1918
Virudhunagar,2019,9.58,77.96,59,56,96,54,73,86,6,1294
Ariyalur,2020,11.14,79.08,19,10,19,13,19,19,9,352
Chennai,2020,13.08,80.27,152,697,3191,2694,701,318,31,20906
Coimbatore,2020,11.01,76.97,75,93,219,262,134,122,9,2662
Cuddalore,2020,11.75,79.77,53,22,88,89,105,30,32,1331
Dharmapuri,2020,12.12,78.16,25,9,43,41,24,14,4,490
Dindigul,2020,10.36,77.98,52,28,96,90,75,39,8,1177
Erode,2020,11.34,77.73,41,9,129,69,60,47,6,1010
Kanchipuram,2020,12.83,79.7,24,50,47,26,39,37,5,708
Kanniyakumari,2020,8.09,77.55,31,35,216,117,246,58,11,1987
Karur,2020,10.96,78.08,16,18,38,47,24,26,4,513
Krishnagiri,2020,12.52,78.21,54,8,63,51,37,37,4,786
Madurai,2020,9.92,78.12,108,202,224,352,181,295,25,4110
Nagapattinam,2020,10.77,79.84,41,20,69,65,69,4,14,903
Namakkal,2020,11.22,78.17,37,15,32,52,64,46,2,759
The Nilgiris,2020,11.41,76.7,7,3,23,14,20,12,7,254
Perambalur,2020,11.23,78.88,15,28,40,74,48,10,3,668
Pudukkottai,2020,10.38,78.82,36,38,110,45,76,24,7,998
Ramanathapuram,2020,9.37,78.84,41,41,73,108,98,81,15,1370
Tiruchirappalli,2020,10.79,78.7,63,72,238,293,140,84,23,2661
Salem,2020,11.65,78.16,78,55,146,150,132,67,7,1917
Sivaganga,2020,9.84,78.48,23,46,87,47,59,50,9,936
Thanjavur,2020,10.79,79.14,81,52,107,74,127,48,3,1541
Theni,2020,10.01,77.48,33,12,55,33,58,36,5,693
Tirunelveli,2020,8.73,77.69,54,48,269,189,179,125,10,2404
Thiruvallur,2020,13.13,79.91,43,58,76,84,109,30,8,1278
Tiruvannamalai,2020,12.23,79.07,43,40,64,71,36,25,16,954
Thiruvarur,2020,10.77,79.64,26,22,35,56,62,15,10,722
Tuticorin,2020,8.79,78.13,60,33,155,117,106,90,10,1641
Tiruppur,2020,11.11,77.34,46,48,89,112,77,42,6,1281
Vellore,2020,12.92,79.13,35,38,48,70,33,16,5,789
Villupuram,2020,11.94,79.49,45,31,47,82,82,47,21,1134
Virudhunagar,2020,9.58,77.96,63,30,77,42,50,41,13,1012
Chengalpattu,2020,12.69,79.98,48,43,45,24,59,18,12,847
Kallakurichi,2020,11.74,78.96,21,11,57,74,31,25,17,713
Ranipet,2020,12.92,79.32,19,31,35,116,23,41,3,803
Tirupathur,2020,12.5,78.57,22,20,93,57,39,30,9,769
Tenkasi,2020,8.96,77.32,31,7,97,52,55,61,6,850
Ariyalur,2021,11.14,79.08,18,18,33,44,46,23,14,614
Chennai,2021,13.08,80.27,164,652,3233,1940,606,569,46,18900
Coimbatore,2021,11.01,76.97,86,150,292,470,287,171,20,4327
Cuddalore,2021,11.75,79.77,46,36,146,106,133,77,27,1672
Dharmapuri,2021,12.12,78.16,28,14,55,55,44,27,6,687
Dindigul,2021,10.36,77.98,47,39,139,121,93,68,5,1472
Erode,2021,11.34,77.73,44,31,117,180,75,37,5,1442
Kanchipuram,2021,12.83,79.7,30,64,89,78,80,29,6,1146
Kanniyakumari,2021,8.09,77.55,28,39,230,191,168,106,9,2090
Karur,2021,10.96,78.08,22,31,44,84,42,22,3,759
Krishnagiri,2021,12.52,78.21,66,34,104,65,85,25,7,1209
Madurai,2021,9.92,78.12,102,256,347,523,255,316,22,5304
Nagapattinam,2021,10.77,79.84,46,28,87,58,77,22,16,1045
Namakkal,2021,11.22,78.17,41,26,52,66,57,45,4,892
The Nilgiris,2021,11.41,76.7,15,4,37,11,29,13,5,336
Perambalur,2021,11.23,78.88,20,33,49,80,63,5,2,779
Pudukkottai,2021,10.38,78.82,30,39,103,179,71,19,8,1340
Ramanathapuram,2021,9.37,78.84,56,54,128,99,135,75,8,1644
Tiruchirappalli,2021,10.79,78.7,63,104,370,365,194,97,20,3442
Salem,2021,11.65,78.16,76,100,191,271,146,78,11,2624
Sivaganga,2021,9.84,78.48,42,57,93,92,62,76,13,1303
Thanjavur,2021,10.79,79.14,57,102,200,89,156,114,13,2121
Theni,2021,10.01,77.48,36,18,74,62,70,60,7,951
Tirunelveli,2021,8.73,77.69,63,48,221,148,159,62,8,2034
Thiruvallur,2021,13.13,79.91,38,56,93,55,90,120,15,1350
Tiruvannamalai,2021,12.23,79.07,36,54,79,100,68,52,21,1267
Thiruvarur,2021,10.77,79.64,28,33,28,53,64,13,10,755
Tuticorin,2021,8.79,78.13,50,46,209,106,139,70,15,1802
Tiruppur,2021,11.11,77.34,61,101,157,252,148,51,7,2360
Vellore,2021,12.92,79.13,26,38,56,101,43,5,2,846
Villupuram,2021,11.94,79.49,25,56,115,127,94,124,19,1585
Virudhunagar,2021,9.58,77.96,46,41,118,77,79,53,18,1294
Chengalpattu,2021,12.69,79.98,27,53,56,99,58,2,8,974
Kallakurichi,2021,11.74,78.96,29,31,34,80,57,23,15,869
Ranipet,2021,12.92,79.32,23,34,29,120,32,37,1,844
Tirupathur,2021,12.5,78.57,23,25,31,102,41,21,3,763
Tenkasi,2021,8.96,77.32,48,13,117,69,103,31,3,1119
Ariyalur,2022,11.14,79.08,19,10,46,73,43,41,7,692
Chennai,2022,13.08,80.27,107,491,3140,1718,459,650,36,16790
Coimbatore,2022,11.01,76.97,70,252,502,874,315,304,20,6637
Cuddalore,2022,11.75,79.77,43,17,187,99,164,54,26,1684
Dharmapuri,2022,12.12,78.16,33,19,80,75,54,20,7,863
Dindigul,2022,10.36,77.98,71,64,122,135,114,99,6,1830
Erode,2022,11.34,77.73,25,60,150,147,121,52,6,1603
Kanchipuram,2022,12.83,79.7,18,51,60,39,42,19,3,710
Kanniyakumari,2022,8.09,77.55,36,76,180,155,157,119,4,2038
Karur,2022,10.96,78.08,14,23,64,70,32,51,5,723
Krishnagiri,2022,12.52,78.21,53,31,79,58,47,36,3,949
Madurai,2022,9.92,78.12,100,267,435,538,192,269,33,5331
Nagapattinam,2022,10.77,79.84,41,24,147,68,92,1,8,1117
Namakkal,2022,11.22,78.17,29,29,53,65,60,27,6,826
The Nilgiris,2022,11.41,76.7,7,4,54,13,46,23,4,402
Perambalur,2022,11.23,78.88,14,21,61,108,70,17,6,874
Pudukkottai,2022,10.38,78.82,34,36,153,176,82,17,6,1458
Ramanathapuram,2022,9.37,78.84,38,50,149,118,147,37,15,1632
Tiruchirappalli,2022,10.79,78.7,60,120,784,368,151,156,21,4322
Salem,2022,11.65,78.16,55,86,172,277,150,79,7,2437
Sivaganga,2022,9.84,78.48,39,36,110,108,94,73,10,1361
Thanjavur,2022,10.79,79.14,68,104,254,300,172,141,8,3002
Theni,2022,10.01,77.48,53,47,100,79,64,98,10,1328
Tirunelveli,2022,8.73,77.69,64,56,201,178,165,77,16,2209
Thiruvallur,2022,13.13,79.91,82,83,618,361,370,184,21,4644
Tiruvannamalai,2022,12.23,79.07,42,37,63,136,62,82,8,1282
Thiruvarur,2022,10.77,79.64,21,19,44,52,58,15,9,674
Tuticorin,2022,8.79,78.13,84,76,168,133,151,25,14,2032
Tiruppur,2022,11.11,77.34,59,146,174,237,162,72,10,2618
