district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Hyderabad,2017,17.38,78.47,148,401,4636,1794,935,3078,159,26754
Karimnagar,2017,18.43,79.12,19,18,180,57,119,369,7,1828
Khammam,2017,17.25,80.15,30,11,228,124,144,283,12,2080
Nizamabad,2017,18.67,78.09,27,8,381,149,156,190,4,2244
Yadadri Bhuvanagiri,2017,17.56,79.42,69,219,1181,601,742,1400,139,11107
Peddapalli,2017,18.61,79.38,41,10,301,0,175,437,19,2341
Siddipet,2017,18.1,78.85,25,10,103,44,93,130,11,1097
Warangal,2017,17.98,79.6,51,15,178,91,139,444,14,2319
Adilabad,2017,19.67,78.53,9,3,72,31,51,74,4,615
Bhadradri Kothagudem,2017,17.55,80.62,32,5,156,27,99,106,16,1162
Jayashankar Bhupalapally,2017,18.45,79.9,18,0,46,25,30,0,10,397
Jogulamba Gadwal,2017,16.23,77.81,7,5,218,26,38,205,4,1113
Kamareddy,2017,18.32,78.34,23,2,128,27,93,40,13,884
Kumuram Bheem Asifabad,2017,19.37,79.28,15,2,27,6,29,60,12,422
Mahabubabad,2017,17.6,80.01,19,6,48,52,75,179,6,984
Mahabubnagar,2017,16.74,77.98,27,5,242,45,103,155,15,1468
Medak,2017,18.04,78.26,25,3,99,0,77,83,2,742
Nagarkurnool,2017,16.48,78.33,23,2,104,7,53,143,14,867
Nalgonda,2017,17.05,79.27,39,30,130,49,104,301,34,1806
Nirmal,2017,19.09,78.35,15,5,38,46,53,66,4,620
Rajanna Sircilla,2017,18.38,78.83,17,11,70,21,78,128,4,842
Sangareddy,2017,17.62,78.09,37,5,153,106,115,53,6,1310
Suryapet,2017,17.14,79.62,25,6,153,1,51,252,22,1225
Vikarabad,2017,17.34,77.9,21,2,67,11,51,79,8,631
Wanaparthy,2017,16.36,78.06,15,1,124,18,28,48,5,586
Jagitial,2017,18.79,78.92,28,5,130,17,71,134,8,992
Hyderabad,2018,17.38,78.47,160,265,3984,1526,763,2956,178,23497
Karimnagar,2018,18.43,79.12,15,4,216,75,58,365,20,1752
Khammam,2018,17.25,80.15,27,10,177,116,145,283,10,1928
Nizamabad,2018,18.67,78.09,24,17,468,114,171,345,9,2714
Yadadri Bhuvanagiri,2018,17.56,79.42,85,149,1217,625,628,1501,154,10986
Peddapalli,2018,18.61,79.38,41,5,217,37,105,379,16,1923
Siddipet,2018,18.1,78.85,18,3,140,46,90,150,7,1125
Warangal,2018,17.98,79.6,47,29,237,150,169,515,18,2902
Adilabad,2018,19.67,78.53,15,1,96,39,35,85,11,718
Bhadradri Kothagudem,2018,17.55,80.62,28,2,107,39,131,87,19,1141
Jayashankar Bhupalapally,2018,18.45,79.9,23,4,68,14,47,88,3,641
Jogulamba Gadwal,2018,16.23,77.81,10,3,258,17,38,122,4,1007
Kamareddy,2018,18.32,78.34,24,11,128,30,90,80,9,985
Kumuram Bheem Asifabad,2018,19.37,79.28,16,3,44,15,26,187,14,747
Mahabubabad,2018,17.6,80.01,17,4,83,21,77,200,5,986
