district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Dadra And Nagar Haveli,2017,20.19,73.0,3,4,20,18,17,14,1,209
Daman,2017,20.41,72.84,5,1,33,15,9,25,5,242
Diu,2017,20.71,70.99,1,0,6,5,3,42,2,135
Dadra And Nagar Haveli,2018,20.19,73.0,7,1,5,18,16,18,7,222
Daman,2018,20.41,72.84,5,3,30,18,15,10,3,231
Diu,2018,20.71,70.99,0,0,0,1,3,7,0,26
Dadra And Nagar Haveli,2019,20.19,73.0,7,3,11,12,12,19,0,179
Daman,2019,20.41,72.84,6,5,36,17,20,17,3,282
Diu,2019,20.71,70.99,0,1,8,3,3,1,1,45
Dadra And Nagar Haveli,2020,20.19,73.0,7,4,13,11,7,3,1,142
Daman,2020,20.41,72.84,6,2,9,7,8,10,2,131
Diu,2020,20.71,70.99,0,1,5,2,2,6,1,43
Dadra And Nagar Haveli,2021,20.19,73.0,11,4,18,12,23,8,2,238
Daman,2021,20.41,72.84,3,6,12,18,9,13,1,175
Diu,2021,20.71,70.99,0,1,2,2,1,0,0,17
Dadra And Nagar Haveli,2022,20.19,73.0,10,11,204,31,95,10,8,940
Daman,2022,20.41,72.84,6,4,18,8,10,14,1,169
Diu,2022,20.71,70.99,0,0,3,5,2,6,0,39
