district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Dhalai,2017,24.0,92.0,13,5,16,2,13,8,15,253
Gomati,2017,23.44,91.27,12,5,11,24,21,9,5,280
West Tripura,2017,23.84,91.28,33,1,56,81,61,16,27,874
Khowai,2017,24.07,91.6,14,1,10,0,11,4,10,185
North Tripura,2017,24.42,92.02,14,1,15,6,18,6,11,243
Unakoti,2017,24.31,92.03,25,0,18,13,25,10,12,355
South Tripura,2017,23.27,91.56,13,4,18,2,17,6,15,261
Dhalai,2018,24.0,92.0,6,1,18,1,13,1,9,159
Gomati,2018,23.44,91.27,15,4,24,17,16,10,11,313
West Tripura,2018,23.84,91.28,38,9,78,140,77,27,23,1202
Khowai,2018,24.07,91.6,12,3,9,1,16,3,4,167
North Tripura,2018,24.42,92.02,9,5,22,4,28,20,14,315
Unakoti,2018,24.31,92.03,37,1,28,8,24,15,22,481
South Tripura,2018,23.27,91.56,20,2,17,5,16,18,14,311
Dhalai,2019,24.0,92.0,12,1,11,3,19,8,7,203
Gomati,2019,23.44,91.27,17,4,21,27,15,15,7,334
West Tripura,2019,23.84,91.28,28,6,117,177,70,64,34,1437
Khowai,2019,24.07,91.6,17,0,15,5,10,18,6,226
North Tripura,2019,24.42,92.02,21,5,23,7,26,18,4,326
Unakoti,2019,24.31,92.03,29,3,50,12,25,21,25,535
South Tripura,2019,23.27,91.56,20,2,34,0,15,24,5,294
Dhalai,2020,24.0,92.0,16,1,8,5,6,6,9,190
Gomati,2020,23.44,91.27,14,1,22,21,8,11,11,282
West Tripura,2020,23.84,91.28,30,0,68,97,51,69,18,958
Khowai,2020,24.07,91.6,5,1,27,1,19,10,10,213
North Tripura,2020,24.42,92.02,12,0,29,9,17,12,9,265
Unakoti,2020,24.31,92.03,20,0,22,11,17,16,15,335
South Tripura,2020,23.27,91.56,17,1,29,4,11,16,7,259
Dhalai,2021,24.0,92.0,18,0,17,0,9,11,3,188
Gomati,2021,23.44,91.27,14,3,21,23,8,7,11,286
West Tripura,2021,23.84,91.28,26,3,75,98,47,71,21,974
Khowai,2021,24.07,91.6,11,0,21,6,17,14,8,234
North Tripura,2021,24.42,92.02,13,3,31,4,22,16,5,274
Unakoti,2021,24.31,92.03,31,5,27,18,20,33,12,469
South Tripura,2021,23.27,91.56,9,3,17,3,12,7,1,155
Dhalai,2022,24.0,92.0,17,0,13,2,13,2,8,200
Gomati,2022,23.44,91.27,7,0,19,16,9,12,11,227
West Tripura,2022,23.84,91.28,23,1,66,72,45,58,9,763
Khowai,2022,24.07,91.6,11,1,10,2,6,7,5,142
North Tripura,2022,24.42,92.02,18,2,29,9,27,24,10,362
Unakoti,2022,24.31,92.03,18,2,28,30,23,44,14,471
South Tripura,2022,23.27,91.56,15,0,8,0,4,9,5,146
