district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Agra,2017,27.18,78.01,117,165,857,2160,346,485,78,11837
Aligarh,2017,27.88,78.08,134,200,478,1064,173,368,108,7413
Prayagraj,2017,25.44,81.84,107,120,663,1592,449,449,81,9767
Ambedkar Nagar,2017,26.45,82.54,27,14,73,118,77,77,26,1206
Amethi,2017,26.15,81.82,33,37,138,136,74,84,26,1517
Amroha,2017,28.9,78.47,46,37,165,173,41,127,46,1834
Auraiya,2017,26.47,79.51,51,41,106,141,46,113,57,1703
Azamgarh,2017,26.07,83.19,65,61,173,340,141,261,58,3170
Budaun,2017,28.04,79.12,88,48,209,270,94,98,62,2648
Baghpat,2017,28.94,77.22,57,38,142,242,40,0,29,1712
Bahraich,2017,27.57,81.6,40,20,168,180,151,197,31,2158
Ballia,2017,25.75,84.15,34,43,175,332,176,8,53,2497
Balrampur,2017,27.43,82.18,21,8,44,45,30,39,17,613
Banda,2017,25.48,80.33,36,12,95,114,53,76,51,1326
Bara Banki,2017,26.93,81.19,55,23,118,175,85,210,47,2038
Bareilly,2017,28.36,79.42,98,93,412,724,214,343,63,5501
Basti,2017,26.8,82.73,42,23,96,152,99,100,46,1677
Bijnor,2017,29.37,78.14,92,61,319,307,97,0,88,2994
Bulandshahr,2017,28.41,77.85,139,157,495,747,122,35,163,5805
Chandauli,2017,25.28,83.27,14,14,88,147,72,16,37,1176
Chitrakoot,2017,25.2,80.89,25,7,32,57,47,29,27,722
Deoria,2017,26.5,83.78,31,22,65,182,20,114,35,1382
Etah,2017,27.56,78.67,57,65,146,349,118,130,37,2683
Etawah,2017,26.78,79.02,68,58,207,623,80,136,32,3527
Ayodhya,2017,26.79,82.19,35,48,255,304,93,0,42,2278
Fatehpur,2017,25.93,80.81,48,34,116,223,103,43,74,2042
Firozabad,2017,27.15,78.4,77,92,282,543,110,123,48,3762
Lucknow,2017,26.85,80.95,137,325,8641,3339,621,559,171,33120
Ghaziabad,2017,28.67,77.45,116,101,940,2962,160,12,113,12819
Ghazipur,2017,25.58,83.58,43,42,106,190,148,2,40,1813
Gonda,2017,27.13,81.97,36,19,111,143,109,214,55,1937
Gorakhpur,2017,26.76,83.37,77,213,347,997,322,347,94,7052
Hamirpur,2017,25.95,80.15,36,8,72,58,56,63,38,1014
Hapur,2017,28.73,77.78,39,58,183,463,49,160,48,2889
Hardoi,2017,27.4,80.13,58,31,214,186,102,173,74,2422
Hathras,2017,27.59,78.05,48,37,165,299,76,61,43,2180
Jalaun,2017,26.14,79.35,36,25,105,188,87,58,36,1611
Jaunpur,2017,25.75,82.67,66,56,202,380,160,100,72,3138
Jhansi,2017,25.45,78.57,54,32,154,289,77,33,45,2095
Kannauj,2017,27.05,79.92,32,26,116,95,75,80,21,1271
Kanpur Dehat,2017,26.41,79.79,51,35,132,110,76,46,59,1604
Kanpur Nagar,2017,26.46,80.33,97,105,559,1461,308,633,97,9081
Kasganj,2017,27.81,78.65,40,18,72,174,48,0,31,1237
Kaushambi,2017,25.54,81.38,32,21,128,117,79,104,26,1426
Kheri,2017,27.9,80.77,86,45,230,574,143,93,64,3727
Kushinagar,2017,26.74,83.88,45,11,112,162,60,0,52,1419
Lalitpur,2017,24.69,78.41,28,5,70,59,26,0,32,715
Mahrajganj,2017,27.18,83.56,23,6,35,47,23,0,4,439
Mahoba,2017,25.29,79.87,27,16,59,47,60,38,49,959
Mainpuri,2017,27.23,79.02,83,82,155,421,90,98,36,2962
Mathura,2017,27.5,77.67,92,87,446,1005,188,0,84,5699
Mau,2017,25.94,83.56,25,20,91,162,110,334,29,2016
Meerut,2017,28.99,77.7,162,145,1094,1957,165,0,129,10589
Mirzapur,2017,25.15,82.57,32,8,23,44,18,121,30,816
Moradabad,2017,28.84,78.78,71,70,325,640,159,0,99,4177
Muzaffarnagar,2017,29.47,77.7,105,61,314,391,50,26,61,3077
Pilibhit,2017,28.63,79.8,40,48,104,157,73,120,76,1910
Pratapgarh,2017,25.9,81.98,56,68,119,454,157,0,69,2968
Rae Bareli,2017,26.23,81.24,47,45,139,156,26,109,47,1692
Rampur,2017,28.81,79.03,30,32,209,226,92,0,91,2105
Saharanpur,2017,29.97,77.55,92,60,301,365,86,202,50,3309
Sambhal,2017,28.59,78.58,53,33,176,234,57,85,70,2142
Sant Kabir Nagar,2017,26.79,83.03,27,12,47,55,36,85,63,1035
Shahjahanpur,2017,27.88,79.91,50,43,109,110,78,0,53,1469
Shamli,2017,29.45,77.31,46,37,157,237,60,0,35,1758
Shrawasti,2017,27.44,82.06,12,3,35,16,39,12,15,406
Siddharthnagar,2017,27.3,83.05,17,6,41,53,46,36,26,690
Sitapur,2017,27.56,80.68,71,52,332,440,248,189,106,4199
Sonbhadra,2017,24.69,83.07,28,6,97,69,39,90,68,1202
Bhadohi,2017,25.39,82.57,17,4,32,73,52,35,13,675
Sultanpur,2017,26.26,82.07,60,49,177,258,115,80,35,2304
Unnao,2017,26.55,80.49,77,64,219,191,97,0,58,2233
Varanasi,2017,25.32,83.01,48,46,385,675,201,320,95,4937
Farrukhabad,2017,27.39,79.57,46,38,111,193,109,140,26,1920
Gautam Buddha Nagar,2017,28.53,77.39,93,194,1523,2441,159,11,56,12389
Agra,2018,27.18,78.01,124,183,833,2191,381,533,89,12245
Aligarh,2018,27.88,78.08,113,140,511,789,141,0,92,5397
Prayagraj,2018,25.44,81.84,117,114,713,1657,410,618,72,10264
Ambedkar Nagar,2018,26.45,82.54,35,28,113,89,70,0,32,1150
Amethi,2018,26.15,81.82,34,29,131,122,135,136,26,1721
Amroha,2018,28.9,78.47,45,20,146,168,30,100,49,1636
Auraiya,2018,26.47,79.51,43,37,100,157,70,49,35,1517
Azamgarh,2018,26.07,83.19,40,33,138,303,115,282,47,2661
Budaun,2018,28.04,79.12,61,34,182,167,65,138,52,2037
Baghpat,2018,28.94,77.22,63,40,152,265,43,0,31,1858
Bahraich,2018,27.57,81.6,34,10,186,185,110,110,29,1832
Ballia,2018,25.75,84.15,26,30,100,266,112,43,29,1815
Balrampur,2018,27.43,82.18,21,11,26,43,16,37,18,542
Banda,2018,25.48,80.33,34,12,72,84,37,78,43,1096
Bara Banki,2018,26.93,81.19,48,19,141,175,85,174,63,2041
Bareilly,2018,28.36,79.42,96,70,379,706,207,515,72,5647
Basti,2018,26.8,82.73,21,10,95,76,78,107,47,1246
Bijnor,2018,29.37,78.14,71,45,279,314,70,0,66,2575
Bulandshahr,2018,28.41,77.85,102,58,463,525,111,37,81,4055
Chandauli,2018,25.28,83.27,14,6,115,166,55,51,25,1214
Chitrakoot,2018,25.2,80.89,21,2,22,45,47,57,28,687
Deoria,2018,26.5,83.78,44,19,55,171,67,105,32,1490
Etah,2018,27.56,78.67,49,37,190,294,86,151,45,2440
Etawah,2018,26.78,79.02,39,39,165,356,69,108,23,2287
Ayodhya,2018,26.79,82.19,33,43,216,193,122,0,65,2039
Fatehpur,2018,25.93,80.81,37,20,90,169,60,44,40,1420
Firozabad,2018,27.15,78.4,78,70,237,461,83,0,51,3031
Lucknow,2018,26.85,80.95,132,200,7779,2909,757,1455,157,31711
Ghaziabad,2018,28.67,77.45,119,112,1368,3325,151,22,117,14836
Ghazipur,2018,25.58,83.58,46,31,95,173,136,8,51,1742
Gonda,2018,27.13,81.97,30,24,140,137,125,242,46,2026
Gorakhpur,2018,26.76,83.37,81,163,419,898,334,97,119,6380
Hamirpur,2018,25.95,80.15,35,8,52,42,29,54,42,842
Hapur,2018,28.73,77.78,46,37,172,338,38,12,41,2079
Hardoi,2018,27.4,80.13,61,39,190,172,86,183,75,2356
Hathras,2018,27.59,78.05,44,28,167,243,73,82,32,1938
Jalaun,2018,26.14,79.35,39,8,84,125,63,0,23,1074
Jaunpur,2018,25.75,82.67,68,50,236,359,179,111,74,3218
Jhansi,2018,25.45,78.57,46,28,126,247,44,0,33,1632
Kannauj,2018,27.05,79.92,37,45,111,80,61,114,36,1418
Kanpur Dehat,2018,26.41,79.79,38,15,93,88,54,62,25,1111
Kanpur Nagar,2018,26.46,80.33,87,70,518,1183,261,681,88,7885
Kasganj,2018,27.81,78.65,43,12,81,150,35,0,34,1150
Kaushambi,2018,25.54,81.38,24,16,67,128,80,115,19,1267
Kheri,2018,27.9,80.77,88,22,203,429,65,201,57,3103
Kushinagar,2018,26.74,83.88,40,13,140,221,63,0,43,1599
Lalitpur,2018,24.69,78.41,16,3,97,61,27,0,38,740
Mahrajganj,2018,27.18,83.56,22,4,23,39,23,68,3,509
Mahoba,2018,25.29,79.87,24,11,36,45,51,41,36,786
Mainpuri,2018,27.23,79.02,72,43,107,264,50,0,34,1858
Mathura,2018,27.5,77.67,93,130,552,903,242,0,88,5964
