district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Almora,2017,29.6,79.66,4,2,2,1,6,2,10,107
Bageshwar,2017,29.84,79.77,4,2,2,1,6,2,10,107
Chamoli,2017,30.4,79.32,1,0,5,0,11,0,4,68
Champawat,2017,29.33,80.09,1,2,3,5,13,2,12,137
Dehradun,2017,30.32,78.03,21,79,333,179,68,112,87,2487
Haridwar,2017,29.94,78.16,68,77,388,434,114,38,118,3734
Nainital,2017,29.38,79.46,16,11,78,74,36,65,47,975
Pauri Garhwal,2017,29.92,78.97,7,3,33,11,7,22,10,261
Pithoragarh,2017,29.58,80.22,2,2,8,1,2,6,4,75
Rudra Prayag,2017,30.29,79.0,0,1,3,2,7,0,1,42
Tehri Garhwal,2017,30.38,78.48,3,1,12,6,11,9,9,157
Uttar Kashi,2017,30.73,78.44,1,0,7,5,4,0,7,81
Udam Singh Nagar,2017,29.0,79.4,53,73,162,378,70,40,55,2580
Almora,2018,29.6,79.66,3,1,13,0,11,0,10,128
Bageshwar,2018,29.84,79.77,3,1,1,2,3,8,5,77
Chamoli,2018,30.4,79.32,3,0,8,5,3,0,2,65
Champawat,2018,29.33,80.09,5,1,3,0,7,7,13,135
Dehradun,2018,30.32,78.03,36,42,357,177,66,1,148,2533
Haridwar,2018,29.94,78.16,68,50,404,365,101,106,155,3733
Nainital,2018,29.38,79.46,16,21,76,52,21,106,48,987
Pauri Garhwal,2018,29.92,78.97,6,0,20,15,14,18,5,218
Pithoragarh,2018,29.58,80.22,5,1,7,3,5,0,5,92
Rudra Prayag,2018,30.29,79.0,1,0,4,0,2,0,3,34
Tehri Garhwal,2018,30.38,78.48,3,1,12,9,0,19,7,143
Uttar Kashi,2018,30.73,78.44,4,0,5,0,4,0,0,42
Udam Singh Nagar,2018,29.0,79.4,58,62,489,314,70,0,160,3468
Almora,2019,29.6,79.66,1,1,6,2,5,0,7,77
Bageshwar,2019,29.84,79.77,3,2,2,0,6,49,4,163
Chamoli,2019,30.4,79.32,2,1,9,9,2,0,2,75
Champawat,2019,29.33,80.09,3,0,5,4,4,0,1,54
Dehradun,2019,30.32,78.03,23,82,292,173,99,89,139,2716
Haridwar,2019,29.94,78.16,55,28,302,295,88,0,161,2945
Nainital,2019,29.38,79.46,25,20,87,62,33,34,50,982
Pauri Garhwal,2019,29.92,78.97,7,2,14,12,5,13,6,178
Pithoragarh,2019,29.58,80.22,9,0,7,6,5,0,4,112
Rudra Prayag,2019,30.29,79.0,1,0,1,0,3,0,1,21
Tehri Garhwal,2019,30.38,78.48,6,1,24,7,7,31,21,291
Uttar Kashi,2019,30.73,78.44,1,0,6,3,3,0,7,70
Udam Singh Nagar,2019,29.0,79.4,63,38,150,352,0,0,123,2438
Almora,2020,29.6,79.66,0,0,3,1,2,0,2,25
Bageshwar,2020,29.84,79.77,4,1,8,2,7,15,9,142
Chamoli,2020,30.4,79.32,2,0,9,3,8,0,7,96
Champawat,2020,29.33,80.09,1,2,5,2,2,0,4,55
Dehradun,2020,30.32,78.03,22,20,157,102,44,0,55,1217
Haridwar,2020,29.94,78.16,57,39,237,212,68,5,155,2540
Nainital,2020,29.38,79.46,12,19,86,38,55,89,52,1025
Pauri Garhwal,2020,29.92,78.97,2,3,4,7,3,19,13,163
Pithoragarh,2020,29.58,80.22,4,1,17,2,4,0,7,111
Rudra Prayag,2020,30.29,79.0,1,0,1,2,2,0,3,34
Tehri Garhwal,2020,30.38,78.48,4,1,10,7,4,15,5,132
Uttar Kashi,2020,30.73,78.44,2,1,0,3,0,0,15,98
Udam Singh Nagar,2020,29.0,79.4,49,41,348,192,85,40,160,2816
Almora,2021,29.6,79.66,7,3,13,4,6,0,13,168
Bageshwar,2021,29.84,79.77,6,3,6,3,4,0,2,85
Chamoli,2021,30.4,79.32,5,0,9,2,8,20,1,118
Champawat,2021,29.33,80.09,3,1,7,3,7,13,3,104
Dehradun,2021,30.32,78.03,34,44,337,171,116,317,62,2825
Haridwar,2021,29.94,78.16,73,43,453,386,131,0,113,3559
Nainital,2021,29.38,79.46,18,32,146,60,64,126,75,1509
Pauri Garhwal,2021,29.92,78.97,6,0,26,14,3,34,14,271
Pithoragarh,2021,29.58,80.22,5,5,7,5,6,0,8,132
Rudra Prayag,2021,30.29,79.0,1,0,3,2,2,0,0,23
Tehri Garhwal,2021,30.38,78.48,9,3,9,8,5,20,6,184
Uttar Kashi,2021,30.73,78.44,3,0,7,6,9,0,15,149
Udam Singh Nagar,2021,29.0,79.4,38,40,209,299,80,271,222,3557
Almora,2022,29.6,79.66,2,3,15,7,3,0,16,162
Bageshwar,2022,29.84,79.77,5,1,4,3,7,12,10,141
Chamoli,2022,30.4,79.32,1,1,9,1,5,11,4,87
Champawat,2022,29.33,80.09,4,1,12,4,5,8,7,126
Dehradun,2022,30.32,78.03,34,83,515,298,135,0,185,3756
Haridwar,2022,29.94,78.16,39,54,438,507,122,0,229,4319
Nainital,2022,29.38,79.46,22,20,173,75,87,76,103,1689
Pauri Garhwal,2022,29.92,78.97,14,0,36,18,3,46,20,397
Pithoragarh,2022,29.58,80.22,4,4,15,5,9,0,17,193
Rudra Prayag,2022,30.29,79.0,4,0,2,2,0,0,1,35
Tehri Garhwal,2022,30.38,78.48,3,1,12,9,4,20,15,197
Uttar Kashi,2022,30.73,78.44,6,0,16,6,3,0,13,154
Udam Singh Nagar,2022,29.0,79.4,49,50,251,368,58,92,247,3644
