district,year,lat,lng,murder,robbery,thefts,vehicle_theft,burglary,cheating,rape,crime_score
Alipurduar,2017,26.49,89.53,46,12,184,149,2,56,34,1381
Paschim Bardhaman,2017,23.23,87.07,69,9,309,211,4,292,18,2318
Bankura,2017,23.23,87.07,59,13,99,28,18,52,12,847
North 24 Parganas,2017,22.86,88.65,197,53,1802,304,17,1409,109,9127
Birbhum,2017,23.89,87.53,103,25,222,88,2,115,36,1739
Cooch Behar,2017,26.32,89.45,58,0,189,147,0,81,56,1551
Dakshin Dinajpur,2017,25.45,88.73,22,0,76,20,0,36,14,464
Darjeeling,2017,27.04,88.26,47,19,776,362,2,211,23,3492
Hooghly,2017,22.9,88.39,106,20,790,167,18,769,23,4398
Howrah,2017,22.59,88.31,102,38,1051,238,61,495,26,4781
Jalpaiguri,2017,26.54,88.72,55,2,172,75,2,72,50,1252
Jhargram,2017,22.45,86.99,31,3,38,11,3,12,9,354
Paschim Medinipur,2017,22.43,87.32,113,14,870,298,14,89,57,3760
Kolkata,2017,22.57,88.36,78,24,3608,528,28,1894,17,13243
Malda,2017,25.0,88.13,59,7,257,303,1,110,104,2489
Murshidabad,2017,24.18,88.27,167,21,424,177,0,195,166,3518
Nadia,2017,23.46,88.56,132,7,545,66,2,279,74,2910
Purba Medinipur,2017,22.08,87.91,91,24,345,197,12,58,46,2214
Purulia,2017,23.33,86.37,71,5,111,20,2,29,21,826
Uttar Dinajpur,2017,25.62,88.13,86,27,207,150,2,114,54,1906
South 24 Parganas,2017,22.16,88.45,218,26,797,162,42,657,103,5229
Kalimpong,2017,27.06,88.48,4,3,46,6,0,1,3,159
Purba Bardhaman,2017,23.25,87.86,87,17,278,109,0,282,29,2095
Alipurduar,2018,26.49,89.53,47,1,145,113,3,37,35,1126
Paschim Bardhaman,2018,23.23,87.07,63,5,224,149,5,200,15,1720
Bankura,2018,23.23,87.07,74,10,113,37,5,37,13,901
North 24 Parganas,2018,22.86,88.65,186,33,1521,307,10,1296,144,8367
Birbhum,2018,23.89,87.53,100,19,245,74,5,123,51,1804
Cooch Behar,2018,26.32,89.45,58,0,155,93,0,62,47,1238
Dakshin Dinajpur,2018,25.45,88.73,42,2,78,12,0,38,13,551
Darjeeling,2018,27.04,88.26,48,13,645,354,10,269,52,3472
Hooghly,2018,22.9,88.39,91,19,517,127,23,492,21,3104
Howrah,2018,22.59,88.31,90,35,1041,151,67,366,26,4188
Jalpaiguri,2018,26.54,88.72,38,4,119,62,1,78,32,949
Jhargram,2018,22.45,86.99,23,3,48,5,1,12,8,305
Paschim Medinipur,2018,22.43,87.32,111,29,807,284,7,168,50,3744
Kolkata,2018,22.57,88.36,69,15,2526,392,15,2325,15,11403
Malda,2018,25.0,88.13,29,1,241,197,0,136,79,1889
Murshidabad,2018,24.18,88.27,173,5,302,96,0,190,192,3117
Nadia,2018,23.46,88.56,105,5,567,69,2,195,42,2492
Purba Medinipur,2018,22.08,87.91,105,31,322,130,4,44,42,1993
Purulia,2018,23.33,86.37,74,3,68,25,2,17,9,678
Uttar Dinajpur,2018,25.62,88.13,72,22,114,100,4,76,42,1350
South 24 Parganas,2018,22.16,88.45,220,15,582,146,31,432,111,4274
Kalimpong,2018,27.06,88.48,12,1,42,4,0,4,2,178
Purba Bardhaman,2018,23.25,87.86,103,20,241,75,0,211,28,1864
Alipurduar,2019,26.49,89.53,47,1,145,113,3,37,35,1126
Paschim Bardhaman,2019,23.23,87.07,63,5,224,149,5,200,15,1720
Bankura,2019,23.23,87.07,74,10,113,37,5,37,13,901
North 24 Parganas,2019,22.86,88.65,186,33,1521,307,10,1296,144,8367
Birbhum,2019,23.89,87.53,100,19,245,74,5,123,51,1804
Cooch Behar,2019,26.32,89.45,58,0,155,93,0,62,47,1238
Dakshin Dinajpur,2019,25.45,88.73,42,2,78,12,0,38,13,551
Darjeeling,2019,27.04,88.26,48,13,645,354,10,269,52,3472
Hooghly,2019,22.9,88.39,91,19,517,127,23,492,21,3104
Howrah,2019,22.59,88.31,90,35,1041,151,67,366,26,4188
Jalpaiguri,2019,26.54,88.72,38,4,119,62,1,78,32,949
Jhargram,2019,22.45,86.99,23,3,48,5,1,12,8,305
Paschim Medinipur,2019,22.43,87.32,111,29,807,284,7,168,50,3744
Kolkata,2019,22.57,88.36,69,15,2526,392,15,2325,15,11403
Malda,2019,25.0,88.13,29,1,241,197,0,136,79,1889
Murshidabad,2019,24.18,88.27,173,5,302,96,0,190,192,3117
Nadia,2019,23.46,88.56,105,5,567,69,2,195,42,2492
Purba Medinipur,2019,22.08,87.91,105,31,322,130,4,44,42,1993
Purulia,2019,23.33,86.37,74,3,68,25,2,17,9,678
Uttar Dinajpur,2019,25.62,88.13,72,22,114,100,4,76,42,1350
South 24 Parganas,2019,22.16,88.45,220,15,582,146,31,432,111,4274
Kalimpong,2019,27.06,88.48,12,1,42,4,0,4,2,178
Purba Bardhaman,2019,23.25,87.86,103,20,241,75,0,211,28,1864
Alipurduar,2020,26.49,89.53,40,7,115,35,2,22,24,733
Paschim Bardhaman,2020,23.23,87.07,51,10,251,132,5,178,15,1639
Bankura,2020,23.23,87.07,66,11,89,26,4,47,18,826
North 24 Parganas,2020,22.86,88.65,185,26,1077,219,9,1458,115,7358
Birbhum,2020,23.89,87.53,81,15,131,39,0,116,31,1231
Cooch Behar,2020,26.32,89.45,71,9,141,66,1,65,60,1304
Dakshin Dinajpur,2020,25.45,88.73,42,1,98,11,0,62,12,627
Darjeeling,2020,27.04,88.26,58,23,572,163,4,207,33,2606
Hooghly,2020,22.9,88.39,70,8,292,66,2,379,24,2048
Howrah,2020,22.59,88.31,107,20,427,112,14,301,37,2634
Jalpaiguri,2020,26.54,88.72,50,4,129,51,3,61,35,983
Jhargram,2020,22.45,86.99,37,2,33,1,1,17,9,344
Paschim Medinipur,2020,22.43,87.32,110,33,574,225,4,50,22,2727
Kolkata,2020,22.57,88.36,62,21,1136,245,14,1578,11,6654
Malda,2020,25.0,88.13,93,26,213,175,5,140,126,2445
Murshidabad,2020,24.18,88.27,200,16,246,117,0,209,212,3385
Purba Medinipur,2020,22.08,87.91,85,11,224,86,8,32,45,1488
Purulia,2020,23.33,86.37,57,9,66,22,1,18,9,603
South 24 Parganas,2020,22.16,88.45,191,17,543,150,0,533,79,4020
Kalimpong,2020,27.06,88.48,7,2,33,3,0,8,6,164
Purba Bardhaman,2020,23.25,87.86,101,12,208,94,0,346,24,2063
Uttar Dinajpur,2020,25.62,88.13,81,29,212,151,4,83,41,1781
Nadia,2020,23.46,88.56,103,6,156,87,2,315,140,2448
Alipurduar,2021,26.49,89.53,35,3,88,71,1,55,41,894
Paschim Bardhaman,2021,23.23,87.07,56,15,244,63,9,286,19,1711
Bankura,2021,23.23,87.07,60,10,73,29,3,53,17,773
North 24 Parganas,2021,22.86,88.65,205,28,1026,314,7,2089,111,8885
Birbhum,2021,23.89,87.53,81,18,145,62,4,145,25,1380
Cooch Behar,2021,26.32,89.45,70,20,128,86,0,76,76,1476
Dakshin Dinajpur,2021,25.45,88.73,40,0,97,20,0,59,21,677
Darjeeling,2021,27.04,88.26,58,22,449,219,0,423,23,2894
Hooghly,2021,22.9,88.39,72,10,310,69,2,437,32,2267
Howrah,2021,22.59,88.31,109,14,460,83,18,319,36,2642
Jalpaiguri,2021,26.54,88.72,50,7,173,82,1,119,28,1251
Jhargram,2021,22.45,86.99,27,4,56,14,0,29,6,393
Paschim Medinipur,2021,22.43,87.32,111,31,647,240,4,48,43,3016
Kolkata,2021,22.57,88.36,62,23,970,382,7,1842,11,7248
Malda,2021,25.0,88.13,105,23,252,193,1,179,137,2746
Murshidabad,2021,24.18,88.27,158,12,205,114,0,179,144,2668
Purba Medinipur,2021,22.08,87.91,71,14,155,176,7,64,54,1668
Purulia,2021,23.33,86.37,51,5,65,35,3,26,10,621
South 24 Parganas,2021,22.16,88.45,168,12,431,170,11,711,106,4245
Kalimpong,2021,27.06,88.48,9,1,32,3,0,13,3,163
Purba Bardhaman,2021,23.25,87.86,98,17,137,62,0,322,45,1887
Uttar Dinajpur,2021,25.62,88.13,74,17,118,179,1,114,45,1667
Nadia,2021,23.46,88.56,114,12,206,99,1,351,90,2482
Alipurduar,2022,26.49,89.53,49,3,99,60,0,45,32,885
Paschim Bardhaman,2022,23.23,87.07,53,9,248,68,2,231,19,1564
Bankura,2022,23.23,87.07,43,4,95,42,3,78,17,797
North 24 Parganas,2022,22.86,88.65,175,23,1039,250,6,1938,144,8409
Birbhum,2022,23.89,87.53,90,11,140,55,2,139,28,1363
Cooch Behar,2022,26.32,89.45,42,22,145,69,1,76,56,1230
Dakshin Dinajpur,2022,25.45,88.73,40,1,90,27,0,59,21,688
Darjeeling,2022,27.04,88.26,52,18,555,145,0,444,19,2860
Hooghly,2022,22.9,88.39,52,12,314,61,3,437,32,2162
Howrah,2022,22.59,88.31,80,20,412,100,15,434,23,2632
Jalpaiguri,2022,26.54,88.72,37,3,200,55,1,119,28,1143
Jhargram,2022,22.45,86.99,27,3,59,9,0,29,6,380
Paschim Medinipur,2022,22.43,87.32,118,46,696,198,4,50,29,3017
Kolkata,2022,22.57,88.36,44,17,1090,335,4,1799,11,7138
Malda,2022,25.0,88.13,97,11,259,155,6,264,187,2993
Murshidabad,2022,24.18,88.27,149,15,218,79,0,176,118,2420
Purba Medinipur,2022,22.08,87.91,79,21,217,130,5,74,45,1691
Purulia,2022,23.33,86.37,51,5,69,33,2,15,10,598
South 24 Parganas,2022,22.16,88.45,187,14,473,130,23,646,111,4243
Kalimpong,2022,27.06,88.48,7,1,30,5,0,23,4,180
Purba Bardhaman,2022,23.25,87.86,69,5,173,54,0,327,31,1682
Uttar Dinajpur,2022,25.62,88.13,45,12,183,102,0,111,49,1412
Nadia,2022,23.46,88.56,110,8,199,95,0,348,91,2416
