"id","year","state_name","state_code","district_name","district_code","registration_circles","murder","attempt_to_commit_murder","culpable_homicide_not_amounting_to_murder","attempt_to_commit_culpable_homicide","rape","attempt_to_commit_rape","kidnapping_and_abduction","dacoity","mkng_preparation_and_assembly_for_comm_dacoity","robbery","criminal_trespass_or_burglary","theft","unlawful_assembly","riots","criminal_breach_of_trust","cheating","forgery","counterfeiting","arson","grievous_hurt","dowry_deaths","assault_on_women","insult_to_the_modesty_of_women","cruelty_by_husband_or_his_relatives","importation_of_girls_from_foreign_country","causing_death_by_negligence","offences_against_state","offences_promoting_enmity_between_diff_grp","extortion","disclosure_of_identity_of_victims","incidence_of_rash_driving","human_trafficking","unnatural_offence","other_ipc_crimes"
0,"2016","Andhra Pradesh","28","Anantapur","502","Anantapur",127.0,195.0,6.0,0.0,33.0,15.0,71.0,1.0,0.0,12.0,246.0,509.0,0.0,104.0,20.0,438.0,0.0,8.0,49.0,57.0,23.0,362.0,13.0,130.0,0.0,588.0,0.0,0.0,29.0,0.0,862.0,0.0,0.0,3200.0
1,"2016","Andhra Pradesh","28","Chittoor","503","Chittoor",72.0,73.0,3.0,0.0,21.0,12.0,19.0,7.0,0.0,2.0,163.0,515.0,18.0,46.0,12.0,130.0,0.0,3.0,10.0,13.0,12.0,135.0,3.0,196.0,0.0,590.0,0.0,0.0,20.0,0.0,738.0,0.0,0.0,1429.0
2,"2016","Andhra Pradesh","28","Y.S.R.","504","Cuddapah",78.0,257.0,6.0,0.0,38.0,9.0,24.0,7.0,0.0,11.0,240.0,514.0,21.0,73.0,78.0,261.0,12.0,1.0,36.0,16.0,12.0,266.0,104.0,332.0,0.0,480.0,0.0,0.0,38.0,0.0,2520.0,8.0,0.0,1987.0
3,"2016","Andhra Pradesh","28","East Godavari","505","East Godavari",64.0,78.0,9.0,0.0,120.0,22.0,61.0,4.0,0.0,14.0,402.0,960.0,82.0,77.0,75.0,260.0,15.0,0.0,38.0,28.0,12.0,413.0,146.0,544.0,0.0,625.0,0.0,0.0,55.0,0.0,1244.0,0.0,0.0,2643.0
4,"2016","Andhra Pradesh","28","Anantapur","502","Guntakal Railway",8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,584.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,11.0,2.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,30.0
5,"2016","Andhra Pradesh","28","Guntur","506","Guntur",109.0,157.0,4.0,0.0,62.0,17.0,40.0,1.0,0.0,13.0,205.0,582.0,3.0,51.0,15.0,312.0,5.0,2.0,44.0,67.0,15.0,283.0,321.0,434.0,0.0,604.0,0.0,0.0,23.0,0.0,860.0,0.0,1.0,2251.0
6,"2016","Andhra Pradesh","28","Guntur","506","Guntur Urban",40.0,50.0,3.0,0.0,43.0,2.0,128.0,3.0,0.0,14.0,177.0,571.0,51.0,12.0,21.0,351.0,20.0,3.0,21.0,13.0,7.0,148.0,137.0,374.0,0.0,291.0,0.0,5.0,46.0,0.0,636.0,1.0,0.0,1126.0
7,"2016","Andhra Pradesh","28","Krishna","510","Krishna",48.0,63.0,5.0,0.0,81.0,31.0,42.0,0.0,0.0,11.0,225.0,474.0,0.0,11.0,26.0,209.0,0.0,2.0,26.0,32.0,21.0,419.0,250.0,606.0,0.0,454.0,0.0,0.0,16.0,0.0,1000.0,1.0,1.0,2775.0
8,"2016","Andhra Pradesh","28","Kurnool","511","Kurnool",119.0,298.0,7.0,0.0,33.0,6.0,67.0,7.0,0.0,14.0,250.0,497.0,0.0,52.0,92.0,433.0,0.0,8.0,38.0,17.0,18.0,475.0,243.0,277.0,0.0,620.0,0.0,1.0,45.0,0.0,1331.0,0.0,0.0,3268.0
9,"2016","Andhra Pradesh","28","Spsr Nellore","515","Nellore",74.0,148.0,6.0,0.0,52.0,20.0,56.0,4.0,2.0,27.0,365.0,840.0,23.0,65.0,121.0,246.0,17.0,3.0,71.0,52.0,4.0,320.0,154.0,562.0,0.0,462.0,0.0,0.0,24.0,0.0,1028.0,0.0,0.0,2763.0
10,"2016","Andhra Pradesh","28","Prakasam","517","Prakasham",77.0,82.0,8.0,0.0,67.0,14.0,35.0,3.0,0.0,18.0,259.0,568.0,47.0,61.0,59.0,203.0,62.0,0.0,40.0,24.0,13.0,290.0,36.0,503.0,0.0,527.0,0.0,0.0,17.0,0.0,869.0,4.0,2.0,2479.0
11,"2016","Andhra Pradesh","28","East Godavari","505","Rajahmundry",19.0,18.0,2.0,0.0,26.0,1.0,20.0,1.0,0.0,12.0,140.0,402.0,0.0,8.0,37.0,90.0,6.0,2.0,16.0,13.0,4.0,146.0,47.0,191.0,0.0,160.0,0.0,0.0,12.0,0.0,457.0,0.0,0.0,686.0
12,"2016","Andhra Pradesh","28","Srikakulam","519","Srikakulam",31.0,26.0,5.0,0.0,41.0,1.0,17.0,0.0,0.0,7.0,67.0,137.0,2.0,6.0,18.0,123.0,3.0,2.0,13.0,47.0,2.0,130.0,9.0,243.0,0.0,283.0,0.0,0.0,16.0,0.0,814.0,6.0,0.0,1378.0
13,"2016","Andhra Pradesh","28","Tirupati","752","Tirupathi Urban",38.0,36.0,3.0,0.0,16.0,4.0,21.0,6.0,0.0,16.0,194.0,806.0,0.0,26.0,12.0,184.0,0.0,0.0,0.0,8.0,6.0,71.0,17.0,74.0,0.0,245.0,0.0,0.0,0.0,0.0,373.0,0.0,0.0,795.0
14,"2016","Andhra Pradesh","28","Ntr","749","Vijayawada City",33.0,50.0,1.0,0.0,72.0,6.0,45.0,2.0,0.0,59.0,321.0,2006.0,26.0,7.0,64.0,382.0,78.0,2.0,27.0,21.0,10.0,207.0,134.0,412.0,0.0,371.0,0.0,1.0,49.0,0.0,1280.0,7.0,2.0,1387.0
15,"2016","Andhra Pradesh","28","Ntr","749","Vijayawada Railway",7.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,9.0,1.0,1041.0,0.0,6.0,2.0,6.0,0.0,12.0,0.0,1.0,1.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,36.0
16,"2016","Andhra Pradesh","28","Visakhapatanam","520","Visakha Rural",52.0,59.0,2.0,0.0,34.0,1.0,21.0,3.0,0.0,2.0,132.0,178.0,0.0,28.0,10.0,111.0,0.0,0.0,24.0,43.0,4.0,130.0,5.0,130.0,0.0,347.0,1.0,0.0,14.0,0.0,490.0,0.0,0.0,929.0
17,"2016","Andhra Pradesh","28","Visakhapatanam","520","Visakhapatnam",33.0,77.0,5.0,0.0,81.0,2.0,178.0,5.0,0.0,40.0,380.0,1321.0,0.0,6.0,50.0,611.0,6.0,3.0,15.0,57.0,6.0,306.0,12.0,403.0,0.0,364.0,0.0,0.0,4.0,0.0,1094.0,0.0,0.0,1704.0
